iso3c,percentile,income
ARG,34,14.47
ARG,35,14.8
ARG,36,15.18
ARG,37,15.54
ARG,38,15.86
ARG,39,16.15
ARG,40,16.55
ARG,41,16.96
ARG,42,17.29
ARG,43,17.61
ARG,44,17.95
ARG,45,18.29
ARG,46,18.73
ARG,47,19.1
ARG,48,19.51
ARG,49,19.9
ARG,50,20.33
ARG,51,20.7
ARG,52,21.12
ARG,53,21.42
ARG,54,21.72
ARG,55,22.21
ARG,56,22.71
ARG,57,23.23
ARG,58,23.66
ARG,59,24.13
ARG,60,24.63
ARG,61,25.06
ARG,62,25.58
ARG,63,26.17
ARG,64,26.72
ARG,65,27.2
ARG,66,27.89
ARG,67,28.52
ARG,68,29.15
ARG,69,29.8
ARG,70,30.57
ARG,71,31.29
ARG,72,31.96
ARG,73,32.69
ARG,74,33.57
ARG,75,34.46
ARG,76,35.26
ARG,77,36.13
ARG,78,36.98
ARG,79,37.97
ARG,80,39.15
ARG,81,40.28
ARG,82,41.21
ARG,83,42.4
ARG,84,43.84
ARG,85,45.34
ARG,86,46.8
ARG,87,48.42
ARG,88,50.19
ARG,89,52.27
ARG,90,54.33
ARG,91,57.22
ARG,92,60.8
ARG,93,64.84
ARG,94,68.54
ARG,95,72.52
ARG,96,78.29
ARG,97,85.68
ARG,98,96.08
ARG,99,112.66
ARG,100,170.27
ARM,1,2.82
ARM,2,3.61
ARM,3,3.85
ARM,4,4.06
ARM,5,4.26
ARM,6,4.49
ARM,7,4.64
ARM,8,4.8
ARM,9,4.95
ARM,10,5.09
ARM,11,5.26
ARM,12,5.4
ARM,13,5.55
ARM,14,5.7
ARM,15,5.81
ARM,16,5.92
ARM,17,6
ARM,18,6.1
ARM,19,6.22
ARM,20,6.32
ARM,21,6.42
ARM,22,6.51
ARM,23,6.63
ARM,24,6.73
ARM,25,6.83
ARM,26,6.93
ARM,27,7.03
ARM,28,7.11
ARM,29,7.18
ARM,30,7.27
ARM,31,7.35
ARM,32,7.46
ARM,33,7.56
ARM,34,7.65
ARM,35,7.74
ARM,36,7.83
ARM,37,7.92
ARM,38,8.03
ARM,39,8.11
ARM,40,8.19
ARM,41,8.29
ARM,42,8.4
ARM,43,8.49
ARM,44,8.59
ARM,45,8.68
ARM,46,8.77
ARM,47,8.86
ARM,48,8.95
ARM,49,9.05
ARM,50,9.15
ARM,51,9.24
ARM,52,9.33
ARM,53,9.43
ARM,54,9.54
ARM,55,9.65
ARM,56,9.75
ARM,57,9.86
ARM,58,9.97
ARM,59,10.07
ARM,60,10.19
ARM,61,10.29
ARM,62,10.39
ARM,63,10.49
ARM,64,10.58
ARM,65,10.72
ARM,66,10.86
ARM,67,11.02
ARM,68,11.18
ARM,69,11.31
ARM,70,11.44
ARM,71,11.56
ARM,72,11.69
ARM,73,11.87
ARM,74,12.04
ARM,75,12.21
ARM,76,12.38
ARM,77,12.55
ARM,78,12.73
ARM,79,12.92
ARM,80,13.11
ARM,81,13.37
ARM,82,13.6
ARM,83,13.8
ARM,84,14.09
ARM,85,14.36
ARM,86,14.63
ARM,87,15
ARM,88,15.38
ARM,89,15.83
ARM,90,16.28
ARM,91,16.7
ARM,92,17.31
ARM,93,17.94
ARM,94,19.01
ARM,95,20.19
ARM,96,21.52
ARM,97,23.1
ARM,98,26.06
ARM,99,31.24
ARM,100,52.34
ASM,1,4.75
ASM,2,7.35
ASM,3,8.82
ASM,4,9.95
ASM,5,10.89
ASM,6,11.72
ASM,7,12.46
ASM,8,13.14
ASM,9,13.77
ASM,10,14.37
ASM,11,14.93
ASM,12,15.47
ASM,13,15.98
ASM,14,16.48
ASM,15,16.96
ASM,16,17.42
ASM,17,17.87
ASM,18,18.32
ASM,19,18.75
ASM,20,19.18
ASM,21,19.6
ASM,22,20.01
ASM,23,20.41
ASM,24,20.82
ASM,25,21.21
ASM,26,21.61
ASM,27,22
ASM,28,22.39
ASM,29,22.78
ASM,30,23.16
ASM,31,23.54
ASM,32,23.93
ASM,33,24.31
ASM,34,24.69
ASM,35,25.08
ASM,36,25.46
ASM,37,25.84
ASM,38,26.23
ASM,39,26.62
ASM,40,27.01
ASM,41,27.4
ASM,42,27.79
ASM,43,28.19
ASM,44,28.59
ASM,45,28.99
ASM,46,29.4
ASM,47,29.81
ASM,48,30.23
ASM,49,30.65
ASM,50,31.07
ASM,51,31.51
ASM,52,31.95
ASM,53,32.39
ASM,54,32.84
ASM,55,33.3
ASM,56,33.77
ASM,57,34.25
ASM,58,34.73
ASM,59,35.23
ASM,60,35.74
ASM,61,36.25
ASM,62,36.78
ASM,63,37.33
ASM,64,37.88
ASM,65,38.46
ASM,66,39.04
ASM,67,39.65
ASM,68,40.27
ASM,69,40.92
ASM,70,41.58
ASM,71,42.27
ASM,72,42.99
ASM,73,43.73
ASM,74,44.5
ASM,75,45.31
ASM,76,46.15
ASM,77,47.03
ASM,78,47.96
ASM,79,48.94
ASM,80,49.97
ASM,81,51.06
ASM,82,52.22
ASM,83,53.45
ASM,84,54.78
ASM,85,56.2
ASM,86,57.75
ASM,87,59.43
ASM,88,61.27
ASM,89,63.31
ASM,90,65.59
ASM,91,68.16
ASM,92,71.1
ASM,93,74.53
ASM,94,78.6
ASM,95,83.59
ASM,96,89.94
ASM,97,98.51
ASM,98,111.22
ASM,99,133.92
ASM,100,232.05
ATG,1,1.52
ATG,2,2.78
ATG,3,3.6
ATG,4,4.28
ATG,5,4.87
ATG,6,5.41
ATG,7,5.91
ATG,8,6.37
ATG,9,6.82
ATG,10,7.24
ATG,11,7.65
ATG,12,8.05
ATG,13,8.44
ATG,14,8.81
ATG,15,9.18
ATG,16,9.55
ATG,17,9.91
ATG,18,10.26
ATG,19,10.61
ATG,20,10.96
ATG,21,11.3
ATG,22,11.64
ATG,23,11.98
ATG,24,12.32
ATG,25,12.66
ATG,26,13
ATG,27,13.34
ATG,28,13.68
ATG,29,14.02
ATG,30,14.36
ATG,31,14.7
ATG,32,15.04
ATG,33,15.39
ATG,34,15.74
ATG,35,16.09
ATG,36,16.44
ATG,37,16.8
ATG,38,17.16
ATG,39,17.52
ATG,40,17.89
ATG,41,18.26
ATG,42,18.64
ATG,43,19.02
ATG,44,19.41
ATG,45,19.81
ATG,46,20.21
ATG,47,20.61
ATG,48,21.03
ATG,49,21.45
ATG,50,21.87
ATG,51,22.31
ATG,52,22.76
ATG,53,23.21
ATG,54,23.68
ATG,55,24.16
ATG,56,24.64
ATG,57,25.14
ATG,58,25.66
ATG,59,26.18
ATG,60,26.72
ATG,61,27.28
ATG,62,27.85
ATG,63,28.44
ATG,64,29.05
ATG,65,29.68
ATG,66,30.34
ATG,67,31.01
ATG,68,31.71
ATG,69,32.44
ATG,70,33.2
ATG,71,33.99
ATG,72,34.82
ATG,73,35.69
ATG,74,36.59
ATG,75,37.55
ATG,76,38.55
ATG,77,39.61
ATG,78,40.73
ATG,79,41.93
ATG,80,43.19
ATG,81,44.55
ATG,82,46.01
ATG,83,47.58
ATG,84,49.27
ATG,85,51.12
ATG,86,53.15
ATG,87,55.38
ATG,88,57.86
ATG,89,60.64
ATG,90,63.78
ATG,91,67.39
ATG,92,71.6
ATG,93,76.59
ATG,94,82.66
ATG,95,90.29
ATG,96,100.28
ATG,97,114.26
ATG,98,135.98
ATG,99,177.61
ATG,100,413.44
AUS,1,1.42
AUS,2,9.7
AUS,3,16.13
AUS,4,19.5
AUS,5,21.97
AUS,6,24.08
AUS,7,25.77
AUS,8,27.27
AUS,9,28.76
AUS,10,29.96
AUS,11,31.29
AUS,12,32.64
AUS,13,33.82
AUS,14,34.95
AUS,15,36.4
AUS,16,37.57
AUS,17,38.52
AUS,18,39.62
AUS,19,40.36
AUS,20,41.12
AUS,21,41.72
AUS,22,42.41
AUS,23,43.16
AUS,24,43.95
AUS,25,44.7
AUS,26,45.43
AUS,27,46.07
AUS,28,46.97
AUS,29,47.83
AUS,30,48.62
AUS,31,49.4
AUS,32,50.21
AUS,33,50.68
AUS,34,51.19
AUS,35,51.88
AUS,36,52.52
AUS,37,53.42
AUS,38,54.12
AUS,39,54.99
AUS,40,55.94
AUS,41,56.66
AUS,42,57.38
AUS,43,58.15
AUS,44,58.93
AUS,45,59.81
AUS,46,60.68
AUS,47,61.52
AUS,48,62.42
AUS,49,63.29
AUS,50,64.39
AUS,51,65.52
AUS,52,66.64
AUS,53,67.47
AUS,54,68.43
AUS,55,69.51
AUS,56,70.64
AUS,57,71.67
AUS,58,72.74
AUS,59,73.78
AUS,60,75.07
AUS,61,76.12
AUS,62,77
AUS,63,78.07
AUS,64,79.25
AUS,65,80.54
AUS,66,81.82
AUS,67,83.09
AUS,68,84.54
AUS,69,86.07
AUS,70,87.51
AUS,71,88.98
AUS,72,90.41
AUS,73,92.09
AUS,74,94.11
AUS,75,95.88
AUS,76,97.84
AUS,77,99.73
AUS,78,102
AUS,79,103.71
AUS,80,105.69
AUS,81,108.02
AUS,82,110.54
AUS,83,112.88
AUS,84,115.66
AUS,85,118.6
AUS,86,121.91
AUS,87,124.74
AUS,88,128.14
AUS,89,132.51
AUS,90,137.6
AUS,91,142.21
AUS,92,147.39
AUS,93,153.3
AUS,94,159.48
AUS,95,166.92
AUS,96,178.19
AUS,97,194.2
AUS,98,217.58
AUS,99,260.14
AUS,100,396.2
AUT,1,3.14
AUT,2,11.74
AUT,3,16.03
AUT,4,21.61
AUT,5,24.65
AUT,6,26.64
AUT,7,28.6
AUT,8,30.78
AUT,9,32.25
AUT,10,33.79
AUT,11,34.86
AUT,12,35.93
AUT,13,37.25
AUT,14,38.28
AUT,15,39.18
AUT,16,40.25
AUT,17,41.3
AUT,18,42.35
AUT,19,43.44
AUT,20,44.88
AUT,21,46.02
AUT,22,47.07
AUT,23,47.61
AUT,24,48.06
AUT,25,49.03
AUT,26,49.89
AUT,27,51.03
AUT,28,52.08
AUT,29,52.82
AUT,30,53.42
AUT,31,54.07
AUT,32,54.91
AUT,33,55.63
AUT,34,56.47
AUT,35,57.38
AUT,36,58.2
AUT,37,58.97
AUT,38,59.62
AUT,39,60.22
AUT,40,61.03
AUT,41,62.07
AUT,42,63.19
AUT,43,64.03
AUT,44,65.18
AUT,45,66.35
AUT,46,67.23
AUT,47,68.03
AUT,48,68.97
AUT,49,69.95
AUT,50,70.63
AUT,51,71.43
AUT,52,72.23
AUT,53,73.07
AUT,54,74.08
AUT,55,74.87
AUT,56,75.81
AUT,57,76.7
AUT,58,77.69
AUT,59,78.5
AUT,60,79.29
AUT,61,80.28
AUT,62,81.18
AUT,63,82.29
AUT,64,83.29
AUT,65,84.16
AUT,66,85.49
AUT,67,86.7
AUT,68,87.74
AUT,69,88.96
AUT,70,90.37
AUT,71,91.49
AUT,72,92.69
AUT,73,93.94
AUT,74,95.17
AUT,75,96.38
AUT,76,97.87
AUT,77,99.41
AUT,78,100.64
AUT,79,102.01
AUT,80,103.53
AUT,81,105.16
AUT,82,106.9
AUT,83,108.82
AUT,84,111.48
AUT,85,113.85
AUT,86,116.41
AUT,87,119.29
AUT,88,122.14
AUT,89,125.75
AUT,90,128.98
AUT,91,133.56
AUT,92,138.2
AUT,93,143.57
AUT,94,149.8
AUT,95,158.04
AUT,96,167.16
AUT,97,181.57
AUT,98,200.9
AUT,99,232
AUT,100,492.38
AZE,1,7.76
AZE,2,8.7
AZE,3,9.19
AZE,4,9.58
AZE,5,9.88
AZE,6,10.19
AZE,7,10.45
AZE,8,10.65
AZE,9,10.86
AZE,10,11.05
AZE,11,11.27
AZE,12,11.48
AZE,13,11.64
AZE,14,11.79
AZE,15,11.95
AZE,16,12.1
AZE,17,12.27
AZE,18,12.46
AZE,19,12.58
AZE,20,12.7
AZE,21,12.83
AZE,22,12.95
AZE,23,13.09
AZE,24,13.22
AZE,25,13.4
AZE,26,13.53
AZE,27,13.64
AZE,28,13.76
AZE,29,13.89
AZE,30,14.04
AZE,31,14.18
AZE,32,14.31
AZE,33,14.44
AZE,34,14.59
AZE,35,14.72
AZE,36,14.85
AZE,37,15
AZE,38,15.13
AZE,39,15.26
AZE,40,15.37
AZE,41,15.5
AZE,42,15.61
AZE,43,15.75
AZE,44,15.87
AZE,45,15.99
AZE,46,16.15
AZE,47,16.31
AZE,48,16.48
AZE,49,16.62
AZE,50,16.75
AZE,51,16.9
AZE,52,17.04
AZE,53,17.21
AZE,54,17.4
AZE,55,17.57
AZE,56,17.71
AZE,57,17.87
AZE,58,18.07
AZE,59,18.28
AZE,60,18.54
AZE,61,18.76
AZE,62,19.01
AZE,63,19.22
AZE,64,19.4
AZE,65,19.63
AZE,66,19.9
