hex_id,pop,light
865802c77ffffff,8278,39
865802c87ffffff,16579,33
865802c8fffffff,6510,29
865802c97ffffff,13852,33
865802c9fffffff,9631,29
865802ca7ffffff,20345,28
865802cafffffff,14738,28
865802cb7ffffff,27125,32
865802cc7ffffff,4468,58
865802ccfffffff,2723,35
865802cd7ffffff,3002,34
865802cdfffffff,1631,73
865802ce7ffffff,4171,46
865802cefffffff,2654,53
865802cf7ffffff,7426,28
865802d07ffffff,11044,30
865802d0fffffff,4798,28
865802d17ffffff,10151,30
865802d1fffffff,13770,29
865802d27ffffff,5532,28
865802d2fffffff,8510,47
865802d37ffffff,7016,29
865802d47ffffff,4435,30
865802d4fffffff,13424,31
865802d57ffffff,3350,27
865802d5fffffff,9890,28
865802d67ffffff,4547,40
865802d6fffffff,7038,33
865802d77ffffff,3683,116
865802d87ffffff,26078,30
865802d8fffffff,43477,31
865802d97ffffff,7188,30
865802d9fffffff,16009,28
865802da7ffffff,8112,83
865802dafffffff,31533,31
865802db7ffffff,5762,30
865803097ffffff,1791,26
86580320fffffff,5771,34
865803217ffffff,6905,30
86580321fffffff,4996,30
865803247ffffff,3415,37
86580324fffffff,6738,48
865803257ffffff,6304,39
86580325fffffff,15421,86
865803267ffffff,2742,33
86580326fffffff,5206,33
865803277ffffff,2916,33
865803287ffffff,6377,30
86580328fffffff,3695,30
865803297ffffff,18835,39
86580329fffffff,6511,28
8658032a7ffffff,10706,29
8658032afffffff,4984,30
8658032b7ffffff,18329,31
8658032c7ffffff,5079,38
8658032cfffffff,29874,134
8658032d7ffffff,9869,33
8658032dfffffff,20900,36
8658032e7ffffff,4162,117
8658032efffffff,15199,70
8658032f7ffffff,3539,33
865803387ffffff,53509,70
86580338fffffff,21068,34
865803397ffffff,18872,33
86580339fffffff,8315,29
865803407ffffff,4332,29
86580340fffffff,2721,30
865803417ffffff,3972,32
86580341fffffff,5051,32
865803427ffffff,2991,30
86580342fffffff,3302,30
865803437ffffff,11183,32
865803447ffffff,4018,29
86580344fffffff,4910,28
865803457ffffff,2997,30
86580345fffffff,8742,28
865803467ffffff,1829,29
86580346fffffff,2340,28
865803477ffffff,2970,30
865803487ffffff,3614,48
86580348fffffff,5419,34
865803497ffffff,3478,31
86580349fffffff,4061,38
8658034a7ffffff,4080,318
8658034afffffff,4612,74
8658034b7ffffff,4249,28
8658034c7ffffff,6686,34
8658034cfffffff,5463,37
8658034d7ffffff,34274,41
8658034dfffffff,10530,46
8658034e7ffffff,3715,32
8658034efffffff,5054,30
8658034f7ffffff,4537,377
865803507ffffff,3329,29
86580350fffffff,5946,29
865803517ffffff,4417,31
86580351fffffff,8610,66
865803527ffffff,1674,131
86580352fffffff,2016,31
865803537ffffff,4628,30
865803547ffffff,1112,28
86580354fffffff,894,27
865803557ffffff,3101,29
86580355fffffff,1318,28
865803567ffffff,1024,27
86580356fffffff,912,27
865803577ffffff,2858,27
865803587ffffff,3440,48
86580358fffffff,6909,34
865803597ffffff,3649,51
86580359fffffff,3507,33
8658035a7ffffff,14496,48
8658035afffffff,8453,36
8658035b7ffffff,15963,29
865803607ffffff,2997,29
86580360fffffff,6319,30
865803617ffffff,3289,29
86580361fffffff,3933,30
865803627ffffff,3724,28
86580362fffffff,4979,29
865803637ffffff,2377,29
865803647ffffff,11069,29
86580364fffffff,12651,29
865803657ffffff,14910,29
86580365fffffff,18744,31
865803667ffffff,9442,36
86580366fffffff,12796,30
865803677ffffff,8748,42
865803687ffffff,1799,28
86580368fffffff,3539,57
865803697ffffff,1485,27
86580369fffffff,1490,28
8658036a7ffffff,2745,28
8658036afffffff,3227,27
8658036b7ffffff,2942,28
8658036c7ffffff,9942,37
8658036cfffffff,8171,32
8658036d7ffffff,7201,101
8658036dfffffff,11574,31
8658036e7ffffff,7859,30
8658036efffffff,32340,37
8658036f7ffffff,5746,63
865803707ffffff,9273,28
86580370fffffff,6096,28
865803717ffffff,2554,24
86580371fffffff,4076,27
86580372fffffff,12911,31
865803737ffffff,4522,25
865803747ffffff,5680,29
86580374fffffff,16073,28
865803757ffffff,3361,27
86580375fffffff,6442,28
865803767ffffff,5517,28
86580376fffffff,8153,28
865803777ffffff,4874,27
865803787ffffff,4413,27
86580378fffffff,4093,28
865803797ffffff,6049,28
86580379fffffff,4110,29
8658037a7ffffff,3711,26
8658037afffffff,2195,28
8658037b7ffffff,4596,28
865803c07ffffff,2259,46
865803c0fffffff,1970,31
865803c17ffffff,1437,29
865803c1fffffff,1528,70
865803c27ffffff,2483,31
865803c2fffffff,2096,33
865803c37ffffff,2850,31
865803c57ffffff,3111,30
865803c87ffffff,2560,29
865803c8fffffff,1061,28
865803c97ffffff,8137,32
865803c9fffffff,4492,32
865803ca7ffffff,1661,28
865803cafffffff,1075,28
865803cb7ffffff,5581,31
865803cc7ffffff,1252,27
865803ccfffffff,1444,28
865803cd7ffffff,898,31
865803cdfffffff,1172,29
865803ce7ffffff,1496,32
865803cefffffff,2801,31
865803cf7ffffff,971,31
865803d07ffffff,1074,30
865803d0fffffff,2473,30
865803d17ffffff,2154,27
865803d1fffffff,2637,28
865803d27ffffff,1363,29
865803d37ffffff,1455,28
865803d87ffffff,4502,29
865803d8fffffff,1810,29
865803d97ffffff,13409,29
865803d9fffffff,4693,29
865803da7ffffff,5114,30
865803dafffffff,4675,31
865803db7ffffff,11738,31
865806287ffffff,2673,29
86580628fffffff,3394,28
865806297ffffff,2739,28
86580629fffffff,7929,28
8658062b7ffffff,3944,29
865806487ffffff,2238,31
86580648fffffff,1742,29
865806497ffffff,1505,30
86580649fffffff,1858,29
8658064a7ffffff,1677,31
8658064afffffff,2487,31
8658064b7ffffff,908,30
8658064c7ffffff,1339,31
8658064cfffffff,1470,29
8658064d7ffffff,1663,29
8658064dfffffff,1978,30
8658064e7ffffff,5622,31
8658064efffffff,2293,30
8658064f7ffffff,1676,32
86580659fffffff,1352,30
865806607ffffff,10064,29
86580660fffffff,8050,29
865806617ffffff,9246,29
86580661fffffff,5000,29
865806627ffffff,9747,33
86580662fffffff,7807,31
865806637ffffff,28305,37
865806647ffffff,4825,27
86580664fffffff,6223,29
865806657ffffff,5167,33
86580665fffffff,5528,26
865806667ffffff,4673,28
86580666fffffff,5493,28
865806677ffffff,6413,29
865806687ffffff,7524,29
86580668fffffff,3790,29
865806697ffffff,12639,29
86580669fffffff,5552,35
8658066a7ffffff,13225,31
8658066afffffff,6241,28
8658066b7ffffff,10102,29
8658066c7ffffff,5679,29
8658066cfffffff,7037,41
8658066d7ffffff,5874,29
8658066dfffffff,6612,43
8658066e7ffffff,5786,27
8658066efffffff,7587,29
8658066f7ffffff,4912,29
86580670fffffff,8041,32
86580671fffffff,19380,50
865806747ffffff,4605,28
86580674fffffff,2999,29
865806757ffffff,4918,31
86580675fffffff,7195,31
86580676fffffff,5517,28
865806777ffffff,5443,29
865806787ffffff,9130,34
86580678fffffff,25456,38
865806797ffffff,4906,30
86580679fffffff,8379,29
8658067afffffff,74847,43
8658067b7ffffff,3708,31
865808487ffffff,18626,31
86580848fffffff,14664,31
865808497ffffff,32801,42
86580849fffffff,17932,33
8658084b7ffffff,14195,34
8658084d7ffffff,21965,36
8658084dfffffff,8503,43
865808687ffffff,1987,33
86580868fffffff,5675,33
865808697ffffff,3004,31
86580869fffffff,3533,34
8658086a7ffffff,2131,30
8658086afffffff,2027,32
