iso3c,year,access_electricity,area
SSF,2021,30.4,rural
SSF,2022,30.74,rural
SSF,2023,33.24,rural
WLD,2000,66.38,rural
WLD,2001,68.21,rural
WLD,2002,68.45,rural
WLD,2003,67.35,rural
WLD,2004,66.97,rural
WLD,2005,68.28,rural
WLD,2006,68.93,rural
WLD,2007,68.99,rural
WLD,2008,70.71,rural
WLD,2009,72.21,rural
WLD,2010,72.78,rural
WLD,2011,74.13,rural
WLD,2012,74.75,rural
WLD,2013,75.94,rural
WLD,2014,76.19,rural
WLD,2015,76.66,rural
WLD,2016,79.26,rural
WLD,2017,80.77,rural
WLD,2018,81.99,rural
WLD,2019,82.62,rural
WLD,2020,82.85,rural
WLD,2021,84.34,rural
WLD,2022,83.88,rural
WLD,2023,84.27,rural
EAS,2000,98.58,urban
EAS,2001,98.47,urban
EAS,2002,98.55,urban
EAS,2003,98.86,urban
EAS,2004,98.66,urban
EAS,2005,98.76,urban
EAS,2006,98.86,urban
EAS,2007,99.1,urban
EAS,2008,99.18,urban
EAS,2009,99.35,urban
EAS,2010,99.43,urban
EAS,2011,99.49,urban
EAS,2012,99.48,urban
EAS,2013,99.54,urban
EAS,2014,99.57,urban
EAS,2015,99.64,urban
EAS,2016,99.7,urban
EAS,2017,99.72,urban
EAS,2018,99.75,urban
EAS,2019,99.77,urban
EAS,2020,99.75,urban
EAS,2021,99.81,urban
EAS,2022,99.81,urban
EAS,2023,99.83,urban
ECS,2000,99.37,urban
ECS,2001,99.37,urban
ECS,2002,99.39,urban
ECS,2003,99.38,urban
ECS,2004,99.38,urban
ECS,2005,99.41,urban
ECS,2006,99.44,urban
ECS,2007,99.48,urban
ECS,2008,99.53,urban
ECS,2009,99.59,urban
ECS,2010,99.71,urban
ECS,2011,99.75,urban
ECS,2012,99.92,urban
ECS,2013,99.93,urban
ECS,2014,99.94,urban
ECS,2015,99.14,urban
ECS,2016,99.81,urban
ECS,2017,99.83,urban
ECS,2018,99.98,urban
ECS,2019,99.86,urban
ECS,2020,99.86,urban
ECS,2021,99.86,urban
ECS,2022,99.84,urban
ECS,2023,100,urban
LCN,2000,98.39,urban
LCN,2001,98.14,urban
LCN,2002,98.27,urban
LCN,2003,98.15,urban
LCN,2004,98.43,urban
LCN,2005,98.44,urban
LCN,2006,98.66,urban
LCN,2007,98.76,urban
LCN,2008,98.99,urban
LCN,2009,99.01,urban
LCN,2010,99.17,urban
LCN,2011,99.25,urban
LCN,2012,99.32,urban
LCN,2013,99.39,urban
LCN,2014,99.37,urban
LCN,2015,99.39,urban
LCN,2016,99.48,urban
LCN,2017,99.51,urban
LCN,2018,99.52,urban
LCN,2019,99.6,urban
LCN,2020,99.58,urban
LCN,2021,99.56,urban
LCN,2022,99.63,urban
LCN,2023,99.7,urban
MEA,2000,97.16,urban
MEA,2001,97.23,urban
MEA,2002,97.32,urban
MEA,2003,97.43,urban
MEA,2004,97.58,urban
MEA,2005,97.52,urban
MEA,2006,98.16,urban
MEA,2007,97.88,urban
MEA,2008,98.28,urban
MEA,2009,98.26,urban
MEA,2010,98.56,urban
MEA,2011,98.78,urban
MEA,2012,98.97,urban
MEA,2013,99.09,urban
MEA,2014,99.27,urban
MEA,2015,99.05,urban
MEA,2016,99.35,urban
MEA,2017,99.45,urban
MEA,2018,99.19,urban
MEA,2019,99.54,urban
MEA,2020,99.61,urban
MEA,2021,99.67,urban
MEA,2022,99.7,urban
MEA,2023,99.71,urban
NAC,2000,100,urban
NAC,2001,100,urban
NAC,2002,100,urban
NAC,2003,100,urban
NAC,2004,100,urban
NAC,2005,100,urban
NAC,2006,100,urban
NAC,2007,100,urban
NAC,2008,100,urban
NAC,2009,100,urban
NAC,2010,100,urban
NAC,2011,100,urban
NAC,2012,100,urban
NAC,2013,100,urban
NAC,2014,100,urban
NAC,2015,100,urban
NAC,2016,100,urban
NAC,2017,100,urban
NAC,2018,100,urban
NAC,2019,100,urban
NAC,2020,100,urban
NAC,2021,100,urban
NAC,2022,100,urban
NAC,2023,100,urban
SAS,2000,88.57,urban
SAS,2001,88.63,urban
SAS,2002,89.23,urban
SAS,2003,89.75,urban
SAS,2004,89.8,urban
SAS,2005,90.93,urban
SAS,2006,91.53,urban
SAS,2007,91.86,urban
SAS,2008,92.7,urban
SAS,2009,95.02,urban
SAS,2010,93.62,urban
SAS,2011,94.85,urban
SAS,2012,95.52,urban
SAS,2013,95.67,urban
SAS,2014,96.43,urban
SAS,2015,97.07,urban
SAS,2016,97.71,urban
SAS,2017,98.76,urban
SAS,2018,98.8,urban
SAS,2019,99.52,urban
SAS,2020,98.82,urban
SAS,2021,99.9,urban
SAS,2022,99.98,urban
SAS,2023,99.9,urban
SSF,2000,61.64,urban
SSF,2001,61.8,urban
SSF,2002,63.01,urban
SSF,2003,64.07,urban
SSF,2004,64.45,urban
SSF,2005,65.39,urban
SSF,2006,66.08,urban
SSF,2007,67.99,urban
SSF,2008,66.73,urban
SSF,2009,67.97,urban
SSF,2010,68.26,urban
SSF,2011,72.25,urban
SSF,2012,72.43,urban
SSF,2013,72.5,urban
SSF,2014,72.56,urban
SSF,2015,72.35,urban
SSF,2016,74.9,urban
SSF,2017,76.29,urban
SSF,2018,75.66,urban
SSF,2019,77.35,urban
SSF,2020,78.45,urban
SSF,2021,80.74,urban
SSF,2022,80.97,urban
SSF,2023,82.12,urban
WLD,2000,94.78,urban
WLD,2001,94.68,urban
WLD,2002,94.84,urban
WLD,2003,95.01,urban
WLD,2004,94.98,urban
WLD,2005,95.16,urban
WLD,2006,95.36,urban
WLD,2007,95.56,urban
WLD,2008,95.59,urban
WLD,2009,95.99,urban
WLD,2010,95.88,urban
WLD,2011,96.39,urban
WLD,2012,96.49,urban
WLD,2013,96.5,urban
WLD,2014,96.57,urban
WLD,2015,96.44,urban
WLD,2016,96.9,urban
WLD,2017,97.14,urban
WLD,2018,97.04,urban
WLD,2019,97.29,urban
WLD,2020,97.27,urban
WLD,2021,97.64,urban
WLD,2022,97.64,urban
WLD,2023,97.76,urban
