discharge,longitude,latitude
253,-79.6996,8.8746
252,104.8187,9.0346
251,122.8485,10.2785
251,121.4696,13.1363
251,123.2362,10.0296
251,110.5746,-6.7346
251,-72.3446,18.6288
250,122.9487,10.7121
250,105.8821,-6.8379
249,103.7408,1.4596
249,123.7379,13.3563
248,72.7171,19.9704
248,79.8125,11.8812
248,-73.7496,18.1896
248,124.3696,40.0296
247,123.6571,8.6363
247,117.0304,23.6296
247,-72.3488,18.5479
246,74.9312,12.6117
246,121.4374,25.1609
245,-57.9692,-34.8179
244,105.8571,-4.6771
244,125.6804,7.2546
244,-90.3363,13.8338
243,120.4229,17.1871
243,97.7593,15.534
243,72.9767,18.51
243,-34.8287,-7.9579
242,120.3375,16.7613
242,81.2537,8.4621
241,98.7929,3.7229
241,73.3179,16.8079
240,110.1879,20.8479
239,123.0283,10.9187
239,98.6725,3.7771
238,102.1242,1.1233
237,-13.0954,8.8413
237,-87.3379,13.0954
236,-40.8054,-21.0054
236,106.1387,9.4038
236,19.3871,40.8354
235,120.3196,36.2388
235,110.3146,20.0421
235,120.4062,16.9058
234,79.7858,11.7362
234,106.5687,-6.0304
234,118.9646,37.2813
234,34.9079,36.7254
233,113.4762,-8.3846
232,111.1996,-6.6704
232,-88.2304,15.7254
232,103.4446,4.2421
231,124.9737,10.3388
231,103.5496,1.4371
231,125.0162,10.8971
230,75.1775,12.1
230,32.0529,41.5796
230,103.4021,4.7775
230,122.1325,7.6804
230,121.0796,30.5963
229,79.8337,11.9238
229,120.3258,34.105
229,109.4937,-6.8046
228,32.5204,-25.9329
228,83.3421,17.7379
228,117.3312,-0.7488
227,124.5921,12.0654
226,118.1071,5.8696
226,125.5354,7.0396
225,121.5187,28.6288
225,107.3637,10.4679
224,124.9862,11.4179
224,8.2771,4.8538
224,113.8654,22.5563
224,125.7237,9.5854
223,110.5637,19.1563
223,78.2687,9.0096
223,101.0937,3.5046
223,113.5704,22.2963
223,110.5729,-6.7746
222,-61.0254,10.6046
222,124.2054,7.2671
222,120.1479,16.0379
222,74.7825,13.0437
222,108.1454,-7.7821
221,124.7462,11.3321
221,115.9087,5.7529
221,87.8796,21.7996
221,-79.5637,8.9429
221,-79.5638,8.9429
220,125.6562,7.1763
219,123.8579,8.3217
219,123.4021,8.6313
219,119.2217,34.7929
219,108.2221,16.0238
218,108.1787,16.0763
218,77.0733,8.3129
218,-57.5425,-37.9775
217,104.8454,10.1454
217,-51.0804,-0.6671
217,104.4871,10.3754
217,120.5746,18.2829
217,123.8671,8.1921
217,123.9212,7.6904
217,72.7487,20.2038
216,124.2271,13.5754
216,7.7621,36.8796
216,126.0446,9.7617
215,125.3729,6.7204
215,125.4421,12.1354
214,122.9687,10.7942
214,116.2421,22.9371
214,73.0904,17.8421
213,122.5904,13.8963
212,109.6387,-7.7863
212,76.6729,8.7838
212,73.4046,16.4046
211,120.3171,16.6304
211,-48.6662,-26.5779
211,-84.6388,9.7846
211,125.305,12.3837
211,121.6612,14.7679
211,-46.3462,-23.9679
210,113.6012,-8.4346
210,-72.3388,18.5763
210,73.9096,15.4104
210,123.4479,7.8204
209,121.0237,28.1438
209,14.5287,32.5004
209,123.7546,13.1671
208,121.1137,30.2938
208,0.6487,5.7954
208,111.2796,1.6188
208,-88.8104,13.2704
208,125.8312,9.5425
208,121.9796,12.4042
207,117.3787,23.9454
207,124.2862,13.5946
207,125.0154,11.1779
207,122.8521,10.0817
207,124.4771,11.3779
206,84.8037,19.1463
206,100.0187,6.5996
206,-46.2929,-23.9888
206,100.0637,8.4713
206,122.7717,10.9592
206,109.2262,13.8129
206,125.9812,9.9379
205,-63.2587,10.6717
205,123.8721,12.6738
205,-61.5371,10.6679
205,118.0704,24.4754
204,120.0654,14.9888
204,76.2554,10.0396
204,117.4146,-0.5354
204,120.4362,17.7421
204,-0.1188,35.7879
204,98.2087,13.9696
204,93.6637,19.0704
203,100.0054,8.5671
203,122.7612,7.7546
203,9.2129,4.0038
203,-48.8579,-28.615
203,123.1187,7.7263
203,100.3512,-0.9313
202,123.6512,10.0896
202,95.2779,16.1808
202,74.8921,12.7063
202,113.3137,22.7996
202,31.0012,-29.8846
202,120.9987,13.7829
201,123.8329,8.1413
201,124.7954,10.6988
201,120.5854,14.6296
201,120.4187,17.2254
201,121.9662,10.7163
201,-13.6438,9.6171
201,125.5479,11.4163
201,120.2287,14.8763
200,105.8887,18.3975
200,-2.2796,4.9054
200,107.1587,16.8813
200,126.3321,8.3629
199,87.7496,21.6938
199,120.5496,14.7129
199,124.5779,11.5863
199,-3.7254,5.1938
199,75.9062,10.8363
199,-79.9137,-2.2738
199,97.4504,16.5396
199,9.654,4.0593
198,124.7921,10.3021
198,122.8054,10.9954
198,-49.3437,-28.9238
198,73.0642,17.9329
198,9.6537,3.5504
197,122.9637,14.1521
197,115.6146,22.8975
197,123.2346,10.9946
197,94.7221,16.5046
197,-34.9687,-8.3829
197,3.6687,36.8388
196,123.5396,13.6071
196,10.185,37.1121
196,122.1596,40.7079
195,101.7121,2.5963
195,82.8729,17.4246
195,122.6187,8.1054
194,100.845,3.8537
194,123.2837,10.9713
194,-69.3096,18.45
193,73.005,19.0288
193,73.3821,16.6121
192,100.1412,8.3896
192,120.7329,13.9333
191,120.9746,12.4338
191,-72.6829,19.4154
191,126.2721,8.9771
191,-87.7179,15.9188
191,121.0337,13.7671
191,98.8454,3.7021
191,-12.9113,8.5579
190,83.5662,18.0121
190,72.6896,21.4596
190,5.4496,5.1329
190,74.9562,12.5496
189,121.0179,13.7763
189,120.4462,17.8546
189,120.0137,15.2713
189,77.4846,8.0896
188,81.0229,6.1063
188,120.1429,36.1829
187,109.3087,13.0629
187,74.6212,13.8138
186,121.0937,13.4163
186,100.7046,7.0588
186,87.1246,21.5163
186,99.76,-0.1004
186,107.1379,10.4629
186,72.1096,21.3021
186,113.6146,22.9396
186,119.8596,-0.8854
185,90.7237,22.92
185,125.25,6.0962
185,72.7804,19.4954
185,124.7387,10.3746
185,121.8112,13.4513
185,82.6104,17.2929
185,116.2904,22.9596
185,28.7571,40.9804
184,83.4596,17.9063
184,116.8842,23.5546
184,120.3987,16.8788
184,27.0779,38.4679
183,-71.7504,9.2021
183,124.9746,11.6621
183,98.2804,13.7121
183,121.1537,5.9288
183,28.6979,40.9738
183,-72.1954,19.7429
183,97.7829,15.3996
183,103.3883,3.9529
182,8.9129,4.5146
181,99.2429,10.5088
181,126.3129,8.2204
181,106.4312,17.7346
181,113.7204,22.7521
180,123.5362,10.8346
180,9.9062,3.2608
180,121.5662,15.7654
180,107.8129,-6.1879
179,123.805,13.2937
179,120.5483,14.7825
179,6.9521,4.7446
179,30.6487,41.1279
179,125.5246,9.0121
179,-58.1871,6.7829
178,-51.2571,-30.0129
178,-79.4196,9.0163
178,76.2612,10.0571
178,110.4396,-6.9521
177,109.0093,11.5426
177,110.5171,-6.8646
177,36.9037,-17.9313
177,113.9379,-7.6821
177,122.3146,13.5921
177,100.6162,4.4463
176,122.4904,11.5671
176,124.1346,12.9321
176,73.7529,15.6308
176,-0.9204,5.2071
176,123.7821,10.2304
175,95.7104,16.0754
175,-79.4196,9.0163
175,123.7537,8.0563
175,-52.2546,-31.7788
175,96.1254,16.7621
175,119.4029,-5.1671
174,120.6362,30.4071
174,-12.3263,7.5329
173,120.9958,28.0988
173,113.3087,-8.3083
173,96.0804,16.3492
172,114.5562,-3.3229
172,123.4929,10.1213
172,122.8512,11.0188
