iso3c,skill,group,value
PER,OCU_SKILL_L1,urban,0.9048110333
PER,OCU_SKILL_L2,urban,0.9912414481
PER,OCU_SKILL_L3-4,urban,1.206114906
PHL,OCU_SKILL_L1,urban,0.8206230624
PHL,OCU_SKILL_L2,urban,1.033555507
PHL,OCU_SKILL_L3-4,urban,1.225506146
PLW,OCU_SKILL_L1,urban,0.8622377479
PLW,OCU_SKILL_L2,urban,1.061770731
PLW,OCU_SKILL_L3-4,urban,0.9815601101
PNG,OCU_SKILL_L1,urban,1.222582528
PNG,OCU_SKILL_L2,urban,0.8552370469
PNG,OCU_SKILL_L3-4,urban,1.47731354
POL,OCU_SKILL_L1,urban,0.9008510944
POL,OCU_SKILL_L2,urban,0.8232550567
POL,OCU_SKILL_L3-4,urban,1.203538648
PRT,OCU_SKILL_L1,urban,0.9080838078
PRT,OCU_SKILL_L2,urban,0.9388238788
PRT,OCU_SKILL_L3-4,urban,1.094890481
PRY,OCU_SKILL_L1,urban,0.9412084346
PRY,OCU_SKILL_L2,urban,0.9105135193
PRY,OCU_SKILL_L3-4,urban,1.320473418
PSE,OCU_SKILL_L1,urban,0.9786167389
PSE,OCU_SKILL_L2,urban,0.9943232059
PSE,OCU_SKILL_L3-4,urban,1.025648899
ROU,OCU_SKILL_L1,urban,0.6765028796
ROU,OCU_SKILL_L2,urban,0.911239483
ROU,OCU_SKILL_L3-4,urban,1.306588251
RUS,OCU_SKILL_L1,urban,0.8205202693
RUS,OCU_SKILL_L2,urban,0.950205134
RUS,OCU_SKILL_L3-4,urban,1.074086584
RWA,OCU_SKILL_L1,urban,0.7038345563
RWA,OCU_SKILL_L2,urban,1.165640505
RWA,OCU_SKILL_L3-4,urban,1.889725485
SDN,OCU_SKILL_L1,urban,1.028165562
SDN,OCU_SKILL_L2,urban,0.9087284272
SDN,OCU_SKILL_L3-4,urban,2.049034224
SEN,OCU_SKILL_L1,urban,1.022154045
SEN,OCU_SKILL_L2,urban,1.203265329
SEN,OCU_SKILL_L3-4,urban,1.377969763
SLE,OCU_SKILL_L1,urban,1.399848227
SLE,OCU_SKILL_L2,urban,0.8790644083
SLE,OCU_SKILL_L3-4,urban,1.806085991
SLV,OCU_SKILL_L1,urban,0.7395373958
SLV,OCU_SKILL_L2,urban,1.032877768
SLV,OCU_SKILL_L3-4,urban,1.301253709
SOM,OCU_SKILL_L1,urban,0.9497968458
SOM,OCU_SKILL_L2,urban,1.000036192
SOM,OCU_SKILL_L3-4,urban,1.057192152
SRB,OCU_SKILL_L1,urban,0.9536178707
SRB,OCU_SKILL_L2,urban,0.9700871262
SRB,OCU_SKILL_L3-4,urban,1.063133502
SSD,OCU_SKILL_L1,urban,1.103686862
SSD,OCU_SKILL_L2,urban,0.9147479655
SSD,OCU_SKILL_L3-4,urban,1.71265575
STP,OCU_SKILL_L1,urban,1.056765727
STP,OCU_SKILL_L2,urban,1.028968536
STP,OCU_SKILL_L3-4,urban,0.8579200238
SVK,OCU_SKILL_L1,urban,0.8041517014
SVK,OCU_SKILL_L2,urban,0.8810152191
SVK,OCU_SKILL_L3-4,urban,1.201365048
SVN,OCU_SKILL_L1,urban,0.9270612293
SVN,OCU_SKILL_L2,urban,0.9296671889
SVN,OCU_SKILL_L3-4,urban,1.10237768
SWE,OCU_SKILL_L1,urban,0.994661837
SWE,OCU_SKILL_L2,urban,0.90277053
SWE,OCU_SKILL_L3-4,urban,1.062948053
SWZ,OCU_SKILL_L1,urban,1.091853368
SWZ,OCU_SKILL_L2,urban,0.8597275891
SWZ,OCU_SKILL_L3-4,urban,1.381078201
TGO,OCU_SKILL_L1,urban,1.743154813
TGO,OCU_SKILL_L2,urban,0.9017848315
TGO,OCU_SKILL_L3-4,urban,1.759072411
THA,OCU_SKILL_L1,urban,0.9482745768
THA,OCU_SKILL_L2,urban,0.9389646074
THA,OCU_SKILL_L3-4,urban,1.367199229
TJK,OCU_SKILL_L1,urban,0.4438937368
TJK,OCU_SKILL_L2,urban,0.951480633
TJK,OCU_SKILL_L3-4,urban,1.567936086
TLS,OCU_SKILL_L1,urban,1.068793062
TLS,OCU_SKILL_L2,urban,0.7537987104
TLS,OCU_SKILL_L3-4,urban,1.986828927
TON,OCU_SKILL_L1,urban,0.9947688001
TON,OCU_SKILL_L2,urban,0.7848074511
TON,OCU_SKILL_L3-4,urban,1.429975817
TUN,OCU_SKILL_L1,urban,0.7945324327
TUN,OCU_SKILL_L2,urban,0.979541861
TUN,OCU_SKILL_L3-4,urban,1.244702106
TUR,OCU_SKILL_L1,urban,0.8857218031
TUR,OCU_SKILL_L2,urban,0.9287222007
TUR,OCU_SKILL_L3-4,urban,1.332619643
TZA,OCU_SKILL_L1,urban,1.667270844
TZA,OCU_SKILL_L2,urban,0.8492705607
TZA,OCU_SKILL_L3-4,urban,1.860897631
UGA,OCU_SKILL_L1,urban,1.371612353
UGA,OCU_SKILL_L2,urban,0.9157740211
UGA,OCU_SKILL_L3-4,urban,1.842280947
UKR,OCU_SKILL_L1,urban,0.5083163471
UKR,OCU_SKILL_L2,urban,1.021648979
UKR,OCU_SKILL_L3-4,urban,1.203830708
URY,OCU_SKILL_L1,urban,0.9671245156
URY,OCU_SKILL_L2,urban,0.9926663276
URY,OCU_SKILL_L3-4,urban,1.038064836
USA,OCU_SKILL_L1,urban,0.9650959872
USA,OCU_SKILL_L2,urban,0.9726595738
USA,OCU_SKILL_L3-4,urban,1.026454569
VNM,OCU_SKILL_L1,urban,0.5774362862
VNM,OCU_SKILL_L2,urban,1.033040795
VNM,OCU_SKILL_L3-4,urban,1.837854166
VUT,OCU_SKILL_L1,urban,1.062160144
VUT,OCU_SKILL_L2,urban,0.7174841479
VUT,OCU_SKILL_L3-4,urban,1.692363559
WSM,OCU_SKILL_L1,urban,0.8511202578
WSM,OCU_SKILL_L2,urban,0.7535052411
WSM,OCU_SKILL_L3-4,urban,1.984667019
YEM,OCU_SKILL_L1,urban,0.9728004898
YEM,OCU_SKILL_L2,urban,0.8577299885
YEM,OCU_SKILL_L3-4,urban,1.933866484
ZAF,OCU_SKILL_L1,urban,0.844329773
ZAF,OCU_SKILL_L2,urban,1.016878763
ZAF,OCU_SKILL_L3-4,urban,1.146947105
ZMB,OCU_SKILL_L1,urban,1.301837395
ZMB,OCU_SKILL_L2,urban,0.8348663759
ZMB,OCU_SKILL_L3-4,urban,1.881425711
ZWE,OCU_SKILL_L1,urban,1.208254009
ZWE,OCU_SKILL_L2,urban,0.7977136444
ZWE,OCU_SKILL_L3-4,urban,1.888374332
AFG,OCU_SKILL_L1,rural,0.9108365243
AFG,OCU_SKILL_L2,rural,1.056253177
AFG,OCU_SKILL_L3-4,rural,0.7233492491
AGO,OCU_SKILL_L1,rural,0.2242298161
AGO,OCU_SKILL_L2,rural,1.124423953
AGO,OCU_SKILL_L3-4,rural,0.223077412
ALB,OCU_SKILL_L1,rural,0.7342001982
ALB,OCU_SKILL_L2,rural,1.244235974
ALB,OCU_SKILL_L3-4,rural,0.4072699362
ARM,OCU_SKILL_L1,rural,0.7691221584
ARM,OCU_SKILL_L2,rural,1.277945126
ARM,OCU_SKILL_L3-4,rural,0.469096853
AUS,OCU_SKILL_L1,rural,1.200927361
AUS,OCU_SKILL_L2,rural,1.162132272
AUS,OCU_SKILL_L3-4,rural,0.8287199401
AUT,OCU_SKILL_L1,rural,0.9034546039
AUT,OCU_SKILL_L2,rural,1.139179293
AUT,OCU_SKILL_L3-4,rural,0.8744019672
BDI,OCU_SKILL_L1,rural,0.8347435473
BDI,OCU_SKILL_L2,rural,1.025216072
BDI,OCU_SKILL_L3-4,rural,0.5994460613
BEL,OCU_SKILL_L1,rural,0.9051053872
BEL,OCU_SKILL_L2,rural,1.084696197
BEL,OCU_SKILL_L3-4,rural,0.9437800166
BEN,OCU_SKILL_L1,rural,0.7639253289
BEN,OCU_SKILL_L2,rural,1.033408133
BEN,OCU_SKILL_L3-4,rural,0.5788612292
BFA,OCU_SKILL_L1,rural,0.7394712135
BFA,OCU_SKILL_L2,rural,1.055775332
BFA,OCU_SKILL_L3-4,rural,0.7774715826
BGD,OCU_SKILL_L1,rural,0.9276905864
BGD,OCU_SKILL_L2,rural,1.042324366
BGD,OCU_SKILL_L3-4,rural,0.6819410439
BGR,OCU_SKILL_L1,rural,1.701002167
BGR,OCU_SKILL_L2,rural,1.234890258
BGR,OCU_SKILL_L3-4,rural,0.4949428698
BIH,OCU_SKILL_L1,rural,1.195163894
