lng,lat,year,value
91.3997,25.0695,2000,179799
89.5226,25.5685,2000,73128
90.0941,22.7533,2000,92598
91.8717,24.8955,2000,727293
89.9188,24.2516,2000,352720
90.834,22.4082,2000,99790
92.2952,20.8642,2000,58376
88.4633,26.0324,2000,258180
90.3878,24.5759,2000,110920
89.63,25.7139,2000,54718
89.62,25.6575,2000,63971
89.5645,24.3135,2000,70188
89.2795,22.2536,2000,89986
-59.608,13.1173,2000,122012
28.5586,55.516,2000,125858
29.2102,53.1509,2000,223464
26.0183,53.1301,2000,201912
28.5048,54.2246,2000,115504
23.7141,52.1034,2000,300996
26.0962,52.1302,2000,183685
30.9777,52.437,2000,443679
23.8283,53.6791,2000,319602
25.2922,53.8906,2000,53797
30.3427,53.8968,2000,359253
26.8537,54.3108,2000,64337
27.5825,53.8933,2000,1651096
28.6549,55.5309,2000,66571
30.4099,54.5118,2000,106800
30.2073,55.1877,2000,340601
31.0261,52.3832,2000,71267
4.4213,51.2137,2000,533357
3.2197,51.2048,2000,69936
4.3608,50.8471,2000,1122132
4.4545,50.4183,2000,213295
3.7319,51.0538,2000,184031
3.2814,50.8372,2000,76941
4.2044,50.4772,2000,60884
4.7073,50.88,2000,67256
5.567,50.6375,2000,340585
4.4812,51.026,2000,62196
4.8578,50.4651,2000,64827
2.9242,51.224,2000,71549
3.8624,50.4278,2000,73541
2.0509,7.1797,2000,156722
2.3895,6.3865,2000,1032385
1.665,9.7046,2000,80314
1.7164,6.6407,2000,63690
1.38,10.2981,2000,51909
2.6222,9.3494,2000,120681
2.6579,6.976,2000,63079
2.6263,6.5008,2000,375797
2.0798,6.365,2000,58719
89.381,26.8635,2000,66323
89.6557,27.4385,2000,55302
-66.1715,-17.3995,2000,730718
-68.155,-16.5164,2000,1451665
-63.2517,-17.339,2000,61444
-67.1083,-17.9666,2000,188880
-65.7568,-19.5796,2000,134101
-66.06,-11.0078,2000,65501
-63.1635,-17.7955,2000,1036387
-65.2604,-19.0362,2000,187933
-64.7294,-21.5272,2000,111908
-64.8983,-14.8301,2000,65827
17.1961,44.7801,2000,168082
19.2137,44.7571,2000,56539
17.8064,43.3446,2000,54827
18.3706,43.8541,2000,394936
18.6754,44.534,2000,70267
17.9128,44.2086,2000,79451
27.5177,-21.1769,2000,64283
-48.8796,-1.7233,2000,67710
-38.4231,-12.1352,2000,100844
-55.7996,-29.7897,2000,51216
-45.9529,-21.42,2000,58483
-52.2167,-3.2036,2000,52083
-47.3594,-22.7409,2000,323857
-48.9522,-16.3247,2000,244944
-51.4514,-23.5508,2000,85370
-37.0727,-10.916,2000,555333
-48.1958,-18.6477,2000,81274
