iso3c,group,year,value
EAS,urban,1965,279700145
EAS,rural,1965,857169009
ECS,urban,1965,408583540
ECS,rural,1965,298099876
LCN,urban,1965,131710418
LCN,rural,1965,119040531
MEA,urban,1965,59118837
MEA,rural,1965,121242258
NAC,urban,1965,154847253
NAC,rural,1965,59181208
SAS,urban,1965,97496364
SAS,rural,1965,475001979
SSF,urban,1965,41943997
SSF,rural,1965,215862107
WLD,urban,1965,1173400554
WLD,rural,1965,2145596968
EAS,urban,1966,287428037
EAS,rural,1966,878795426
ECS,urban,1966,416837167
ECS,rural,1966,296606406
LCN,urban,1966,137245431
LCN,rural,1966,120242931
MEA,urban,1966,61714436
MEA,rural,1966,123651647
NAC,urban,1966,157639897
NAC,rural,1966,59016637
SAS,urban,1966,100810272
SAS,rural,1966,484570746
SSF,urban,1966,44171958
SSF,rural,1966,220356198
WLD,urban,1966,1205847198
WLD,rural,1966,2183239991
EAS,urban,1967,295169429
EAS,rural,1967,899463706
ECS,urban,1967,424943238
ECS,rural,1967,295203080
LCN,urban,1967,142945062
LCN,rural,1967,121334620
MEA,urban,1967,64621534
MEA,rural,1967,126043048
NAC,urban,1967,160253461
NAC,rural,1967,58920053
SAS,urban,1967,104319521
SAS,rural,1967,494299204
SSF,urban,1967,46517863
SSF,rural,1967,224981537
WLD,urban,1967,1238770108
WLD,rural,1967,2220245248
EAS,urban,1968,303536831
EAS,rural,1968,920860618
ECS,urban,1968,432817450
ECS,rural,1968,293816724
LCN,urban,1968,148803061
LCN,rural,1968,122324217
MEA,urban,1968,67562271
MEA,rural,1968,128536048
NAC,urban,1968,162607300
NAC,rural,1968,58893104
SAS,urban,1968,108016707
SAS,rural,1968,504155198
SSF,urban,1968,48994106
SSF,rural,1968,229779926
WLD,urban,1968,1272337726
WLD,rural,1968,2258365835
EAS,urban,1969,312477497
EAS,rural,1969,943690458
ECS,urban,1969,440688651
ECS,rural,1969,292355770
LCN,urban,1969,154816235
LCN,rural,1969,123222877
MEA,urban,1969,70664667
MEA,rural,1969,131077976
NAC,urban,1969,164734974
NAC,rural,1969,59021332
SAS,urban,1969,111855478
SAS,rural,1969,513917871
SSF,urban,1969,51602670
SSF,rural,1969,234689096
WLD,urban,1969,1306840172
WLD,rural,1969,2297975380
EAS,urban,1970,321409387
EAS,rural,1970,967312161
ECS,urban,1970,447866192
ECS,rural,1970,290857881
LCN,urban,1970,160966248
LCN,rural,1970,124029672
MEA,urban,1970,73914255
MEA,rural,1970,133655395
NAC,urban,1970,166950889
NAC,rural,1970,59477235
SAS,urban,1970,115972754
SAS,rural,1970,524105455
SSF,urban,1970,54352051
SSF,rural,1970,239719470
WLD,urban,1970,1341431776
WLD,rural,1970,2339157269
EAS,urban,1971,331272500
EAS,rural,1971,991584016
ECS,urban,1971,454771555
ECS,rural,1971,289661408
LCN,urban,1971,167379269
LCN,rural,1971,124654185
MEA,urban,1971,77250905
MEA,rural,1971,136187445
NAC,urban,1971,169462272
NAC,rural,1971,60213367
SAS,urban,1971,120246869
SAS,rural,1971,533834493
SSF,urban,1971,57264963
SSF,rural,1971,244830299
WLD,urban,1971,1377648333
WLD,rural,1971,2380965213
EAS,urban,1972,340268375
EAS,rural,1972,1013959914
ECS,urban,1972,462456471
ECS,rural,1972,288272184
LCN,urban,1972,174090218
LCN,rural,1972,125097292
MEA,urban,1972,80729901
MEA,rural,1972,138718454
NAC,urban,1972,171348907
NAC,rural,1972,60818359
SAS,urban,1972,124935236
SAS,rural,1972,543447961
SSF,urban,1972,60358927
SSF,rural,1972,249944123
WLD,urban,1972,1414188035
WLD,rural,1972,2420258287
EAS,urban,1973,350868679
EAS,rural,1973,1033736362
ECS,urban,1973,470035435
ECS,rural,1973,286740025
LCN,urban,1973,181099433
LCN,rural,1973,125351976
MEA,urban,1973,84399516
MEA,rural,1973,141408528
NAC,urban,1973,173053918
NAC,rural,1973,61399805
SAS,urban,1973,130319866
SAS,rural,1973,553680838
SSF,urban,1973,63669209
SSF,rural,1973,255304868
WLD,urban,1973,1453446056
WLD,rural,1973,2457622402
EAS,urban,1974,359416066
EAS,rural,1974,1054080561
ECS,urban,1974,477407287
ECS,rural,1974,285139265
LCN,urban,1974,188355854
LCN,rural,1974,125442470
MEA,urban,1974,88197120
MEA,rural,1974,144194986
NAC,urban,1974,174726407
NAC,rural,1974,61988618
SAS,urban,1974,136290001
SAS,rural,1974,563957382
SSF,urban,1974,67155897
SSF,rural,1974,260942326
WLD,urban,1974,1491548632
WLD,rural,1974,2495745608
EAS,urban,1975,368874157
EAS,rural,1975,1070760175
ECS,urban,1975,484186465
ECS,rural,1975,283894213
LCN,urban,1975,195801380
LCN,rural,1975,125402166
MEA,urban,1975,92212611
MEA,rural,1975,147193195
NAC,urban,1975,176543377
NAC,rural,1975,62626027
SAS,urban,1975,142893486
SAS,rural,1975,574199028
SSF,urban,1975,70776183
SSF,rural,1975,266708308
WLD,urban,1975,1531287659
WLD,rural,1975,2530783112
EAS,urban,1976,377824948
EAS,rural,1976,1085922809
ECS,urban,1976,490902011
ECS,rural,1976,282717702
LCN,urban,1976,203395344
LCN,rural,1976,125277941
MEA,urban,1976,96362320
MEA,rural,1976,150459563
NAC,urban,1976,178316482
NAC,rural,1976,63221536
SAS,urban,1976,150000342
SAS,rural,1976,584217293
SSF,urban,1976,74525712
SSF,rural,1976,272614536
WLD,urban,1976,1571327159
WLD,rural,1976,2564431380
EAS,urban,1977,386589820
EAS,rural,1977,1099807621
ECS,urban,1977,497230978
ECS,rural,1977,281886820
LCN,urban,1977,211116724
LCN,rural,1977,125145717
MEA,urban,1977,100786830
MEA,rural,1977,153676229
NAC,urban,1977,180191886
NAC,rural,1977,63826279
SAS,urban,1977,157467039
SAS,rural,1977,594293443
SSF,urban,1977,78386264
SSF,rural,1977,278553154
WLD,urban,1977,1611769541
WLD,rural,1977,2597189263
EAS,urban,1978,397835348
EAS,rural,1978,1111237770
ECS,urban,1978,503389741
ECS,rural,1978,281166506
LCN,urban,1978,218918186
LCN,rural,1978,125081943
MEA,urban,1978,105337294
MEA,rural,1978,157056610
NAC,urban,1978,182159126
NAC,rural,1978,64442508
SAS,urban,1978,165030345
SAS,rural,1978,604298764
SSF,urban,1978,82434209
SSF,rural,1978,285042693
WLD,urban,1978,1655104249
WLD,rural,1978,2628326794
EAS,urban,1979,416415419
EAS,rural,1979,1115846281
ECS,urban,1979,509439910
ECS,rural,1979,280422231
LCN,urban,1979,226695777
LCN,rural,1979,125124306
MEA,urban,1979,110166575
MEA,rural,1979,160499425
NAC,urban,1979,184239878
NAC,rural,1979,65070183
SAS,urban,1979,172614052
SAS,rural,1979,614826531
SSF,urban,1979,86675113
SSF,rural,1979,292020720
WLD,urban,1979,1706246724
WLD,rural,1979,2653809677
EAS,urban,1980,429017902
EAS,rural,1980,1126037969
ECS,urban,1980,515895846
ECS,rural,1980,279466989
LCN,urban,1980,234361768
LCN,rural,1980,125351268
MEA,urban,1980,115324072
MEA,rural,1980,164023716
NAC,urban,1980,186186135
NAC,rural,1980,65608205
SAS,urban,1980,180073526
SAS,rural,1980,626296249
SSF,urban,1980,91071575
SSF,rural,1980,298887672
WLD,urban,1980,1751930824
WLD,rural,1980,2685672068
EAS,urban,1981,445226116
EAS,rural,1981,1133362640
ECS,urban,1981,521751076
ECS,rural,1981,278791341
LCN,urban,1981,241919094
LCN,rural,1981,125700150
MEA,urban,1981,120937611
MEA,rural,1981,167454118
NAC,urban,1981,188230413
NAC,rural,1981,66109499
SAS,urban,1981,187095712
SAS,rural,1981,638542848
SSF,urban,1981,95654475
SSF,rural,1981,306151097
WLD,urban,1981,1800814497
WLD,rural,1981,2716111693
EAS,urban,1982,458713530
EAS,rural,1982,1145746790
ECS,urban,1982,527190691
ECS,rural,1982,278056785
LCN,urban,1982,249504263
LCN,rural,1982,126064154
MEA,urban,1982,126681310
MEA,rural,1982,170989909
NAC,urban,1982,190314409
NAC,rural,1982,66520920
SAS,urban,1982,193935127
SAS,rural,1982,651414225
SSF,urban,1982,100490201
SSF,rural,1982,313916927
WLD,urban,1982,1846829531
WLD,rural,1982,2752709710
EAS,urban,1983,479037389
EAS,rural,1983,1151425409
ECS,urban,1983,532499004
ECS,rural,1983,277448360
LCN,urban,1983,257191644
LCN,rural,1983,126465504
MEA,urban,1983,132350049
MEA,rural,1983,174951812
NAC,urban,1983,192384756
NAC,rural,1983,66828472
SAS,urban,1983,200778677
SAS,rural,1983,664663660
SSF,urban,1983,105499804
SSF,rural,1983,321399996
WLD,urban,1983,1899741323
WLD,rural,1983,2783183213
EAS,urban,1984,502975092
EAS,rural,1984,1152288236
ECS,urban,1984,537835665
ECS,rural,1984,277021319
LCN,urban,1984,264933266
LCN,rural,1984,126899595
MEA,urban,1984,138235835
MEA,rural,1984,179130623
NAC,urban,1984,194436724
NAC,rural,1984,67050498
SAS,urban,1984,207642816
SAS,rural,1984,678251683
SSF,urban,1984,110741016
SSF,rural,1984,328597932
WLD,urban,1984,1956800414
WLD,rural,1984,2809239886
EAS,urban,1985,520217363
EAS,rural,1985,1160250355
ECS,urban,1985,543099619
ECS,rural,1985,276774490
LCN,urban,1985,272672521
LCN,rural,1985,127339806
MEA,urban,1985,144292146
MEA,rural,1985,183389355
NAC,urban,1985,196576488
NAC,rural,1985,67245175
SAS,urban,1985,214534163
SAS,rural,1985,692087862
SSF,urban,1985,116336328
SSF,rural,1985,335925117
WLD,urban,1985,2007728628
WLD,rural,1985,2843012160
EAS,urban,1986,539530132
EAS,rural,1986,1167318307
ECS,urban,1986,548622570
ECS,rural,1986,276412125
LCN,urban,1986,280455142
LCN,rural,1986,127717422
MEA,urban,1986,150459596
MEA,rural,1986,187750000
NAC,urban,1986,198842976
NAC,rural,1986,67446191
SAS,urban,1986,221489670
SAS,rural,1986,706156519
SSF,urban,1986,122171428
SSF,rural,1986,343339484
WLD,urban,1986,2061571514
WLD,rural,1986,2876140048
EAS,urban,1987,559484446
EAS,rural,1987,1175219183
ECS,urban,1987,554221591
ECS,rural,1987,276073214
LCN,urban,1987,288272804
LCN,rural,1987,128059889
MEA,urban,1987,156791489
MEA,rural,1987,192141960
NAC,urban,1987,201164615
NAC,rural,1987,67627251
SAS,urban,1987,228508572
SAS,rural,1987,720293571
SSF,urban,1987,128479138
SSF,rural,1987,350692555
WLD,urban,1987,2116922655
WLD,rural,1987,2910107623
EAS,urban,1988,576676744
EAS,rural,1988,1186259421
ECS,urban,1988,559804832
ECS,rural,1988,275796755
LCN,urban,1988,296136426
LCN,rural,1988,128389164
MEA,urban,1988,162998730
MEA,rural,1988,196729685
NAC,urban,1988,203559134
NAC,rural,1988,67788312
SAS,urban,1988,235619735
SAS,rural,1988,734424416
SSF,urban,1988,134912868
SSF,rural,1988,358070784
WLD,urban,1988,2169708469
WLD,rural,1988,2947458537
EAS,urban,1989,592838308
EAS,rural,1989,1197758710
ECS,urban,1989,565116360
ECS,rural,1989,275765146
LCN,urban,1989,304038086
LCN,rural,1989,128688504
MEA,urban,1989,169240531
MEA,rural,1989,201483900
NAC,urban,1989,206174173
NAC,rural,1989,67978737
SAS,urban,1989,242911721
SAS,rural,1989,748659295
SSF,urban,1989,141532456
SSF,rural,1989,365468939
WLD,urban,1989,2221851635
WLD,rural,1989,2985803231
EAS,urban,1990,604350468
EAS,rural,1990,1213385441
ECS,urban,1990,569326122
ECS,rural,1990,275964129
LCN,urban,1990,311980175
LCN,rural,1990,128977969
MEA,urban,1990,176293565
MEA,rural,1990,206985461
NAC,urban,1990,209144524
NAC,rural,1990,68227173
SAS,urban,1990,250414342
SAS,rural,1990,762882676
SSF,urban,1990,148230610
SSF,rural,1990,373084102
WLD,urban,1990,2269739806
WLD,rural,1990,3029506951
EAS,urban,1991,624894899
EAS,rural,1991,1219295076
ECS,urban,1991,573025010
ECS,rural,1991,276144375
LCN,urban,1991,319919960
LCN,rural,1991,129209039
MEA,urban,1991,182335168
MEA,rural,1991,211916479
NAC,urban,1991,212642833
NAC,rural,1991,68433571
SAS,urban,1991,258112225
SAS,rural,1991,776945924
SSF,urban,1991,155057572
SSF,rural,1991,380564098
WLD,urban,1991,2325987667
WLD,rural,1991,3062508562
EAS,urban,1992,642834109
EAS,rural,1992,1226240505
ECS,urban,1992,575924052
ECS,rural,1992,276740449
LCN,urban,1992,327819792
LCN,rural,1992,129425458
MEA,urban,1992,189070507
MEA,rural,1992,216776771
NAC,urban,1992,216508763
NAC,rural,1992,68434908
SAS,urban,1992,265958140
SAS,rural,1992,791116430
SSF,urban,1992,161616508
SSF,rural,1992,388657574
WLD,urban,1992,2379731871
WLD,rural,1992,3097392095
EAS,urban,1993,661100126
EAS,rural,1993,1232158457
ECS,urban,1993,578472257
ECS,rural,1993,277081965
LCN,urban,1993,335669302
LCN,rural,1993,129656429
MEA,urban,1993,195259971
MEA,rural,1993,221890373
NAC,urban,1993,220462807
NAC,rural,1993,68199773
SAS,urban,1993,273889484
SAS,rural,1993,805366897
SSF,urban,1993,168410693
SSF,rural,1993,397160087
WLD,urban,1993,2433264640
WLD,rural,1993,3131513981
EAS,urban,1994,679746870
EAS,rural,1994,1237642373
ECS,urban,1994,580856591
ECS,rural,1994,276867996
LCN,urban,1994,343508841
LCN,rural,1994,129819775
MEA,urban,1994,201389081
MEA,rural,1994,226728364
NAC,urban,1994,224406055
NAC,rural,1994,67779802
SAS,urban,1994,281874735
SAS,rural,1994,819430782
SSF,urban,1994,175471798
SSF,rural,1994,405330115
WLD,urban,1994,2487253971
WLD,rural,1994,3163599207
EAS,urban,1995,698868081
EAS,rural,1995,1242317148
ECS,urban,1995,583010432
ECS,rural,1995,276494322
LCN,urban,1995,351469005
LCN,rural,1995,129840023
MEA,urban,1995,207607539
MEA,rural,1995,231361321
NAC,urban,1995,228369071
NAC,rural,1995,67270766
SAS,urban,1995,290016831
SAS,rural,1995,833498728
SSF,urban,1995,182624864
SSF,rural,1995,413757386
WLD,urban,1995,2541965823
WLD,rural,1995,3194539694
EAS,urban,1996,729401172
EAS,rural,1996,1235428920
ECS,urban,1996,585414473
ECS,rural,1996,275658953
LCN,urban,1996,359591945
LCN,rural,1996,129643128
MEA,urban,1996,213814508
MEA,rural,1996,236044879
NAC,urban,1996,232314686
NAC,rural,1996,66749345
SAS,urban,1996,298383085
SAS,rural,1996,847615563
SSF,urban,1996,189813398
SSF,rural,1996,422740572
WLD,urban,1996,2608733267
WLD,rural,1996,3213881360
EAS,urban,1997,759808617
EAS,rural,1997,1228258960
ECS,urban,1997,587860638
ECS,rural,1997,274474419
LCN,urban,1997,367953921
LCN,rural,1997,129143083
MEA,urban,1997,220468975
MEA,rural,1997,240395103
NAC,urban,1997,236319634
NAC,rural,1997,66303491
SAS,urban,1997,306980497
SAS,rural,1997,861645401
SSF,urban,1997,197273489
SSF,rural,1997,431580330
WLD,urban,1997,2676665771
WLD,rural,1997,3231800787
EAS,urban,1998,790486710
EAS,rural,1998,1219956792
ECS,urban,1998,589881923
ECS,rural,1998,273435690
LCN,urban,1998,376534359
LCN,rural,1998,128418224
MEA,urban,1998,227118996
MEA,rural,1998,244928037
NAC,urban,1998,240149089
NAC,rural,1998,65920723
SAS,urban,1998,315852908
SAS,rural,1998,875553022
SSF,urban,1998,205306048
SSF,rural,1998,440497543
WLD,urban,1998,2745330033
WLD,rural,1998,3248710031
EAS,urban,1999,820747950
EAS,rural,1999,1210164512
ECS,urban,1999,591536182
ECS,rural,1999,272770750
LCN,urban,1999,385039510
LCN,rural,1999,127691474
MEA,urban,1999,233940459
MEA,rural,1999,249490050
NAC,urban,1999,243826981
NAC,rural,1999,65675429
SAS,urban,1999,325026520
SAS,rural,1999,889237289
SSF,urban,1999,213698697
SSF,rural,1999,449558534
WLD,urban,1999,2813816299
WLD,rural,1999,3264588038
EAS,urban,2000,853566288
EAS,rural,2000,1196583329
ECS,urban,2000,594152285
ECS,rural,2000,271240194
LCN,urban,2000,393145153
LCN,rural,2000,127126965
MEA,urban,2000,240989243
MEA,rural,2000,253861074
NAC,urban,2000,247306883
NAC,rural,2000,65602808
SAS,urban,2000,334549616
SAS,rural,2000,902635866
SSF,urban,2000,222459499
SSF,rural,2000,458665608
WLD,urban,2000,2886168967
WLD,rural,2000,3275715844
EAS,urban,2001,881578982
EAS,rural,2001,1187103071
ECS,urban,2001,596788835
ECS,rural,2001,269801861
LCN,urban,2001,400828782
LCN,rural,2001,126743801
MEA,urban,2001,248257259
MEA,rural,2001,258220997
NAC,urban,2001,250524119
NAC,rural,2001,65527558
SAS,urban,2001,344483391
SAS,rural,2001,915665665
SSF,urban,2001,231737310
SSF,rural,2001,467851275
WLD,urban,2001,2954198678
WLD,rural,2001,3290914228
EAS,urban,2002,913073799
EAS,rural,2002,1173070590
ECS,urban,2002,599584303
ECS,rural,2002,268650540
LCN,urban,2002,408243716
LCN,rural,2002,126447875
MEA,urban,2002,255328798
MEA,rural,2002,262864295
NAC,urban,2002,253661597
NAC,rural,2002,65384937
SAS,urban,2002,354793879
SAS,rural,2002,927790917
SSF,urban,2002,241493814
SSF,rural,2002,477168339
WLD,urban,2002,3026179906
WLD,rural,2002,3301377493
EAS,urban,2003,945219058
EAS,rural,2003,1157542883
ECS,urban,2003,602827733
ECS,rural,2003,267701713
LCN,urban,2003,415394280
LCN,rural,2003,126249085
MEA,urban,2003,262615157
MEA,rural,2003,267723831
NAC,urban,2003,256624151
NAC,rural,2003,65188629
SAS,urban,2003,365514680
SAS,rural,2003,938833110
SSF,urban,2003,251752880
SSF,rural,2003,486563251
WLD,urban,2003,3099947939
WLD,rural,2003,3309802502
EAS,urban,2004,974918815
EAS,rural,2004,1143829070
ECS,urban,2004,605947897
ECS,rural,2004,267121567
LCN,urban,2004,422285741
LCN,rural,2004,126169822
MEA,urban,2004,270500468
MEA,rural,2004,272586044
NAC,urban,2004,259748128
NAC,rural,2004,65058532
SAS,urban,2004,376711162
SAS,rural,2004,949239425
SSF,urban,2004,262579774
SSF,rural,2004,496073370
WLD,urban,2004,3172691985
WLD,rural,2004,3320077830
EAS,urban,2005,1004121309
EAS,rural,2005,1130451748
ECS,urban,2005,609091772
ECS,rural,2005,266472147
LCN,urban,2005,428924442
LCN,rural,2005,126196338
MEA,urban,2005,278685278
MEA,rural,2005,277524933
NAC,urban,2005,262842137
NAC,rural,2005,64979905
SAS,urban,2005,388165050
SAS,rural,2005,958721334
SSF,urban,2005,273860403
SSF,rural,2005,505804710
WLD,urban,2005,3245690391
WLD,rural,2005,3330151115
EAS,urban,2006,1034865318
EAS,rural,2006,1115823620
ECS,urban,2006,612663097
ECS,rural,2006,265503836
LCN,urban,2006,435381924
LCN,rural,2006,126370075
MEA,urban,2006,287112570
MEA,rural,2006,282785929
NAC,urban,2006,266002975
NAC,rural,2006,65010964
SAS,urban,2006,399802901
SAS,rural,2006,967384448
SSF,urban,2006,285590387
SSF,rural,2006,515678981
WLD,urban,2006,3321419172
WLD,rural,2006,3338557853
EAS,urban,2007,1068460364
EAS,rural,2007,1098586174
ECS,urban,2007,616173880
ECS,rural,2007,264482466
LCN,urban,2007,441781926
LCN,rural,2007,126563319
MEA,urban,2007,295842148
MEA,rural,2007,287901680
NAC,urban,2007,269056934
NAC,rural,2007,65126169
SAS,urban,2007,411570279
SAS,rural,2007,975379177
SSF,urban,2007,297317896
SSF,rural,2007,526246987
WLD,urban,2007,3400203427
WLD,rural,2007,3344285972
EAS,urban,2008,1096493308
EAS,rural,2008,1086979130
ECS,urban,2008,620409953
ECS,rural,2008,263814720
LCN,urban,2008,448145595
LCN,rural,2008,126763138
MEA,urban,2008,304794655
MEA,rural,2008,293004442
NAC,urban,2008,272048074
NAC,rural,2008,65356490
SAS,urban,2008,423347302
SAS,rural,2008,982699862
SSF,urban,2008,310074757
SSF,rural,2008,536582115
WLD,urban,2008,3475313644
WLD,rural,2008,3355199897
EAS,urban,2009,1127485074
EAS,rural,2009,1071663629
ECS,urban,2009,624546585
ECS,rural,2009,263194543
LCN,urban,2009,454433531
LCN,rural,2009,126954598
MEA,urban,2009,313885969
MEA,rural,2009,298242532
NAC,urban,2009,274775288
NAC,rural,2009,65689875
SAS,urban,2009,435317551
SAS,rural,2009,990052649
SSF,urban,2009,322806954
SSF,rural,2009,547540338
WLD,urban,2009,3553250952
WLD,rural,2009,3363338164
EAS,urban,2010,1152013398
EAS,rural,2010,1062600417
ECS,urban,2010,628888980
ECS,rural,2010,262101391
LCN,urban,2010,460629603
LCN,rural,2010,127122902
MEA,urban,2010,321765215
MEA,rural,2010,303063449
NAC,urban,2010,277280148
NAC,rural,2010,66167706
SAS,urban,2010,447415112
SAS,rural,2010,997551898
SSF,urban,2010,335792369
SSF,rural,2010,558874288
WLD,urban,2010,3623784825
WLD,rural,2010,3377482051
EAS,urban,2011,1199408476
EAS,rural,2011,1031418100
ECS,urban,2011,632389469
ECS,rural,2011,260620126
LCN,urban,2011,466784244
LCN,rural,2011,127302585
MEA,urban,2011,331303594
MEA,rural,2011,307750276
NAC,urban,2011,279555129
NAC,rural,2011,66687286
SAS,urban,2011,459079567
SAS,rural,2011,1005293056
SSF,urban,2011,349201769
SSF,rural,2011,570326357
WLD,urban,2011,3717722248
WLD,rural,2011,3369397786
EAS,urban,2012,1230246710
EAS,rural,2012,1018834683
ECS,urban,2012,637874497
ECS,rural,2012,258640013
LCN,urban,2012,472949828
LCN,rural,2012,127470488
MEA,urban,2012,341950695
MEA,rural,2012,311322747
NAC,urban,2012,281854605
NAC,rural,2012,67261535
SAS,urban,2012,469883660
SAS,rural,2012,1013669413
SSF,urban,2012,363053057
SSF,rural,2012,581917253
WLD,urban,2012,3797813052
WLD,rural,2012,3379116132
EAS,urban,2013,1262666572
EAS,rural,2013,1004405530
ECS,urban,2013,645041275
ECS,rural,2013,254865897
LCN,urban,2013,479131206
LCN,rural,2013,127552101
MEA,urban,2013,353351607
MEA,rural,2013,314112399
NAC,urban,2013,284017766
NAC,rural,2013,67853082
SAS,urban,2013,480537503
SAS,rural,2013,1021124488
SSF,urban,2013,377596799
SSF,rural,2013,593636107
WLD,urban,2013,3882342728
WLD,rural,2013,3383549604
EAS,urban,2014,1293251864
EAS,rural,2014,991133678
ECS,urban,2014,652708931
ECS,rural,2014,250852140
LCN,urban,2014,485287035
LCN,rural,2014,127562366
MEA,urban,2014,362975043
MEA,rural,2014,317741535
NAC,urban,2014,286238881
NAC,rural,2014,68516274
SAS,urban,2014,491205677
SAS,rural,2014,1028633569
SSF,urban,2014,392764382
SSF,rural,2014,605196655
WLD,urban,2014,3964431813
WLD,rural,2014,3389636217
EAS,urban,2015,1328123570
EAS,rural,2015,972720699
ECS,urban,2015,659651511
ECS,rural,2015,247875975
LCN,urban,2015,491384405
LCN,rural,2015,127484057
MEA,urban,2015,372381450
MEA,rural,2015,321851523
NAC,urban,2015,288361157
NAC,rural,2015,69221926
SAS,urban,2015,501767381
SAS,rural,2015,1035602697
SSF,urban,2015,408439793
SSF,rural,2015,616811321
WLD,urban,2015,4050109267
WLD,rural,2015,3391568198
EAS,urban,2016,1362259858
EAS,rural,2016,954816200
ECS,urban,2016,664817499
ECS,rural,2016,246761517
LCN,urban,2016,497392014
LCN,rural,2016,127345772
MEA,urban,2016,381104328
MEA,rural,2016,325919197
NAC,urban,2016,290519227
NAC,rural,2016,70008365
SAS,urban,2016,512459339
SAS,rural,2016,1042652525
SSF,urban,2016,424324196
SSF,rural,2016,628499948
WLD,urban,2016,4132876461
WLD,rural,2016,3396003524
EAS,urban,2017,1395504896
EAS,rural,2017,937970624
ECS,urban,2017,668360548
ECS,rural,2017,246705276
LCN,urban,2017,503251040
LCN,rural,2017,127163946
MEA,urban,2017,388866233
MEA,rural,2017,330021511
NAC,urban,2017,292411383
NAC,rural,2017,70805879
SAS,urban,2017,523089292
SAS,rural,2017,1049431135
SSF,urban,2017,440750857
SSF,rural,2017,640190790
WLD,urban,2017,4212234249
WLD,rural,2017,3402289161
EAS,urban,2018,1428536016
EAS,rural,2018,919040309
ECS,urban,2018,672300153
ECS,rural,2018,246389101
LCN,urban,2018,508743588
LCN,rural,2018,127034493
MEA,urban,2018,396181143
MEA,rural,2018,334181191
NAC,urban,2018,294041610
NAC,rural,2018,71624418
SAS,urban,2018,533539478
SAS,rural,2018,1055625236
SSF,urban,2018,457945548
SSF,rural,2018,652051452
WLD,urban,2018,4291287536
WLD,rural,2018,3405946200
EAS,urban,2019,1457001091
EAS,rural,2019,902761099
ECS,urban,2019,676354062
ECS,rural,2019,245578101
LCN,urban,2019,514226822
LCN,rural,2019,126735550
MEA,urban,2019,404336786
MEA,rural,2019,338377677
NAC,urban,2019,295423957
NAC,rural,2019,72484872
SAS,urban,2019,544011312
SAS,rural,2019,1061401674
SSF,urban,2019,475173338
SSF,rural,2019,664142280
WLD,urban,2019,4366527368
WLD,rural,2019,3411481253
EAS,urban,2020,1477905938
EAS,rural,2020,891514944
ECS,urban,2020,678853064
ECS,rural,2020,244811403
LCN,urban,2020,519221906
LCN,rural,2020,126276280
MEA,urban,2020,413611665
MEA,rural,2020,342793616
NAC,urban,2020,296482954
NAC,rural,2020,73187786
SAS,urban,2020,554408168
SAS,rural,2020,1066665249
SSF,urban,2020,492936866
SSF,rural,2020,676078585
WLD,urban,2020,4433420561
WLD,rural,2020,3421327863
EAS,urban,2021,1501910272
EAS,rural,2021,873207444
ECS,urban,2021,680553248
ECS,rural,2021,243827814
LCN,urban,2021,523506228
LCN,rural,2021,125729844
MEA,urban,2021,420777731
MEA,rural,2021,346800720
