iso3c,urb_pop,gdp
POL,59.97054687,25103.56566
PRT,61.32819073,29292.2421
QAT,99.32198917,76688.69417
ROU,52.16747789,20080.20962
RUS,75.11191362,14889.01855
RWA,29.88497143,999.6545617
WSM,17.50291151,5392.877619
SMR,97.15605559,
STP,68.87101702,3490.568835
SAU,84.45540202,35121.66287
SEN,55.23681691,1773.218299
SRB,62.38300298,13679.2066
SYC,45.28986225,17858.82264
SLE,45.36268232,806.6546504
SGP,100,90674.06663
SXM,100,41472.58745
SVK,53.1919703,25992.67485
SVN,55.75777084,34301.03187
SLB,30.66171886,1933.555384
ZAF,63.69179849,6267.186814
SSD,21.37681904,
ESP,80.31519982,35326.76831
LKA,20.29969971,4515.567873
K,31.7950619,23960.65344
LCA,29.09733542,14181.63034
MAF,100,
VCT,47.84870505,11501.22652
SDN,34.86730155,984.607666
SUR,65.76418572,6961.78956
SWE,88.85597483,57117.48774
CHE,85.461537,103998.1867
SYR,72.07613458,
TJK,26.17880637,1341.20229
TZA,36.16844589,1186.716919
THA,61.86893384,7346.620221
TLS,28.66410742,1331.970513
TGO,43.81484916,1119.381605
TON,21.15052711,
TTO,53.96105668,18733.41104
TUN,70.35853557,4181.137893
TUR,89.34431229,15892.71573
TKM,47.08752539,6856.658027
TCA,94.16709179,37506.77984
TUV,64.72547934,
UGA,31.27776982,1077.912785
UKR,69.53156432,5389.473145
ARE,85.81710883,50273.50605
GBR,83.24295444,53246.36761
USA,80.1247798,84534.04078
URY,95.59819516,23906.5133
UZB,50.99866867,3161.700106
VUT,22.28669334,3410.770232
VEN,89.28585988,4217.591026
VNM,38.49007034,4717.290287
VIR,95.3312197,
PSE,87.11960141,2592.305912
YEM,36.80775176,
ZMB,45.47038385,1187.109434
ZWE,39.89337168,2497.203322
