iso3c,pop,survey_type,year
BTN,791524,business,
BWA,2521139,poverty,2015
BWA,2521139,health,2014
BWA,2521139,labor_force,2006
BWA,2521139,agriculture,2019
BWA,2521139,business,2010
CAF,5330690,poverty,2021
CAF,5330690,health,2018
CAF,5330690,labor_force,
CAF,5330690,agriculture,
CAF,5330690,business,
CAN,41288599,poverty,2023
CAN,41288599,health,2024
CAN,41288599,labor_force,2024
CAN,41288599,agriculture,2024
CAN,41288599,business,2024
CHE,9005582,poverty,2022
CHE,9005582,health,2019
CHE,9005582,labor_force,2024
CHE,9005582,agriculture,2024
CHE,9005582,business,2021
CHI,168126,poverty,
CHI,168126,health,
CHI,168126,labor_force,
CHI,168126,agriculture,
CHI,168126,business,
CHL,19764771,poverty,2022
CHL,19764771,health,2004
CHL,19764771,labor_force,2024
CHL,19764771,agriculture,
CHL,19764771,business,2018
CHN,1410000000,poverty,2020
CHN,1410000000,health,2007
CHN,1410000000,labor_force,2011
CHN,1410000000,agriculture,
CHN,1410000000,business,
CIV,31934230,poverty,2021
CIV,31934230,health,2016
CIV,31934230,labor_force,2019
CIV,31934230,agriculture,2016
CIV,31934230,business,2017
CMR,29123744,poverty,2021
CMR,29123744,health,2018
CMR,29123744,labor_force,2010
CMR,29123744,agriculture,
CMR,29123744,business,2019
COD,109000000,poverty,2020
COD,109000000,health,2017
COD,109000000,labor_force,2021
COD,109000000,agriculture,
COD,109000000,business,2014
COG,6332961,poverty,2011
COG,6332961,health,2014
COG,6332961,labor_force,2009
COG,6332961,agriculture,
COG,6332961,business,
COL,52886363,poverty,2022
COL,52886363,health,2015
COL,52886363,labor_force,2024
COL,52886363,agriculture,2019
COL,52886363,business,2019
COM,866628,poverty,2019
COM,866628,health,2012
COM,866628,labor_force,2021
COM,866628,agriculture,
COM,866628,business,
CPV,524877,poverty,2015
CPV,524877,health,2005
CPV,524877,labor_force,2019
CPV,524877,agriculture,
CPV,524877,business,2018
CRI,5129910,poverty,2022
CRI,5129910,health,2018
CRI,5129910,labor_force,2024
CRI,5129910,agriculture,2019
CRI,5129910,business,2017
CUB,10979783,poverty,
CUB,10979783,health,2014
CUB,10979783,labor_force,
CUB,10979783,agriculture,
CUB,10979783,business,
CUW,155967,poverty,
CUW,155967,health,
CUW,155967,labor_force,
CUW,155967,agriculture,
CUW,155967,business,
CYM,74457,poverty,
CYM,74457,health,2006
CYM,74457,labor_force,2015
CYM,74457,agriculture,
CYM,74457,business,
CYP,1358282,poverty,2022
CYP,1358282,health,2019
CYP,1358282,labor_force,2024
CYP,1358282,agriculture,2024
CYP,1358282,business,2024
CZE,10905028,poverty,2022
CZE,10905028,health,2019
CZE,10905028,labor_force,2023
CZE,10905028,agriculture,2020
CZE,10905028,business,2021
DEU,83516593,poverty,2024
DEU,83516593,health,2020
DEU,83516593,labor_force,2024
DEU,83516593,agriculture,2020
DEU,83516593,business,2021
DJI,1168722,poverty,2017
DJI,1168722,health,2021
DJI,1168722,labor_force,
DJI,1168722,agriculture,
DJI,1168722,business,
DMA,66205,poverty,2008
DMA,66205,health,2009
DMA,66205,labor_force,
DMA,66205,agriculture,
DMA,66205,business,
DNK,5976992,poverty,2024
DNK,5976992,health,2019
DNK,5976992,labor_force,2024
DNK,5976992,agriculture,2024
DNK,5976992,business,2024
DOM,11427557,poverty,2022
DOM,11427557,health,2019
DOM,11427557,labor_force,2023
DOM,11427557,agriculture,
DOM,11427557,business,
DZA,46814308,poverty,2011
DZA,46814308,health,2018
DZA,46814308,labor_force,
DZA,46814308,agriculture,
DZA,46814308,business,
ECU,18135478,poverty,2022
ECU,18135478,health,2007
ECU,18135478,labor_force,2024
ECU,18135478,agriculture,2018
ECU,18135478,business,2018
EGY,117000000,poverty,2019
EGY,117000000,health,2021
EGY,117000000,labor_force,2023
EGY,117000000,agriculture,
EGY,117000000,business,
ERI,3535603,poverty,1993
ERI,3535603,health,2002
ERI,3535603,labor_force,
ERI,3535603,agriculture,
ERI,3535603,business,
ESP,48848840,poverty,2024
ESP,48848840,health,2019
ESP,48848840,labor_force,2024
ESP,48848840,agriculture,2020
ESP,48848840,business,2024
EST,1372341,poverty,2022
EST,1372341,health,2024
EST,1372341,labor_force,2024
EST,1372341,agriculture,2024
EST,1372341,business,2021
ETH,132000000,poverty,2021
ETH,132000000,health,2019
ETH,132000000,labor_force,2021
ETH,132000000,agriculture,2019
ETH,132000000,business,2017
FIN,5619911,poverty,2022
FIN,5619911,health,2019
FIN,5619911,labor_force,2022
FIN,5619911,agriculture,2020
FIN,5619911,business,2021
FJI,928784,poverty,2019
FJI,928784,health,
FJI,928784,labor_force,2016
FJI,928784,agriculture,
FJI,928784,business,
FRA,68551653,poverty,2024
FRA,68551653,health,2024
FRA,68551653,labor_force,2023
FRA,68551653,agriculture,2020
FRA,68551653,business,2024
FRO,54681,poverty,
FRO,54681,health,
FRO,54681,labor_force,2013
FRO,54681,agriculture,
FRO,54681,business,
FSM,113160,poverty,2019
FSM,113160,health,
FSM,113160,labor_force,
FSM,113160,agriculture,
FSM,113160,business,
GAB,2538952,poverty,2017
GAB,2538952,health,2019
GAB,2538952,labor_force,2012
GAB,2538952,agriculture,
GAB,2538952,business,
GBR,69226000,poverty,2024
GBR,69226000,health,2024
GBR,69226000,labor_force,2024
GBR,69226000,agriculture,2024
GBR,69226000,business,2024
GEO,3699557,poverty,2021
GEO,3699557,health,2018
GEO,3699557,labor_force,2023
GEO,3699557,agriculture,2018
GEO,3699557,business,2019
GHA,34427414,poverty,2016
GHA,34427414,health,2022
GHA,34427414,labor_force,2015
GHA,34427414,agriculture,2013
GHA,34427414,business,2015
GIB,39329,poverty,
GIB,39329,health,
GIB,39329,labor_force,
GIB,39329,agriculture,
GIB,39329,business,
GIN,14754785,poverty,2018
GIN,14754785,health,2018
GIN,14754785,labor_force,2019
GIN,14754785,agriculture,
GIN,14754785,business,
GMB,2759988,poverty,2020
GMB,2759988,health,2019
GMB,2759988,labor_force,2023
GMB,2759988,agriculture,2005
GMB,2759988,business,
GNB,2201352,poverty,2021
GNB,2201352,health,2018
GNB,2201352,labor_force,2018
GNB,2201352,agriculture,
GNB,2201352,business,
GNQ,1892516,poverty,2019
GNQ,1892516,health,2011
GNQ,1892516,labor_force,
GNQ,1892516,agriculture,
GNQ,1892516,business,
GRC,10405134,poverty,2022
GRC,10405134,health,2019
GRC,10405134,labor_force,2024
GRC,10405134,agriculture,2020
GRC,10405134,business,2021
GRD,117207,poverty,2018
GRD,117207,health,2008
GRD,117207,labor_force,2023
GRD,117207,agriculture,
GRD,117207,business,
GRL,56836,poverty,
GRL,56836,health,
GRL,56836,labor_force,
GRL,56836,agriculture,
GRL,56836,business,
GTM,18406359,poverty,2014
GTM,18406359,health,2014
GTM,18406359,labor_force,2022
GTM,18406359,agriculture,2019
GTM,18406359,business,
GUM,167777,poverty,
GUM,167777,health,
GUM,167777,labor_force,
GUM,167777,agriculture,
GUM,167777,business,
GUY,831087,poverty,2018
GUY,831087,health,2019
GUY,831087,labor_force,2019
GUY,831087,agriculture,
GUY,831087,business,
HKG,7524100,poverty,
HKG,7524100,health,
HKG,7524100,labor_force,2023
HKG,7524100,agriculture,
HKG,7524100,business,
HND,10825703,poverty,2019
HND,10825703,health,2019
HND,10825703,labor_force,2022
HND,10825703,agriculture,2009
HND,10825703,business,
HRV,3866200,poverty,2022
HRV,3866200,health,2019
HRV,3866200,labor_force,2018
HRV,3866200,agriculture,2020
HRV,3866200,business,2019
HTI,11772557,poverty,2017
HTI,11772557,health,2017
HTI,11772557,labor_force,
HTI,11772557,agriculture,
HTI,11772557,business,
HUN,9562065,poverty,2022
HUN,9562065,health,2019
HUN,9562065,labor_force,2024
HUN,9562065,agriculture,2020
HUN,9562065,business,2021
IDN,283000000,poverty,2023
IDN,283000000,health,2017
IDN,283000000,labor_force,2023
IDN,283000000,agriculture,
IDN,283000000,business,2014
IMN,84160,poverty,
IMN,84160,health,
IMN,84160,labor_force,
IMN,84160,agriculture,
IMN,84160,business,
IND,1450000000,poverty,2021
IND,1450000000,health,2019
IND,1450000000,labor_force,2024
IND,1450000000,agriculture,2018
IND,1450000000,business,2017
IRL,5395790,poverty,2022
IRL,5395790,health,2019
IRL,5395790,labor_force,2024
IRL,5395790,agriculture,2024
IRL,5395790,business,2021
IRN,91567738,poverty,2022
IRN,91567738,health,2000
IRN,91567738,labor_force,2023
IRN,91567738,agriculture,2019
IRN,91567738,business,
IRQ,46042015,poverty,2019
IRQ,46042015,health,2018
IRQ,46042015,labor_force,2021
IRQ,46042015,agriculture,2022
IRQ,46042015,business,
ISL,386506,poverty,2019
ISL,386506,health,2019
ISL,386506,labor_force,2024
ISL,386506,agriculture,2020
ISL,386506,business,2021
ISR,9974400,poverty,2022
ISR,9974400,health,2020
ISR,9974400,labor_force,2024
ISR,9974400,agriculture,2023
ISR,9974400,business,2023
ITA,58952704,poverty,2024
ITA,58952704,health,2024
ITA,58952704,labor_force,2024
ITA,58952704,agriculture,2020
ITA,58952704,business,2021
JAM,2839175,poverty,2021
JAM,2839175,health,2011
JAM,2839175,labor_force,2023
JAM,2839175,agriculture,
JAM,2839175,business,
JOR,11552876,poverty,2017
JOR,11552876,health,2023
JOR,11552876,labor_force,2023
JOR,11552876,agriculture,2017
JOR,11552876,business,2015
JPN,124000000,poverty,2024
JPN,124000000,health,2016
JPN,124000000,labor_force,2024
JPN,124000000,agriculture,2020
JPN,124000000,business,2024
KAZ,20592571,poverty,2021
KAZ,20592571,health,2015
KAZ,20592571,labor_force,2013
KAZ,20592571,agriculture,
KAZ,20592571,business,
KEN,56432944,poverty,2021
KEN,56432944,health,2022
KEN,56432944,labor_force,1999
KEN,56432944,agriculture,
KEN,56432944,business,
KGZ,7221868,poverty,2021
KGZ,7221868,health,2018
KGZ,7221868,labor_force,2022
KGZ,7221868,agriculture,
KGZ,7221868,business,2003
KHM,17638801,poverty,2019
KHM,17638801,health,2021
KHM,17638801,labor_force,2019
KHM,17638801,agriculture,2019
KHM,17638801,business,2005
KIR,134518,poverty,2019
KIR,134518,health,2018
KIR,134518,labor_force,
KIR,134518,agriculture,
KIR,134518,business,
KNA,46843,poverty,2017
KNA,46843,health,2010
KNA,46843,labor_force,
KNA,46843,agriculture,
KNA,46843,business,
KOR,51751065,poverty,2024
KOR,51751065,health,2023
KOR,51751065,labor_force,2024
KOR,51751065,agriculture,2024
KOR,51751065,business,2023
KWT,4897263,poverty,2021
KWT,4897263,health,2010
KWT,4897263,labor_force,2016
KWT,4897263,agriculture,2019
KWT,4897263,business,2019
LAO,7769819,poverty,2018
LAO,7769819,health,2017
LAO,7769819,labor_force,2022
LAO,7769819,agriculture,
LAO,7769819,business,
LBN,5805962,poverty,2011
LBN,5805962,health,2017
LBN,5805962,labor_force,2019
LBN,5805962,agriculture,
LBN,5805962,business,
LBR,5612817,poverty,2016
LBR,5612817,health,2019
LBR,5612817,labor_force,2017
LBR,5612817,agriculture,2021
LBR,5612817,business,
LBY,7381023,poverty,
LBY,7381023,health,2009
LBY,7381023,labor_force,2012
LBY,7381023,agriculture,
LBY,7381023,business,
LCA,179744,poverty,2015
LCA,179744,health,2012
LCA,179744,labor_force,2024
LCA,179744,agriculture,
LCA,179744,business,
LIE,40450,poverty,
LIE,40450,health,
LIE,40450,labor_force,
LIE,40450,agriculture,
LIE,40450,business,
LKA,21916000,poverty,2019
LKA,21916000,health,2008
LKA,21916000,labor_force,2022
LKA,21916000,agriculture,2016
LKA,21916000,business,2018
LSO,2337423,poverty,2017
LSO,2337423,health,2018
LSO,2337423,labor_force,2019
LSO,2337423,agriculture,2018
LSO,2337423,business,
LTU,2888278,poverty,2022
LTU,2888278,health,2019
LTU,2888278,labor_force,2023
LTU,2888278,agriculture,2020
LTU,2888278,business,2021
LUX,677012,poverty,2024
LUX,677012,health,2024
LUX,677012,labor_force,2024
LUX,677012,agriculture,2024
LUX,677012,business,2024
LVA,1866124,poverty,2022
LVA,1866124,health,2019
LVA,1866124,labor_force,2023
LVA,1866124,agriculture,2020
LVA,1866124,business,2021
MAC,687000,poverty,
MAC,687000,health,
MAC,687000,labor_force,
MAC,687000,agriculture,
MAC,687000,business,
MAF,26129,poverty,
MAF,26129,health,
MAF,26129,labor_force,
MAF,26129,agriculture,
MAF,26129,business,
MAR,38081173,poverty,2013
MAR,38081173,health,2010
MAR,38081173,labor_force,2019
MAR,38081173,agriculture,
MAR,38081173,business,2019
MCO,38631,poverty,
MCO,38631,health,
MCO,38631,labor_force,
MCO,38631,agriculture,
MCO,38631,business,
MDA,2402306,poverty,2022
MDA,2402306,health,2012
MDA,2402306,labor_force,2024
MDA,2402306,agriculture,
MDA,2402306,business,2020
MDG,31964956,poverty,2012
MDG,31964956,health,2021
MDG,31964956,labor_force,2015
MDG,31964956,agriculture,
MDG,31964956,business,
MDV,527799,poverty,2019
MDV,527799,health,2016
MDV,527799,labor_force,
MDV,527799,agriculture,
MDV,527799,business,2013
MEX,131000000,poverty,2022
MEX,131000000,health,2015
MEX,131000000,labor_force,2024
MEX,131000000,agriculture,2019
MEX,131000000,business,2019
MHL,37548,poverty,2019
MHL,37548,health,2007
MHL,37548,labor_force,
MHL,37548,agriculture,
MHL,37548,business,
MKD,1824359,poverty,2019
MKD,1824359,health,2018
MKD,1824359,labor_force,2024
MKD,1824359,agriculture,2016
MKD,1824359,business,2019
MLI,24478595,poverty,2021
MLI,24478595,health,2018
MLI,24478595,labor_force,2020
MLI,24478595,agriculture,2022
MLI,24478595,business,2007
MLT,568847,poverty,2022
MLT,568847,health,2019
MLT,568847,labor_force,2024
MLT,568847,agriculture,2020
MLT,568847,business,2021
MMR,54500091,poverty,2017
MMR,54500091,health,2015
MMR,54500091,labor_force,2020
MMR,54500091,agriculture,2021
MMR,54500091,business,2017
MNE,623525,poverty,2022
MNE,623525,health,2018
MNE,623525,labor_force,2023
MNE,623525,agriculture,2016
MNE,623525,business,
MNG,3524788,poverty,2022
MNG,3524788,health,2018
MNG,3524788,labor_force,2023
MNG,3524788,agriculture,2018
MNG,3524788,business,
MNP,44278,poverty,
MNP,44278,health,
MNP,44278,labor_force,
MNP,44278,agriculture,
MNP,44278,business,
MOZ,34631766,poverty,2019
MOZ,34631766,health,2022
MOZ,34631766,labor_force,2004
MOZ,34631766,agriculture,2021
MOZ,34631766,business,
MRT,5169395,poverty,2019
MRT,5169395,health,2019
MRT,5169395,labor_force,2017
MRT,5169395,agriculture,2023
MRT,5169395,business,
MUS,1245779,poverty,2019
MUS,1245779,health,2011
MUS,1245779,labor_force,2023
MUS,1245779,agriculture,2014
MUS,1245779,business,
MWI,21655286,poverty,2019
MWI,21655286,health,2019
MWI,21655286,labor_force,2013
MWI,21655286,agriculture,2020
MWI,21655286,business,2013
MYS,35557673,poverty,2021
MYS,35557673,health,2012
MYS,35557673,labor_force,2023
MYS,35557673,agriculture,
MYS,35557673,business,2017
NAM,3030131,poverty,2015
NAM,3030131,health,2013
NAM,3030131,labor_force,2018
NAM,3030131,agriculture,
NAM,3030131,business,
NCL,292639,poverty,
NCL,292639,health,
NCL,292639,labor_force,2022
NCL,292639,agriculture,
NCL,292639,business,
NER,27032412,poverty,2021
NER,27032412,health,2021
NER,27032412,labor_force,2017
NER,27032412,agriculture,2022
NER,27032412,business,
NGA,233000000,poverty,2023
NGA,233000000,health,2018
NGA,233000000,labor_force,2023
NGA,233000000,agriculture,2021
NGA,233000000,business,
NIC,6916140,poverty,2016
NIC,6916140,health,2007
NIC,6916140,labor_force,2019
NIC,6916140,agriculture,
NIC,6916140,business,
NLD,17993485,poverty,2022
NLD,17993485,health,2024
NLD,17993485,labor_force,2024
NLD,17993485,agriculture,2024
NLD,17993485,business,2024
NOR,5572279,poverty,2024
NOR,5572279,health,2021
NOR,5572279,labor_force,2024
NOR,5572279,agriculture,2024
NOR,5572279,business,2024
NPL,29651054,poverty,2019
NPL,29651054,health,2022
NPL,29651054,labor_force,2017
NPL,29651054,agriculture,2015
NPL,29651054,business,2008
NRU,11947,poverty,2012
NRU,11947,health,
NRU,11947,labor_force,
NRU,11947,agriculture,
NRU,11947,business,
NZL,5287500,poverty,2022
NZL,5287500,health,2024
NZL,5287500,labor_force,2024
NZL,5287500,agriculture,2024
NZL,5287500,business,2024
OMN,5281538,poverty,2018
OMN,5281538,health,2014
OMN,5281538,labor_force,
OMN,5281538,agriculture,
OMN,5281538,business,2001
PAK,251000000,poverty,2018
PAK,251000000,health,2019
PAK,251000000,labor_force,2021
PAK,251000000,agriculture,2022
PAK,251000000,business,
PAN,4515577,poverty,2023
PAN,4515577,health,2013
PAN,4515577,labor_force,2023
PAN,4515577,agriculture,
PAN,4515577,business,2019
PER,34217848,poverty,2022
PER,34217848,health,2018
PER,34217848,labor_force,2024
PER,34217848,agriculture,2018
PER,34217848,business,2018
PHL,116000000,poverty,2021
PHL,116000000,health,2022
PHL,116000000,labor_force,2022
PHL,116000000,agriculture,2022
PHL,116000000,business,2018
PLW,17695,poverty,2013
PLW,17695,health,
PLW,17695,labor_force,
PLW,17695,agriculture,
PLW,17695,business,
PNG,10576502,poverty,2009
PNG,10576502,health,2016
PNG,10576502,labor_force,
PNG,10576502,agriculture,2020
PNG,10576502,business,
POL,36559233,poverty,2022
POL,36559233,health,2020
POL,36559233,labor_force,2024
POL,36559233,agriculture,2020
POL,36559233,business,2018
PRI,3203295,poverty,
PRI,3203295,health,
PRI,3203295,labor_force,
PRI,3203295,agriculture,
PRI,3203295,business,
PRK,26498823,poverty,
PRK,26498823,health,
PRK,26498823,labor_force,
PRK,26498823,agriculture,
PRK,26498823,business,
PRT,10694681,poverty,2022
PRT,10694681,health,2024
PRT,10694681,labor_force,2024
PRT,10694681,agriculture,2024
PRT,10694681,business,2024
PRY,6929153,poverty,2022
PRY,6929153,health,2016
PRY,6929153,labor_force,2017
PRY,6929153,agriculture,
PRY,6929153,business,2016
PSE,5289152,poverty,2016
PSE,5289152,health,2019
PSE,5289152,labor_force,2024
PSE,5289152,agriculture,2015
PSE,5289152,business,2018
PYF,281807,poverty,
PYF,281807,health,
PYF,281807,labor_force,
PYF,281807,agriculture,
PYF,281807,business,
QAT,2857822,poverty,2012
QAT,2857822,health,2012
QAT,2857822,labor_force,2024
QAT,2857822,agriculture,2024
QAT,2857822,business,2023
ROU,19051804,poverty,2021
ROU,19051804,health,2019
ROU,19051804,labor_force,2023
ROU,19051804,agriculture,2016
ROU,19051804,business,2018
RUS,144000000,poverty,2020
RUS,144000000,health,2007
RUS,144000000,labor_force,2023
RUS,144000000,agriculture,
RUS,144000000,business,2015
RWA,14256567,poverty,2016
RWA,14256567,health,2019
RWA,14256567,labor_force,2024
RWA,14256567,agriculture,2019
RWA,14256567,business,2018
SAU,35300280,poverty,2018
SAU,35300280,health,2023
SAU,35300280,labor_force,2023
SAU,35300280,agriculture,2021
SAU,35300280,business,2022
SDN,50448963,poverty,2014
SDN,50448963,health,2021
SDN,50448963,labor_force,2022
SDN,50448963,agriculture,
SDN,50448963,business,
SEN,18501984,poverty,2021
SEN,18501984,health,2023
SEN,18501984,labor_force,2019
SEN,18501984,agriculture,2019
SEN,18501984,business,2013
SGP,6036860,poverty,2023
SGP,6036860,health,2020
SGP,6036860,labor_force,2024
SGP,6036860,agriculture,2024
SGP,6036860,business,2023
SLB,819198,poverty,2012
SLB,819198,health,2006
SLB,819198,labor_force,
SLB,819198,agriculture,
SLB,819198,business,
SLE,8642022,poverty,2018
SLE,8642022,health,2019
SLE,8642022,labor_force,2014
SLE,8642022,agriculture,2022
SLE,8642022,business,
SLV,6338193,poverty,2022
SLV,6338193,health,2014
SLV,6338193,labor_force,2016
SLV,6338193,agriculture,
SLV,6338193,business,
SMR,33977,poverty,
SMR,33977,health,
SMR,33977,labor_force,
SMR,33977,agriculture,
SMR,33977,business,
SOM,19009151,poverty,1985
SOM,19009151,health,2006
SOM,19009151,labor_force,2019
SOM,19009151,agriculture,2022
SOM,19009151,business,
SRB,6586476,poverty,2021
SRB,6586476,health,2014
SRB,6586476,labor_force,2024
SRB,6586476,agriculture,2018
SRB,6586476,business,2019
SSD,11943408,poverty,2016
SSD,11943408,health,2010
SSD,11943408,labor_force,
SSD,11943408,agriculture,
SSD,11943408,business,2010
STP,235536,poverty,2017
STP,235536,health,2019
STP,235536,labor_force,
STP,235536,agriculture,2018
STP,235536,business,
SUR,634431,poverty,2022
SUR,634431,health,2018
SUR,634431,labor_force,
SUR,634431,agriculture,
SUR,634431,business,
SVK,5422069,poverty,2022
SVK,5422069,health,2019
SVK,5422069,labor_force,2024
SVK,5422069,agriculture,2020
SVK,5422069,business,2021
SVN,2127400,poverty,2024
SVN,2127400,health,2019
SVN,2127400,labor_force,2024
SVN,2127400,agriculture,2024
SVN,2127400,business,2024
SWE,10569709,poverty,2024
SWE,10569709,health,2019
SWE,10569709,labor_force,2024
SWE,10569709,agriculture,2024
SWE,10569709,business,2024
SWZ,1242822,poverty,2016
SWZ,1242822,health,2014
SWZ,1242822,labor_force,2023
SWZ,1242822,agriculture,
SWZ,1242822,business,
SXM,43350,poverty,
SXM,43350,health,
SXM,43350,labor_force,
SXM,43350,agriculture,
SXM,43350,business,
SYC,121354,poverty,2018
SYC,121354,health,2007
SYC,121354,labor_force,2023
SYC,121354,agriculture,
SYC,121354,business,
SYR,24672760,poverty,2022
SYR,24672760,health,2010
SYR,24672760,labor_force,2012
SYR,24672760,agriculture,
SYR,24672760,business,
TCA,46535,poverty,
TCA,46535,health,
TCA,46535,labor_force,
TCA,46535,agriculture,
TCA,46535,business,
TCD,20299123,poverty,2022
TCD,20299123,health,2019
TCD,20299123,labor_force,
TCD,20299123,agriculture,2021
TCD,20299123,business,
TGO,9515236,poverty,2021
TGO,9515236,health,2017
TGO,9515236,labor_force,2017
TGO,9515236,agriculture,2021
TGO,9515236,business,
THA,71668011,poverty,2021
THA,71668011,health,2019
THA,71668011,labor_force,2024
THA,71668011,agriculture,2008
THA,71668011,business,2016
TJK,10590927,poverty,2017
TJK,10590927,health,2017
TJK,10590927,labor_force,2023
TJK,10590927,agriculture,
TJK,10590927,business,2002
TKM,7494498,poverty,2003
TKM,7494498,health,2019
TKM,7494498,labor_force,
TKM,7494498,agriculture,
TKM,7494498,business,
TLS,1400638,poverty,2014
TLS,1400638,health,2016
TLS,1400638,labor_force,2023
TLS,1400638,agriculture,
TLS,1400638,business,2018
TON,104175,poverty,2021
TON,104175,health,2019
TON,104175,labor_force,2023
TON,104175,agriculture,
TON,104175,business,
TTO,1368333,poverty,2005
TTO,1368333,health,2011
TTO,1368333,labor_force,2023
TTO,1368333,agriculture,
TTO,1368333,business,
TUN,12277109,poverty,2021
TUN,12277109,health,2018
TUN,12277109,labor_force,2023
TUN,12277109,agriculture,2004
TUN,12277109,business,
TUR,85518661,poverty,2022
TUR,85518661,health,2019
TUR,85518661,labor_force,2023
TUR,85518661,agriculture,2016
TUR,85518661,business,2016
TUV,9646,poverty,2010
TUV,9646,health,2019
TUV,9646,labor_force,
TUV,9646,agriculture,
TUV,9646,business,
TZA,68560157,poverty,2019
TZA,68560157,health,2022
TZA,68560157,labor_force,2023
TZA,68560157,agriculture,2023
TZA,68560157,business,2014
UGA,50015092,poverty,2019
UGA,50015092,health,2016
UGA,50015092,labor_force,2021
UGA,50015092,agriculture,2020
UGA,50015092,business,2006
UKR,37860221,poverty,2020
UKR,37860221,health,2012
UKR,37860221,labor_force,2021
UKR,37860221,agriculture,
UKR,37860221,business,2016
URY,3386588,poverty,2022
URY,3386588,health,2015
URY,3386588,labor_force,2023
URY,3386588,agriculture,
URY,3386588,business,2017
USA,340000000,poverty,2024
USA,340000000,health,2024
USA,340000000,labor_force,2024
