iso3c,date,availability_pct
KNA,2030,41.9
KOR,2030,83.4
KWT,2030,63.2
LAO,2030,67
LBN,2030,72.9
LBR,2030,69.5
LBY,2030,45.9
LCA,2030,61.9
LIE,2030,29.4
LKA,2030,77.1
LSO,2030,61.9
LTU,2030,87.2
LUX,2030,76.1
LVA,2030,82.5
MAC,2030,33.1
MAF,2030,12
MAR,2030,76.1
MCO,2030,31.9
MDA,2030,77.1
MDG,2030,69.5
MDV,2030,67
MEX,2030,89.9
MHL,2030,55.2
MKD,2030,76.1
MLI,2030,67
MLT,2030,74
MMR,2030,78.1
MNE,2030,74
MNG,2030,80.8
MNP,2030,17.6
MOZ,2030,67
MRT,2030,64.5
MUS,2030,79.9
MWI,2030,80.8
MYS,2030,84.9
NAM,2030,68.3
NCL,2030,25.8
NER,2030,68.3
NGA,2030,72.9
NIC,2030,64.5
NLD,2030,82.5
NOR,2030,84.2
NPL,2030,79
NRU,2030,48.5
NZL,2030,79
OMN,2030,61.9
PAK,2030,77.1
PAN,2030,79
PER,2030,89.3
PHL,2030,83.4
PLW,2030,53.8
PNG,2030,60.5
POL,2030,85.7
PRI,2030,27
PRK,2030,40.7
PRT,2030,84.2
PRY,2030,76.1
PSE,2030,69.5
PYF,2030,24.6
QAT,2030,68.3
ROU,2030,81.7
RUS,2030,77.1
RWA,2030,72.9
SAU,2030,74
SDN,2030,59.2
SEN,2030,74
SGP,2030,64.5
SLB,2030,59.2
SLE,2030,63.2
SLV,2030,79.9
SMR,2030,33.1
SOM,2030,57.9
SRB,2030,85.7
SSD,2030,48.5
STP,2030,59.2
SUR,2030,61.9
SVK,2030,79.9
SVN,2030,85.7
SWE,2030,87.2
SWZ,2030,72.9
SXM,2030,16.5
SYC,2030,56.5
SYR,2030,51.1
TCA,2030,28.2
TCD,2030,63.2
TGO,2030,71.8
THA,2030,86.5
TJK,2030,67
TKM,2030,63.2
TLS,2030,55.2
TON,2030,69.5
TTO,2030,64.5
TUN,2030,74
TUR,2030,85.7
TUV,2030,53.8
TZA,2030,77.1
UGA,2030,76.1
UKR,2030,81.7
URY,2030,72.9
USA,2030,79.9
UZB,2030,80.8
VCT,2030,53.8
VEN,2030,53.8
VGB,2030,19.9
VIR,2030,15.3
VNM,2030,82.5
VUT,2030,61.9
WSM,2030,69.5
YEM,2030,61.9
ZAF,2030,79.9
ZMB,2030,70.7
ZWE,2030,79
ABW,domestic_violence,0
AFG,domestic_violence,0
AGO,domestic_violence,0
ALB,domestic_violence,0
AND,domestic_violence,0
ARE,domestic_violence,0
ARG,domestic_violence,0
ARM,domestic_violence,0
ASM,domestic_violence,0
ATG,domestic_violence,0
AUS,domestic_violence,0
AUT,domestic_violence,0
AZE,domestic_violence,0
BDI,domestic_violence,0
BEL,domestic_violence,0
BEN,domestic_violence,0
BFA,domestic_violence,0
BGD,domestic_violence,0
BGR,domestic_violence,0
BHR,domestic_violence,0
BHS,domestic_violence,0
BIH,domestic_violence,0
BLR,domestic_violence,0
BLZ,domestic_violence,0
BMU,domestic_violence,0
BOL,domestic_violence,0
BRA,domestic_violence,0
BRB,domestic_violence,0
BRN,domestic_violence,0
BTN,domestic_violence,0
BWA,domestic_violence,0
CAF,domestic_violence,0
CAN,domestic_violence,0
CHE,domestic_violence,0
CHL,domestic_violence,0
CHN,domestic_violence,0
CIV,domestic_violence,0
CMR,domestic_violence,0
COD,domestic_violence,0
COG,domestic_violence,0
COL,domestic_violence,0
COM,domestic_violence,0
CPV,domestic_violence,0
CRI,domestic_violence,0
CUB,domestic_violence,0
CUW,domestic_violence,0
CYM,domestic_violence,0
CYP,domestic_violence,0
CZE,domestic_violence,0
DEU,domestic_violence,0
DJI,domestic_violence,0
DMA,domestic_violence,0
DNK,domestic_violence,0
DOM,domestic_violence,0
DZA,domestic_violence,0
ECU,domestic_violence,0
EGY,domestic_violence,0
ERI,domestic_violence,0
ESP,domestic_violence,0
EST,domestic_violence,0
ETH,domestic_violence,0
FIN,domestic_violence,0
FJI,domestic_violence,0
FRA,domestic_violence,0
FRO,domestic_violence,0
FSM,domestic_violence,0
GAB,domestic_violence,0
GBR,domestic_violence,0
GEO,domestic_violence,0
GHA,domestic_violence,0
GIB,domestic_violence,0
GIN,domestic_violence,0
GMB,domestic_violence,0
GNB,domestic_violence,0
GNQ,domestic_violence,0
GRC,domestic_violence,0
GRD,domestic_violence,0
GRL,domestic_violence,0
GTM,domestic_violence,0
GUM,domestic_violence,0
GUY,domestic_violence,0
HKG,domestic_violence,0
HND,domestic_violence,0
HRV,domestic_violence,0
HTI,domestic_violence,0
HUN,domestic_violence,0
IDN,domestic_violence,0
IMN,domestic_violence,0
IND,domestic_violence,0
IRL,domestic_violence,0
IRN,domestic_violence,0
IRQ,domestic_violence,0
ISL,domestic_violence,0
ISR,domestic_violence,0
ITA,domestic_violence,0
JAM,domestic_violence,0
JOR,domestic_violence,0
JPN,domestic_violence,0
KAZ,domestic_violence,0
KEN,domestic_violence,0
KGZ,domestic_violence,0
KHM,domestic_violence,0
KIR,domestic_violence,0
KNA,domestic_violence,0
KOR,domestic_violence,0
KWT,domestic_violence,0
LAO,domestic_violence,0
LBN,domestic_violence,0
LBR,domestic_violence,0
LBY,domestic_violence,0
LCA,domestic_violence,0
LIE,domestic_violence,0
LKA,domestic_violence,0
LSO,domestic_violence,0
LTU,domestic_violence,0
LUX,domestic_violence,0
LVA,domestic_violence,0
MAC,domestic_violence,0
MAF,domestic_violence,0
MAR,domestic_violence,0
MCO,domestic_violence,0
MDA,domestic_violence,0
MDG,domestic_violence,0
MDV,domestic_violence,0
MEX,domestic_violence,0
MHL,domestic_violence,0
MKD,domestic_violence,0
MLI,domestic_violence,0
MLT,domestic_violence,0
MMR,domestic_violence,0
MNE,domestic_violence,0
MNG,domestic_violence,0
MNP,domestic_violence,0
MOZ,domestic_violence,0
MRT,domestic_violence,0
MUS,domestic_violence,0
MWI,domestic_violence,0
MYS,domestic_violence,0
NAM,domestic_violence,0
NCL,domestic_violence,0
NER,domestic_violence,0
NGA,domestic_violence,0
NIC,domestic_violence,0
NLD,domestic_violence,0
NOR,domestic_violence,0
NPL,domestic_violence,0
NRU,domestic_violence,0
NZL,domestic_violence,0
OMN,domestic_violence,0
PAK,domestic_violence,0
PAN,domestic_violence,0
PER,domestic_violence,0
PHL,domestic_violence,0
PLW,domestic_violence,0
PNG,domestic_violence,0
POL,domestic_violence,0
PRI,domestic_violence,0
PRK,domestic_violence,0
PRT,domestic_violence,0
PRY,domestic_violence,0
PSE,domestic_violence,0
PYF,domestic_violence,0
QAT,domestic_violence,0
ROU,domestic_violence,0
RUS,domestic_violence,0
RWA,domestic_violence,0
SAU,domestic_violence,0
SDN,domestic_violence,0
SEN,domestic_violence,0
SGP,domestic_violence,0
SLB,domestic_violence,0
SLE,domestic_violence,0
SLV,domestic_violence,0
SMR,domestic_violence,0
SOM,domestic_violence,0
SRB,domestic_violence,0
SSD,domestic_violence,0
STP,domestic_violence,0
SUR,domestic_violence,0
SVK,domestic_violence,0
SVN,domestic_violence,0
SWE,domestic_violence,0
SWZ,domestic_violence,0
SXM,domestic_violence,0
SYC,domestic_violence,0
SYR,domestic_violence,0
TCA,domestic_violence,0
TCD,domestic_violence,0
TGO,domestic_violence,0
THA,domestic_violence,0
TJK,domestic_violence,0
TKM,domestic_violence,0
TLS,domestic_violence,0
TON,domestic_violence,0
TTO,domestic_violence,0
TUN,domestic_violence,0
TUR,domestic_violence,0
TUV,domestic_violence,0
TZA,domestic_violence,0
UGA,domestic_violence,0
UKR,domestic_violence,0
URY,domestic_violence,0
USA,domestic_violence,0
UZB,domestic_violence,0
VCT,domestic_violence,0
VEN,domestic_violence,0
VGB,domestic_violence,0
VIR,domestic_violence,0
VNM,domestic_violence,0
VUT,domestic_violence,0
WSM,domestic_violence,0
YEM,domestic_violence,0
ZAF,domestic_violence,0
ZMB,domestic_violence,0
ZWE,domestic_violence,0
