iso3c,spi_index,spi_quintile,fcv,pillar1,pillar2,pillar3,pillar4,pillar5
BRN,61.44,2,non_fcv,80,72.23,61.56,53.39,40
CPV,59.87,2,non_fcv,80,31.8,64.67,67.9,55
KHM,63.01,2,non_fcv,60,64.27,79.22,46.58,65
CHN,57.93,2,non_fcv,73.4,43.93,76.6,40.7,55
SWZ,60.97,2,non_fcv,80,62.53,76.12,31.17,55
ETH,61.75,2,fcv,90,64.43,74.97,34.34,45
IRN,63.52,2,non_fcv,66.6,62.8,68.29,69.9,50
KWT,63.38,2,non_fcv,60,68.87,65.69,62.32,60
LAO,60.84,2,non_fcv,90,67.4,67.38,44.42,35
LBN,57.81,2,fcv,80,62.8,63.14,48.12,35
LSO,58.24,2,non_fcv,80,31.47,71.03,53.7,55
LBR,59.12,2,non_fcv,60,59.93,71.62,44.05,60
MDG,57.5,2,non_fcv,70,61.77,73.47,37.25,45
MWI,64.34,2,non_fcv,80,63.27,74.07,49.38,55
MDV,64.37,2,non_fcv,70,66.57,62.94,62.37,60
MRT,58.45,2,non_fcv,80,63.9,62.8,25.54,60
MMR,64.52,2,fcv,70,70.47,70.13,52.01,60
NAM,55.66,2,non_fcv,40,66.63,69.46,37.22,65
NPL,60.37,2,non_fcv,60,66.23,79.11,46.5,50
NIC,55.8,2,non_fcv,60,63.2,62.94,37.88,55
OMN,59.22,2,non_fcv,70,48.83,58.61,63.66,55
PLW,60.95,2,non_fcv,70,61.57,62.36,55.84,55
WSM,62.83,2,non_fcv,80,63.7,69.81,50.64,50
SLE,59.94,2,non_fcv,70,64.37,68.65,41.69,55
LCA,64.17,2,non_fcv,80,68.13,63.36,54.38,55
SUR,58.63,2,non_fcv,46.6,72.63,60.88,58.02,55
TJK,63.87,2,non_fcv,80,68.97,65.52,59.86,45
TLS,60.52,2,fcv,80,61.77,63.02,42.79,55
TON,63.2,2,non_fcv,80,62.17,68.15,60.7,45
TTO,59.38,2,non_fcv,70,68.1,67.11,41.71,50
ZMB,64.17,2,non_fcv,90,62.53,76.03,42.28,50
AZE,69.49,3,non_fcv,80,36.9,74.22,66.33,90
BGD,71.64,3,non_fcv,80,63.47,83.05,66.67,65
BLZ,67.68,3,non_fcv,80,67.73,65.46,70.23,55
BEN,71.03,3,non_fcv,90,71.37,74.46,49.31,70
BOL,70.23,3,non_fcv,80,67.9,78.07,60.19,65
BIH,68.56,3,non_fcv,70,65.6,73.77,53.42,80
BFA,76.37,3,fcv,90,78.4,79.21,49.23,85
CMR,66.05,3,fcv,70,75,75.41,39.83,70
CIV,70.2,3,non_fcv,80,76.3,81.33,43.38,70
DOM,75.22,3,non_fcv,100,69.67,75.24,46.17,85
SLV,73.74,3,non_fcv,90,77.23,85.03,56.44,60
FJI,67.68,3,non_fcv,80,63.13,74.3,55.95,65
GMB,67.01,3,non_fcv,90,66.57,80.19,48.31,50
GHA,65.74,3,non_fcv,70,66.73,80.2,56.76,55
HND,65.68,3,non_fcv,90,66,75.46,36.95,60
IND,73.72,3,non_fcv,80,85.13,79.27,74.18,50
JAM,73.47,3,non_fcv,100,73.6,79.53,59.21,55
KEN,73.36,3,non_fcv,90,70.6,80.92,45.25,80
MLI,66.51,3,fcv,100,70.67,68.54,43.33,50
MNE,73.89,3,non_fcv,90,71.33,69.42,68.71,70
MAR,73.07,3,non_fcv,60,95.8,77.67,61.87,70
MOZ,66.74,3,fcv,90,66.67,76.24,45.78,55
NER,70.47,3,fcv,90,76.37,75.19,40.77,70
NGA,69.12,3,fcv,100,70.97,74.86,39.76,60
PAK,68.06,3,non_fcv,90,61.97,77.83,50.51,60
PRY,74.21,3,non_fcv,70,74.03,84.31,62.7,80
QAT,68.1,3,non_fcv,80,66.8,67.53,61.19,65
RWA,72.6,3,non_fcv,90,72.13,74.55,56.33,70
SYC,64.53,3,non_fcv,90,48,56.67,58,70
LKA,74.91,3,non_fcv,90,81.53,77.28,65.72,60
TZA,68.22,3,non_fcv,80,71.23,81.92,52.95,55
TGO,66.55,3,non_fcv,80,68.03,76.14,43.58,65
TUN,75.46,3,non_fcv,90,89.97,74.11,63.21,60
UGA,68.7,3,non_fcv,70,71.23,72.16,45.11,85
UKR,76,3,fcv,100,55.13,81.57,58.28,85
VNM,67.24,3,non_fcv,100,67.67,80.3,48.22,40
PSE,74.4,3,fcv,70,92.33,71.47,73.2,65
ZWE,66.8,3,fcv,100,66.67,67.54,39.8,60
ALB,83.65,4,non_fcv,100,69,79.67,74.6,95
ARG,80.39,4,non_fcv,90,85.67,83.36,72.92,70
ARM,82.18,4,non_fcv,90,86.2,82.77,71.93,80
BLR,77.2,4,non_fcv,86.6,53.8,78.49,77.1,90
BRA,82.31,4,non_fcv,83.4,88.97,74.9,84.28,80
BGR,83.55,4,non_fcv,100,92.53,79.49,80.75,65
COL,83.44,4,non_fcv,80,88.37,86.33,82.5,80
HRV,85.05,4,non_fcv,100,87.53,81.77,75.95,80
CYP,85.06,4,non_fcv,100,86.57,78.97,74.75,85
ECU,79.86,4,non_fcv,100,89,80.27,60.02,70
EGY,78.14,4,non_fcv,80,80.8,81.56,73.33,75
GTM,79.36,4,non_fcv,90,68.1,79.21,69.47,90
ISL,81.47,4,non_fcv,100,62.83,76.64,77.88,90
IDN,82.34,4,non_fcv,100,91.87,86.13,58.73,75
JOR,78.81,4,non_fcv,80,93.57,78.8,71.7,70
KAZ,84.89,4,non_fcv,100,90.13,79.18,80.16,75
KGZ,79.15,4,non_fcv,100,50.87,84.01,70.87,90
MYS,84.99,4,non_fcv,80,99.67,80.13,80.16,85
MLT,83.85,4,non_fcv,100,89.3,68.41,86.53,75
MUS,80.44,4,non_fcv,90,87.3,77.58,67.33,80
MDA,85.67,4,non_fcv,100,96,79.46,67.91,85
MNG,83.73,4,non_fcv,90,96.33,81.38,80.96,70
NLD,85.13,4,non_fcv,80,97.23,82.18,81.25,85
PAN,77.73,4,non_fcv,100,71.67,82.51,74.48,60
PER,81.98,4,non_fcv,100,87.17,84.48,63.26,75
PHL,83.84,4,non_fcv,100,92.97,84.23,71.98,70
RUS,81.5,4,non_fcv,76.6,87.97,77.86,65.07,100
SAU,83.29,4,non_fcv,80,93.2,68.86,84.38,90
SEN,81.41,4,non_fcv,100,96.03,73.41,57.62,80
SRB,80.49,4,non_fcv,100,76.57,80.99,69.88,75
SVK,83.25,4,non_fcv,90,95.1,81.56,79.6,70
ZAF,81.29,4,non_fcv,80,84.63,80.56,71.25,90
THA,85.04,4,non_fcv,100,87.93,84.74,67.53,85
TUR,79.35,4,non_fcv,50,86.4,88.35,71.99,100
ARE,79.15,4,non_fcv,90,81.6,70.41,68.74,85
URY,80.15,4,non_fcv,100,85.3,70.9,69.53,75
UZB,81.49,4,non_fcv,90,79.13,80.11,68.21,90
AUS,88.97,5,non_fcv,80,95.17,85.24,84.45,100
AUT,89.35,5,non_fcv,100,92.43,89.06,80.25,85
BEL,87.26,5,non_fcv,100,85,91.12,80.18,80
CAN,92.36,5,non_fcv,100,93.3,87.22,91.27,90
CHL,89.38,5,non_fcv,100,88.23,82.39,81.27,95
CRI,90.98,5,non_fcv,100,88.97,89.78,81.17,95
CZE,87.01,5,non_fcv,100,89,82.6,78.45,85
DNK,92.05,5,non_fcv,100,97.83,87.74,89.68,85
EST,88.79,5,non_fcv,100,96.3,83.44,84.2,80
FIN,90.37,5,non_fcv,100,98.2,81.56,87.1,85
FRA,88.37,5,non_fcv,100,90.17,88.81,77.88,85
GEO,87.72,5,non_fcv,100,93.77,83.72,81.1,80
DEU,90.06,5,non_fcv,100,95.33,83.84,86.1,85
GRC,86.58,5,non_fcv,100,85.03,82.96,79.92,85
HUN,87.87,5,non_fcv,90,95.53,89.7,84.12,80
IRL,88.32,5,non_fcv,100,97.13,80.93,78.53,85
ISR,90.29,5,non_fcv,100,94.2,78.14,84.12,95
ITA,90.93,5,non_fcv,100,92.7,88.81,88.15,85
JPN,90.99,5,non_fcv,100,91.83,84.76,83.38,95
KOR,91.57,5,non_fcv,100,96.1,87.71,79.03,95
LVA,88.08,5,non_fcv,100,96.8,81.81,76.8,85
LTU,89.36,5,non_fcv,100,92,89.31,80.5,85
LUX,85.82,5,non_fcv,100,91.53,78.33,74.23,85
MEX,90.95,5,non_fcv,100,93.23,92.22,89.3,80
NZL,91.74,5,non_fcv,100,94.9,83.12,80.67,100
MKD,87.17,5,non_fcv,100,88.23,72.23,80.4,95
NOR,94.14,5,non_fcv,100,98.57,84,88.15,100
POL,91.11,5,non_fcv,100,99,82.21,94.33,80
PRT,90.71,5,non_fcv,100,97.63,90.31,85.6,80
ROU,91.05,5,non_fcv,100,94.7,83.35,87.17,90
SGP,88.32,5,non_fcv,100,98.4,67.32,95.88,80
SVN,91.09,5,non_fcv,100,98.53,88.02,83.88,85
ESP,91.82,5,non_fcv,100,92.33,89.68,92.1,85
SWE,92.66,5,non_fcv,100,95.4,89.18,88.73,90
CHE,88.71,5,non_fcv,100,87.9,86.46,84.2,85
GBR,88.38,5,non_fcv,100,92.6,86.66,77.62,85
USA,90.06,5,non_fcv,100,95,88.37,86.92,80
