country_name,iso3,series_name,series_code,year,value
Belgium,BEL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.54713452
Slovak Republic,SVK,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.57155691
Slovenia,SVN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.5745942
Finland,FIN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.64679671
Luxembourg,LUX,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.65305502
France,FRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.71270147
Cyprus,CYP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.72110883
Sweden,SWE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.76079667
United Kingdom,GBR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.82295068
Malta,MLT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.82676853
Isle of Man,IMN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.91059649
Germany,DEU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.91729795
Denmark,DNK,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.91882714
Netherlands,NLD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.9595064
San Marino,SMR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,99.99999618
New Zealand,NZL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
"Macao SAR, China",MAC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
Monaco,MCO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
Singapore,SGP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
Liechtenstein,LIE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
Kuwait,KWT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
Iceland,ISL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
Hungary,HUN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
"Hong Kong SAR, China",HKG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
Gibraltar,GIB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,2024,100
