country_name,iso3,year,accessibility,availability,quality,limiting_factor,min_value,below or above global average (73.4%)?
Honduras,HND,2024,90.1024358,87.2086952,65.5162212,quality,65.5162212,below
Guyana,GUY,2024,88.4173561,87.4884334,67.1744374,quality,67.1744374,below
Bhutan,BTN,2024,87.2978455,67.7685643,75.4431723,availability,67.7685643,below
South Africa,ZAF,2024,80.8664686,68.0075639,85.2058627,availability,68.0075639,below
Algeria,DZA,2024,77.0849759,69.0291825,83.2828305,availability,69.0291825,below
Trinidad and Tobago,TTO,2024,98.8403688,69.3692627,86.3399427,availability,69.3692627,below
Ecuador,ECU,2024,91.5179654,91.8625464,69.8869997,quality,69.8869997,below
Georgia,GEO,2024,93.8281982,86.0132093,70.5266097,quality,70.5266097,below
Albania,ALB,2024,81.3587717,70.7937364,96.6468406,availability,70.7937364,below
Kyrgyzstan,KGZ,2024,88.414232,73.8812993,91.0793971,availability,73.8812993,above
Serbia,SRB,2024,93.3193473,91.6558925,74.9672635,quality,74.9672635,above
Republic of Moldova,MDA,2024,75.8158909,90.6348874,78.8493399,accessibility,75.8158909,above
Colombia,COL,2024,96.6918898,76.3524408,82.3964781,availability,76.3524408,above
India,IND,2024,76.4421942,84.500384,91.3114727,accessibility,76.4421942,above
Egypt,EGY,2024,95.4839431,78.9401588,96.4851945,availability,78.9401588,above
Costa Rica,CRI,2024,99.2960526,80.5000742,94.3550869,availability,80.5000742,above
occupied Palestinian territory*,PSE,2024,93.7770396,89.0345407,80.6420172,quality,80.6420172,above
Morocco,MAR,2024,80.7235189,81.8078935,85.210605,accessibility,80.7235189,above
North Macedonia,MKD,2024,96.4890502,80.9021091,89.0447012,availability,80.9021091,above
Northern Mariana Islands,MNP,2024,95.3339094,81.4545455,98.5514943,availability,81.4545455,above
Armenia,ARM,2024,99.2816214,91.4756707,82.0728192,quality,82.0728192,above
Uzbekistan,UZB,2024,82.3774179,86.9723683,91.4765326,accessibility,82.3774179,above
Montenegro,MNE,2024,98.5941784,85.5009118,94.7648482,availability,85.5009118,above
Bosnia and Herzegovina,BIH,2024,90.7223605,88.9240743,86.4001079,quality,86.4001079,above
Brazil,BRA,2024,99.9999987,98.913631,88.6239661,quality,88.6239661,above
Jordan,JOR,2024,98.9291911,88.9502985,98.5728518,availability,88.9502985,above
American Samoa,ASM,2024,97.1741805,90.5383361,98.7963899,availability,90.5383361,above
Andorra,AND,2024,100,100,90.6400018,quality,90.6400018,above
Palau,PLW,2024,90.7752173,99.5322473,97.5766036,accessibility,90.7752173,above
Belarus,BLR,2024,99.892492,93.0597553,99.0769432,availability,93.0597553,above
Turkmenistan,TKM,2024,99.9219553,99.5645028,94.8535459,quality,94.8535459,above
Portugal,PRT,2024,96.9244427,95.2173479,98.0304442,availability,95.2173479,above
Qatar,QAT,2024,99.9889721,99.9889721,95.3452419,quality,95.3452419,above
Bulgaria,BGR,2024,99.1852516,96.2070781,99.0792087,availability,96.2070781,above
United States of America,USA,2024,99.8443461,97.5676884,99.5986152,availability,97.5676884,above
Chile,CHL,2024,99.0811612,98.4593891,97.8170552,quality,97.8170552,above
United Arab Emirates,ARE,2024,98.6413172,100,99.9345752,accessibility,98.6413172,above
Austria,AUT,2024,99.9999972,98.8915357,99.9999972,availability,98.8915357,above
Bahrain,BHR,2024,98.9039756,99.8644604,99.5220882,accessibility,98.9039756,above
Puerto Rico,PRI,2024,100,100,98.9402618,quality,98.9402618,above
Estonia,EST,2024,98.9843985,99.999997,98.9439097,quality,98.9439097,above
Japan,JPN,2024,98.7270242,NA,99.1660987,accessibility,98.7270242,
United States Virgin Islands,VIR,2024,98.6774837,NA,99.4656803,accessibility,98.6774837,
Czechia,CZE,2024,98.1448728,NA,99.8524636,accessibility,98.1448728,
Latvia,LVA,2024,97.0114069,NA,99.4598787,accessibility,97.0114069,
Canada,CAN,2024,96.8903227,NA,98.1268799,accessibility,96.8903227,
New Caledonia,NCL,2024,99.538673,NA,96.8652854,quality,96.8652854,
Italy,ITA,2024,97.8397147,NA,96.7584358,quality,96.7584358,
Lithuania,LTU,2024,96.7335743,NA,99.9182027,accessibility,96.7335743,
Switzerland,CHE,2024,99.9999968,NA,96.6999969,quality,96.6999969,
Greece,GRC,2024,100,NA,96.6861555,quality,96.6861555,
Saint Martin (French part),MAF,2024,99.9229384,NA,96.6254815,quality,96.6254815,
Ireland,IRL,2024,97.0980337,NA,96.1250112,quality,96.1250112,
Malaysia,MYS,2024,94.7003619,NA,98.2971162,accessibility,94.7003619,
Iran (Islamic Republic of),IRN,2024,94.4122052,NA,97.1156081,accessibility,94.4122052,
Guam,GUM,2024,98.2811515,NA,93.9971538,quality,93.9971538,
Kazakhstan,KAZ,2024,91.5454182,NA,98.6394087,accessibility,91.5454182,
Oman,OMN,2024,91.1011744,NA,99.7670784,accessibility,91.1011744,
French Polynesia,PYF,2024,98.3473752,NA,90.4487179,quality,90.4487179,
Poland,POL,2024,88.6755463,NA,90.1244633,accessibility,88.6755463,
Ukraine,UKR,2024,91.6775927,NA,92.8127774,accessibility,91.6775927,
Croatia,HRV,2024,90.8056195,NA,87.2737949,quality,87.2737949,
Romania,ROU,2024,82.1829929,NA,97.5759629,accessibility,82.1829929,
Russian Federation,RUS,2024,76.2607294,NA,94.8073501,accessibility,76.2607294,
Tajikistan,TJK,2024,65.1080715,NA,72.4976014,accessibility,65.1080715,
Seychelles,SYC,2024,96.9073176,NA,64.7022316,quality,64.7022316,
"China, Hong Kong SAR",HKG,2024,100,NA,100,,,
"China, Macao SAR",MAC,2024,100,100,100,,,
Gibraltar,GIB,2024,100,NA,100,,,
Hungary,HUN,2024,100,100,100,,,
Iceland,ISL,2024,100,NA,100,,,
Kuwait,KWT,2024,100,100,100,,,
Liechtenstein,LIE,2024,100,NA,100,,,
Monaco,MCO,2024,100,NA,100,,,
New Zealand,NZL,2024,100,NA,100,,,
Singapore,SGP,2024,100,NA,100,,,
San Marino,SMR,2024,99.9999962,99.9999962,99.9999962,,,
Netherlands (Kingdom of the),NLD,2024,100,NA,99.9595064,,,
Denmark,DNK,2024,99.9188271,NA,99.9999998,,,
Germany,DEU,2024,100,100,99.9172979,,,
Isle of Man,IMN,2024,100,NA,99.9105965,,,
Malta,MLT,2024,100,NA,99.8267685,,,
United Kingdom,GBR,2024,99.9999991,NA,99.8229507,,,
Sweden,SWE,2024,99.7607967,NA,99.7607967,,,
Cyprus,CYP,2024,99.7211088,NA,99.7211088,,,
France,FRA,2024,99.9999975,NA,99.7127015,,,
Luxembourg,LUX,2024,99.837587,NA,99.815469,,,
Finland,FIN,2024,99.6467967,NA,99.9999967,,,
Slovenia,SVN,2024,99.5745942,NA,99.5745942,,,
Slovakia,SVK,2024,99.7860717,NA,99.5715569,,,
Belgium,BEL,2024,100,NA,99.5471345,,,
Israel,ISR,2024,99.9999993,NA,99.4619877,,,
Spain,ESP,2024,99.9247001,NA,99.4584647,,,
Republic of Korea,KOR,2024,99.8110524,100,99.2826695,,,
Norway,NOR,2024,100,NA,99.0624831,,,
