isco08,isco08_name,isco08_definition,AIOE_glo,share_glo,AIOE_hic,share_hic,AIOE_mic,share_mic,AIOE_lic,share_lic,icon
33,Business and Administration Associate Professionals,"Business and administration associate professionals perform mostly technical tasks connected with the practical application of knowledge relating to financial accounting and transaction matters, mathematical calculations, human resource development, selling and buying financial instruments, specialized secretarial tasks, and enforcing or applying government rules. Also included are workers who provide business services such as customs clearance, conference planning, job placements, buying and selling real estate or bulk commodities, and serving as agents for performers such as athletes and artists. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.",86.599113,2.0254705,85.203491,6.9102316,87.29657,1.5509903,87.131454,0.37389007,icon_33_svg
34,"Legal, Social, Cultural and Related Associate Professionals","Legal, social, cultural and related associate professionals perform technical tasks connected with the practical application of knowledge relating to legal services, social work, culture, food preparation, sport and religion. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.",61.96727,0.68497431,52.552494,2.1754835,66.151321,0.53829414,68.186928,0.22114576,icon_34_svg
35,Information and Communications Technicians,"Information and communications technicians provide support for the day-to-day running of computer systems, communications systems and networks and perform technical tasks related to telecommunications, broadcast of image and sound as well as other types of telecommunications signals on land, sea or in aircraft. Competent performance in most occupations in this sub-major group requires skills at the third ISCO skill level.",75.069672,0.24665073,73.139221,0.67922103,75.774292,0.20593448,76.010605,0.07290975,icon_35_svg
40,Clerical Support Workers,"Clerical support workers record, organise, store, compute and retrieve information, and perform a number of clerical duties in connection with money-handling operations, travel arrangements, requests for information, and appointments. Competent performance in most occupations in this major group requires skills at the second ISCO skill level.",76.023285,0.030291382,,,76.023285,0.035152905,,,icon_40_svg
41,General and Keyboard Clerks,"General and keyboard clerks record, organize, store and retrieve information and perform a wide range of clerical and administrative tasks according to established procedures. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",87.504768,1.4355651,73.879845,0.65906185,88.152786,1.582846,86.366936,0.18051377,icon_41_svg
42,Customer Services Clerks,"Customer services clerks deal with clients in connection with money-handling operations, travel arrangements, requests for information, making appointments, operating telephone switchboards, and interviewing for surveys or to complete applications for eligibility for services. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",83.517891,1.1480365,84.902161,4.3451009,82.746407,0.83214045,78.995361,0.18007261,icon_42_svg
43,Numerical and Material Recording Clerks,"Numerical and material recording clerks obtain, compile and compute accounting, bookkeeping, statistical, financial, and other numerical data, and take charge of cash transactions incidental to business matters. Some occupations classified here keep records of goods produced, purchased, stocked, dispatched, and of materials needed at specified production dates, or keep records of operational aspects and coordinate the timing of passenger and freight transport. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",70.989059,0.75634319,58.456806,2.1983674,75.942352,0.62678337,76.640572,0.046791915,icon_43_svg
44,Other Clerical Support Workers,"Other clerical support workers sort and deliver mail, file documents, prepare information for processing, maintain personnel records, check material for consistency with original source material, assist persons who cannot read or write, and perform various other specialized clerical duties. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",67.040436,0.32789135,56.462189,0.44538045,68.63562,0.32501963,69.899811,0.10778996,icon_44_svg
50,Service and Sales Workers,"Service and sales workers provide personal and protective services related to travel, housekeeping, catering, personal care, or protection against fire and unlawful acts, or demonstrate and sell goods in wholesale or retail shops and similar establishments, as well as at stalls and on markets. Competent performance in most occupations in this major group requires skills at the second ISCO skill level.",55.733177,0.1177706,,,55.733177,0.13667184,,,icon_50_svg
51,Personal Service Workers,"Personal service workers provide personal services related to travel, housekeeping, catering and hospitality, hairdressing and beauty treatment, animal care grooming and training, companionship and other services of a personal nature. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",43.874542,3.3419116,36.08979,5.8272719,45.40527,3.0754592,46.836197,3.0303807,icon_51_svg
52,Sales Workers,"Sales workers sell and demonstrate goods in wholesale or retail shops, at stalls and markets, door-to-door, via telephone or customer contact centres. They may record and accept payment for goods and services purchased, and may operate small retail outlets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",65.346764,9.7889957,58.426548,6.825099,65.649422,10.186377,70.978638,8.4788094,icon_52_svg
53,Personal Care Workers,"Personal care workers provide care, supervision and assistance for children, patients and elderly, convalescent or disabled persons in institutional and residential settings. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",53.830746,0.71283543,52.36414,2.482995,54.572186,0.54311389,56.756607,0.067389339,icon_53_svg
54,Protective Services Workers,"Protective services workers protect individuals and property against fire and other hazards, maintain law and order and enforce laws and regulations. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",44.867668,1.211278,81.872337,0.33979154,43.750885,1.336673,47.162113,0.64543235,icon_54_svg
60,"Skilled Agricultural, Forestry and Fishery Workers","Skilled agricultural, forestry and fishery workers grow and harvest field or tree  and shrub crops, gather wild fruits and plants, breed, tend or hunt animals, produce a variety of animal husbandry products; cultivate, conserve and exploit forests; breed or catch fish; and cultivate or gather other forms of aquatic life in order to provide food, shelter and income for themselves and  their households. Competent performance in most occupations in this major group requires skills at the second ISCO skill level.",32.12455,0.061245311,,,32.12455,0.071074694,,,icon_60_svg
61,Market-oriented Skilled Agricultural Workers,"Market-oriented skilled agricultural workers plan, organize and perform farming operations to grow and harvest field or tree and shrub crops and produce a variety of animals and animal products for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",35.425571,20.859118,28.226889,1.3349812,35.471874,23.499907,35.424126,11.740405,icon_61_svg
62,"Market-Oriented Skilled Forestry, Fishery and Hunting Workers","Market-oriented skilled forestry, fishery and hunting workers plan, organize and perform operations to cultivate, conserve and exploit natural and plantation forests, breed and raise fish, harvest and catch fish; and hunt and trap animals, for sale or delivery on a regular basis to wholesale buyers, marketing organizations or at markets. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",23.35117,3.0413985,22.753733,0.073389232,23.290499,3.4993513,33.288712,0.4617624,icon_62_svg
63,"Subsistence Farmers, Fishers, Hunters and Gatherers","Subsistence farmers, fishers, hunters and gatherers grow and harvest field or tree and shrub crops, vegetables and fruit, gather wild fruits, medicinal and other plants, tend or hunt animals, catch fish and gather various forms of aquatic life in order to provide food, shelter and, in some cases, a minimum of cash income for themselves and their households. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",20.394651,2.7207007,,,17.982489,1.4588577,22.46649,35.872288,icon_63_svg
70,Craft and Related Trades Workers,"Craft and related trades workers apply specific technical and practical knowledge and skills in the fields to construct and maintain buildings; form metal; erect metal structures; set machine tools or make, fit, maintain and repair machinery, equipment or tools; carry out printing work; and produce or process foodstuffs, textiles and wooden, metal and other articles, including handicraft goods. Competent performance in most occupations in this major group requires skills at the second ISCO skill level.
The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of all stages of the production process, the materials and tools used, and the nature and purpose of the final product.",34.817726,0.041468836,,,34.817726,0.04812425,,,icon_70_svg
71,Building and Related Trades Workers (excluding Electricians),"Building and related trades workers construct, maintain and repair buildings, erect and repair foundations, walls and structures of brick, stone and similar materials; shape and finish stone for building and other purposes. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.
The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organization, the materials and tools used, and the nature and purpose of the final product. ",25.037928,3.7184956,22.434101,3.6820772,25.15041,3.864167,43.874592,0.72893029,icon_71_svg
72,"Metal, Machinery and Related Trades Workers","Metal, machinery and related trades workers cast, weld, forge and, by other methods, form metal; erect, maintain and repair heavy metal structures; engage in machine-tool setting as well as in fitting, maintaining and repairing machinery, including engines, vehicles, or they produce tools and various non-precious-metal articles. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.
The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.",33.937138,1.8445247,31.046225,1.080238,34.120956,2.0061722,32.667789,0.25685966,icon_72_svg
73,Handicraft and Printing Workers,"Handicraft and printing workers combine artistic and manual skills to design, produce, maintain and decorate precision instruments, musical instruments, jewellery and other precious-metals, pottery, porcelain and glassware, items made of wood or textile, leather or related materials, and printed products such as books, newspapers and magazines. They apply traditional and/or recently developed techniques to carve, mould, assemble, weave and decorate various articles; to compose and set type prior to printing; to set up and operate printing presses; to bind and finish printed products; and to prepare stencils and operate screen printing equipment. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work may be carried out by hand or involve the use of hand tools, hand-held power tools and in some cases the set-up and operation of machinery and machine tools. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.",40.188782,0.98653281,42.413292,0.21474382,40.134163,1.083205,40.325745,0.7890774,icon_73_svg
74,Electrical and Electronics Trades Workers,"Electrical and electronics trades workers install, fit and maintain electrical wiring systems and machinery and other electrical apparatus, electrical transmission and supply lines and cables, and electronic and telecommunications equipment and systems. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products. The tasks call for an understanding of the work organisation, the materials and tools used, and the nature and purpose of the final product.",39.647835,1.0068667,35.954803,0.92041558,40.005657,1.0594399,40.773693,0.10310207,icon_74_svg
75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Food processing, woodworking, garment and other craft and related trades workers treat and process agricultural and fisheries raw materials into food and other products, and produce and repair goods made of wood, textiles, fur, leather or other materials. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work is carried out by hand and by hand-powered and other tools which are used to reduce the amount of physical effort and time required for specific tasks, as well as to improve the quality of the products.  The tasks call for an understanding of the work organization, the materials and tools used, and the nature and purpose of the final product.",37.54324,3.4239595,45.837723,1.5303587,37.12999,3.742238,39.441643,1.2268436,icon_75_svg
80,"Plant and Machine Operators, and Assemblers","Plant and machine operators, and assemblers operate and monitor industrial and agricultural machinery and equipment on the spot or by remote control; drive and operate trains, motor vehicles and mobile machinery and equipment; or assemble products from component parts according to strict specifications and procedures. Competent performance in most occupations in this major group requires skills at the second ISCO skill level.

The work mainly calls for experience with and an understanding of industrial and agricultural machinery and equipment as well as an ability to cope with machine-paced operations and to adapt to technological innovations.",31.915344,0.077865653,,,31.915344,0.090362467,,,icon_80_svg
81,Stationary Plant and Machine Operators,"Stationary plant and machine operators monitor and operate stationary industrial plant, machinery and equipment, or for which mobility is not an integral part of operation. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.

The work mainly calls for experience with and an understanding of the industrial plant, machinery or equipment being operated and monitored. Ability to cope with machine-paced operations and to adapt to innovations in machinery and  equipment is often required.",32.248119,1.6318759,34.506386,1.7434138,31.987118,1.6801986,31.824215,0.34476453,icon_81_svg
82,Assemblers,"Assemblers assemble prefabricated parts or components to form subassemblies, products and equipment, according to procedures strictly laid down. The products worked on may be moved from one worker to the next along assembly lines. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",37.167519,0.39204457,38.652641,0.21014361,36.997269,0.4176406,39.809467,0.2861256,icon_82_svg
83,Drivers and Mobile Plant Operators,"Drivers and mobile plant operators drive and tend trains and motor vehicles, or drive, operate and monitor industrial and agricultural machinery and equipment, or execute deck duties on board ship and other water-borne craft. Competent performance in most occupations in this sub-major group requires skills at the second ISCO skill level.",43.740513,4.0838857,42.243458,0.71675122,43.748741,4.6092658,45.445541,1.0339338,icon_83_svg
90,Elementary Occupations,Elementary occupations involve the performance of simple and routine tasks which may require the use of hand-held tools and considerable physical effort. Most occupations in this major group require skills at the first ISCO skill level.,28.723318,0.18474078,,,28.723318,0.2143902,,,icon_90_svg
91,Cleaners and Helpers,"Cleaners and helpers perform various tasks in private households, hotels, offices, hospitals and other establishments, as well as in aircraft, trains coaches, trams and similar vehicles, in order to keep the interiors and fixtures clean, and launder and press garments and textiles by hand. Most occupations in this sub-major group require skills at the first ISCO skill level.",21.48822,2.8195233,22.424795,2.5643663,21.467333,2.9275022,17.616249,1.148721,icon_91_svg
92,"Agricultural, Forestry and Fishery Labourers","Agricultural, forestry and fishery labourers perform simple and routine tasks in the production of crops and livestock, cultivation and maintenance of gardens and parks, exploitation and conservation of forests, and conduct of aquaculture and fisheries operations. Most occupations in this sub-major group require skills at the first ISCO skill level.",27.544674,5.923902,25.757998,1.5805354,27.644186,6.0226755,27.128981,14.216709,icon_92_svg
93,"Labourers in Mining, Construction, Manufacturing and Transport","Labourers in mining, construction, manufacturing and transport perform simple and routine manual tasks in mining, quarrying, civil engineering, building, manufacturing, transport and storage operations, and operate human-powered and animal-drawn vehicles and machinery. Most occupations in this sub-major group require skills at the first ISCO skill level.",21.885023,7.499794,15.067061,4.8851323,22.351404,8.0267801,22.085943,2.6178012,icon_93_svg
94,Food Preparation Assistants,"Food preparation assistants prepare and cook to order a small variety of pre-cooked food or beverages, clear tables, clean kitchen areas and wash dishes. Most occupations in this sub-major group require skills at the first ISCO skill level.",33.670918,0.81632191,33.044193,2.7774858,34.472206,0.57655668,28.981947,1.1937773,icon_94_svg
95,Street and Related Sales and Service Workers,"Street and related sales and service workers sell goods (excluding food) for immediate consumptions, and provide a variety of services on streets and in other public places such as stations. Most occupations in this sub-major group require skills at the first ISCO skill level.",59.412006,0.77377754,,,55.512966,0.7978853,90.497856,2.1136384,icon_95_svg
96,Refuse Workers and Other Elementary Workers,"Refuse workers and other elementary workers collect, process and recycle garbage from buildings, yards, streets and other public places. They keep streets and other public places clean and tidy, deliver and carry messages and packages and perform odd jobs for private households or establishments. Most occupations in this sub-major group require skills at the first ISCO skill level.",32.740528,0.9644109,40.7813,0.18824814,33.345753,0.7271772,31.091373,7.8295193,icon_96_svg
