language_code,language_name,n_speakers,speaker_percent,speaker_percent_100,url_count,url_percent,url_percent_100,dominant_incgroup
eu,Basque,1000000,0.01267280715,1.267280715,846361,0.0365,3.65,High income
fo,Faroese,49000,0.000621,0.0621,124758,0.0054,0.54,High income
fa,Persian,82000000,1.039170186,103.9170186,4526464,0.1949,19.5,Multiple
fj,Fijian,370000,0.004688938645,0.4688938645,3252,0.0001,0.01,Upper middle income
fi,Finnish,5200000,0.06589859717,6.589859717,8411336,0.3632,36.3,High income
fr,French,203194940,2.575050288,257.5050288,108240192,4.6724,467,Multiple
fy,Frisian,740000,0.009377877289,0.9377877289,55232,0.0024,0.24,High income
gd,Scots Gaelic,72000,0.000912,0.0912,43283,0.0019,0.19,High income
ga,Irish,1100000,0.01394008786,1.394008786,143646,0.0062,0.62,High income
gl,Galician,3500000,0.04435482502,4.435482502,833121,0.0359,3.59,High income
gv,Manx,1700,0.0000215,0.00215,17347,0.0007,0.07,High income
gn,Guarani,5852000,0.07416126743,7.416126743,20956,0.0009,0.09,Upper middle income
gu,Gujarati,60000000,0.7603684289,76.03684289,290874,0.0125,1.25,Lower middle income
ht,Haitian Creole,9000000,0.1140552643,11.40552643,51710,0.0022,0.22,Lower middle income
ha,Hausa,28250000,0.3580068019,35.80068019,91260,0.0039,0.39,Lower middle income
haw,Hawaiian,30000,0.00038,0.038,18090,0.0008,0.08,High income
he,Hebrew,8700000,0.1102534222,11.02534222,5898370,0.2544,25.4,High income
hi,Hindi,544000000,6.894007088,689.4007088,5203685,0.2238,22.4,Lower middle income
hmn,Hmong,7700000,0.09758061504,9.758061504,14752,0.0006,0.06,Upper middle income
hr,Croatian,4660000,0.05905528131,5.905528131,5023746,0.2164,21.6,Multiple
hu,Hungarian,11800000,0.1495391243,14.95391243,11923468,0.5139,51.4,High income
hy,Armenian,3000000,0.03801842144,3.801842144,743528,0.032,3.2,Upper middle income
ig,Igbo,28000000,0.3548386001,35.48386001,45052,0.0019,0.19,Lower middle income
iu,Inuktitut,45000,0.00057,0.057,8473,0.0004,0.04,High income
id,Indonesian,171000000,2.167050022,216.7050022,26656033,1.1485,115,Upper middle income
ik,Inupiaq,8000,0.000101,0.0101,2093,0.0001,0.01,High income
is,Icelandic,350000,0.004435482502,0.4435482502,821620,0.0354,3.54,High income
it,Italian,65250820,0.8269110581,82.69110581,55912941,2.4109,241,High income
jv,Javanese,91000000,1.15322545,115.322545,104119,0.0045,0.45,Upper middle income
ja,Japanese,119000000,1.508064051,150.8064051,134116106,5.7733,577,High income
kl,Kalaallisut,48000,0.000608,0.0608,23139,0.001,0.1,High income
kn,Kannada,49000000,0.6209675502,62.09675502,453333,0.0195,1.95,Lower middle income
ks,Kashmiri,5400000,0.0684331586,6.84331586,93,0,0,Lower middle income
ka,Georgian,3400000,0.0430875443,4.30875443,1018374,0.0438,4.38,Upper middle income
kk,Kazakh,13200000,0.1672810543,16.72810543,871147,0.0376,3.76,Upper middle income
kha,Khasi,1100000,0.01394008786,1.394008786,7549,0.0003,0.03,Lower middle income
km,Khmer,15000000,0.1900921072,19.00921072,260510,0.0112,1.12,Lower middle income
rw,Kinyarwanda,9800000,0.12419351,12.419351,59458,0.0026,0.26,Low income
ky,Kyrgyz,2900000,0.03675114073,3.675114073,245994,0.0106,1.06,Lower middle income
ko,Korean,75000000,0.9504605361,95.04605361,18407805,0.7923,79.2,Multiple
ku,Kurmanji Kurdish,11500000,0.1457372822,14.57372822,150754,0.0065,0.65,Upper middle income
lo,Lao,5100000,0.06463131645,6.463131645,122074,0.0053,0.53,Lower middle income
lv,Latvian,1100000,0.01394008786,1.394008786,2085159,0.09,9,High income
lif,Limbu,330000,0.004182026359,0.4182026359,112,0,0,Lower middle income
ln,Lingala,3420000,0.04334100044,4.334100044,12632,0.0005,0.05,Multiple
lt,Lithuanian,2300000,0.02914745644,2.914745644,4053114,0.1749,17.5,High income
lb,Luxembourgish,420000,0.005322579002,0.5322579002,89532,0.0039,0.39,High income
lg,Luganda,5600000,0.07096772003,7.096772003,10680,0.0005,0.05,Low income
ml,Malayalam,42000000,0.5322579002,53.22579002,663436,0.0285,2.85,Lower middle income
mr,Marathi,93000000,1.178571065,117.8571065,755703,0.0326,3.26,Lower middle income
mfe,Morisyen,1200000,0.01520736858,1.520736858,4282,0.0002,0.02,Upper middle income
mk,Macedonian,1400000,0.01774193001,1.774193001,840939,0.0362,3.62,Upper middle income
mg,Malagasy,24000000,0.3041473715,30.41473715,86914,0.0037,0.37,Low income
mt,Maltese,460000,0.005829491288,0.5829491288,71331,0.0031,0.31,High income
mn,Mongolian,6500000,0.08237324646,8.237324646,387667,0.0167,1.67,Upper middle income
mi,Maori,140000,0.001774193001,0.1774193001,33758,0.0015,0.15,High income
ms,Malay,34400000,0.4359445659,43.59445659,1930428,0.0831,8.31,Upper middle income
my,Myanmar (Burmese),36000000,0.4562210573,45.62210573,430906,0.0185,1.85,Lower middle income
na,Nauru,6900,0.0000874,0.00874,696,0,0,High income
ne,Nepali,20400000,0.2585252658,25.85252658,1334670,0.0574,5.74,Lower middle income
nl,Dutch,24085200,0.3052270947,30.52270947,41503505,1.7923,179,High income
nn,Norwegian Nynorsk,1400000,0.01774193001,1.774193001,332410,0.0143,1.43,High income
no,Norwegian,5500000,0.06970043931,6.970043931,7397336,0.3194,31.9,High income
nso,Sepedi,5300000,0.06716587788,6.716587788,2880,0.0001,0.01,Upper middle income
ny,Chichewa,13000000,0.1647464929,16.47464929,18167,0.0008,0.08,Multiple
oc,Occitan,2000000,0.0253456143,2.53456143,82858,0.0036,0.36,High income
or,Odia (Oriya),42000000,0.5322579002,53.22579002,189604,0.0082,0.82,Lower middle income
om,Oromo,42000000,0.5322579002,53.22579002,18680,0.0008,0.08,Low income
pa,Punjabi,200000000,2.53456143,253.456143,206927,0.0089,0.89,Lower middle income
pl,Polish,37000000,0.4688938645,46.88938645,47033201,2.0273,203,High income
pt,Portuguese,225751001,2.860898899,286.0898899,56995609,2.4562,246,Multiple
ps,Pashto,53000000,0.6716587788,67.16587788,118006,0.0051,0.51,Multiple
qu,Quechua,8500000,0.1077188608,10.77188608,22459,0.001,0.1,Multiple
rm,Romansh,42000,0.000532,0.0532,35016,0.0015,0.15,High income
ro,Romanian,21100000,0.2673962308,26.73962308,12394692,0.5339,53.4,Multiple
rn,Rundi,7500000,0.09504605361,9.504605361,2934,0.0001,0.01,Low income
ru,Russian,170200000,2.156911777,215.6911777,145356043,6.2629,626,Multiple
sg,Sango,2900000,0.03675114073,3.675114073,26458,0.0011,0.11,Low income
sco,Scots,1600000,0.02027649144,2.027649144,14265,0.0006,0.06,High income
si,Sinhala,16000000,0.2027649144,20.27649144,239665,0.0103,1.03,Lower middle income
sk,Slovak,4900000,0.06209675502,6.209675502,9150779,0.3947,39.5,High income
sl,Slovenian,1800000,0.02281105287,2.281105287,3058317,0.1318,13.2,High income
sm,Samoan,200000,0.00253456143,0.253456143,16530,0.0007,0.07,Upper middle income
sn,Shona,12000000,0.1520736858,15.20736858,28502,0.0012,0.12,Lower middle income
sd,Sindhi,38400000,0.4866357945,48.66357945,50466,0.0022,0.22,Lower middle income
so,Somali,9200000,0.1165898258,11.65898258,136779,0.0059,0.59,Low income
st,Sesotho,6400000,0.08110596574,8.110596574,15966,0.0007,0.07,Multiple
es,Spanish,468360000,5.935435956,593.5435956,107110774,4.6206,462,Multiple
sq,Albanian,7500000,0.09504605361,9.504605361,1166383,0.0502,5.02,Upper middle income
sr,Serbian,7890000,0.09998844839,9.998844839,5815583,0.2505,25.1,Upper middle income
ss,Swati,2140000,0.0271198073,2.71198073,953,0,0,Upper middle income
su,Sundanese,32000000,0.4055298287,40.55298287,37945,0.0016,0.16,Upper middle income
sw,Swahili,171000000,2.167050022,216.7050022,293725,0.0126,1.26,Multiple
sv,Swedish,12226000,0.1549377402,15.49377402,15947880,0.6889,68.9,High income
syr,Syriac,190000,0.002407833358,0.2407833358,8995,0.0004,0.04,Upper middle income
ta,Tamil,81530000,1.033213967,103.3213967,1155723,0.0497,4.97,Lower middle income
tt,Tatar,2000000,0.0253456143,2.53456143,170292,0.0073,0.73,High income
te,Telugu,95000000,1.203916679,120.3916679,510583,0.022,2.2,Lower middle income
tg,Tajik,8900000,0.1127879836,11.27879836,159975,0.0069,0.69,Lower middle income
tl,Tagalog,NA,NA,#VALUE!,226677,0.0098,0.98,Lower middle income
th,Thai,55000000,0.6970043931,69.70043931,9114392,0.3928,39.3,Upper middle income
ti,Tigrinya,10100000,0.1279953522,12.79953522,19300,0.0008,0.08,Low income
to,Tonga,100000,0.001267280715,0.1267280715,3965,0.0002,0.02,Upper middle income
tn,Tswana,6000000,0.07603684289,7.603684289,9641,0.0004,0.04,Multiple
ts,Tsonga,2500000,0.03168201787,3.168201787,2328,0.0001,0.01,Multiple
tk,Turkmen,3900000,0.04942394788,4.942394788,82817,0.0036,0.36,Upper middle income
tr,Turkish,76290000,0.9668084573,96.68084573,27832031,1.199,120,Upper middle income
ug,Uyghur,7700000,0.09758061504,9.758061504,47184,0.002,0.2,Upper middle income
uk,Ukrainian,29000000,0.3675114073,36.75114073,15955156,0.6956,69.6,Upper middle income
ur,Urdu,288000000,3.649768458,364.9768458,741643,0.0319,3.19,Lower middle income
uz,Uzbek,26000000,0.3294929858,32.94929858,586580,0.0253,2.53,Lower middle income
ve,Venda,1300000,0.01647464929,1.647464929,624,0,0,Multiple
vi,Vietnamese,85000000,1.077188608,107.7188608,25428571,1.0981,110,Lower middle income
war,Waray,3200000,0.04055298287,4.055298287,39478,0.0017,0.17,Lower middle income
wo,Wolof,11000000,0.1394008786,13.94008786,7208,0.0003,0.03,Lower middle income
xh,Xhosa,10000000,0.1267280715,12.67280715,22373,0.001,0.1,Multiple
yi,Yiddish,160000,0.002027649144,0.2027649144,55313,0.0024,0.24,High income
yo,Yoruba,28000000,0.3548386001,35.48386001,36561,0.0016,0.16,Lower middle income
za,Zhuang,16000000,0.2027649144,20.27649144,2374,0.0001,0.01,Upper middle income
zh,Chinese,1288700000,16.33144657,1633.144657,114487122,4.9284,493,Upper middle income
zu,Zulu,14000000,0.1774193001,17.74193001,44242,0.0019,0.19,Upper middle income
