,country,NY.GNP.PCAP.CD,variable,value,GNI_rank
127,New Zealand,48600,Female,11.46705116,155
128,Oman,20020,Female,3.587323763,128
129,Pakistan,1460,Female,73.28914789,30
130,Panama,17870,Female,33.21267527,124
131,Peru,7080,Female,54.3173214,95
132,Philippines,4320,Female,39.92671633,69
133,Papua New Guinea,2800,Female,81.862471,52
134,Poland,19940,Female,11.78233026,127
135,Puerto Rico (US),25270,Female,7.781563758,135.5
136,"Korea, Dem. People's Rep.",NA,Female,91.25810332,183
137,Portugal,26160,Female,8.633597045,138
138,Paraguay,6200,Female,38.435365,85
139,West Bank and Gaza,4720,Female,20.87745278,72
140,French Polynesia,25270,Female,12.34033149,135.5
141,Qatar,79430,Female,0.05222248291,171
142,Romania,16690,Female,19.7643369,122
143,Russian Federation,14460,Female,4.959229948,120
144,Rwanda,1000,Female,43.97097735,19
145,Saudi Arabia,36330,Female,3.775694058,149
146,Sudan,720,Female,55.50791655,10.5
147,Senegal,1630,Female,77.65301946,31
148,Singapore,69850,Female,6.417208671,168
149,Solomon Islands,2110,Female,74.19303212,40
150,Sierra Leone,870,Female,91.70779027,14.5
151,El Salvador,4950,Female,40.06477386,77.5
152,Somalia,590,Female,59.49950656,6
153,Serbia,10760,Female,21.99123806,108
154,South Sudan,NA,Female,73.43899699,184
155,Sao Tome and Principe,2580,Female,35.0244418,49.5
156,Suriname,5200,Female,18.28776286,79
157,Slovak Republic,23100,Female,7.155228085,134
158,Slovenia,30990,Female,8.357191019,142
159,Sweden,60910,Female,4.807648067,164
160,Eswatini,3750,Female,39.64281528,60
161,Syrian Arab Republic,770,Female,10.37435133,12
162,Chad,1000,Female,95.98357236,19
163,Togo,1000,Female,89.85577247,19
164,Thailand,7190,Female,50.04677377,96
165,Tajikistan,1400,Female,26.1501383,28
166,Turkmenistan,8250,Female,30.00173386,101
167,Timor-Leste,2020,Female,63.54294202,37
168,Tonga,5520,Female,35.19193794,81
169,Trinidad and Tobago,20070,Female,14.67865919,129
170,Tunisia,3850,Female,12.79810114,64
171,Turkiye,11730,Female,25.76043498,112
172,Tanzania,1220,Female,89.30174276,22
173,Uganda,970,Female,84.17292293,16.5
174,Ukraine,4060,Female,16.39356457,65
175,Uruguay,19850,Female,24.70861376,125
176,United States,80710,Female,2.971181259,172
177,Uzbekistan,2750,Female,21.98231768,51
178,St. Vincent and the Grenadines,10380,Female,18.33536383,106
179,"Venezuela, RB",NA,Female,33.75986492,185
180,Virgin Islands (U.S.),NA,Female,5.112437451,186
181,Viet Nam,4150,Female,56.20315904,66
182,Vanuatu,3830,Female,61.74040351,62
183,Samoa,4220,Female,35.95640384,67
184,"Yemen, Rep.",NA,Female,63.72849006,187
185,South Africa,6480,Female,10.64873498,88
186,Zambia,1290,Female,80.52711089,25
187,Zimbabwe,2060,Female,76.54094941,38
188,Afghanistan,370,Male,79.55890093,2
189,Angola,2130,Male,49.33075982,42.5
190,Albania,7680,Male,47.30112112,97
191,United Arab Emirates,49020,Male,0.8558235185,156
192,Argentina,12890,Male,23.8099642,116
193,Armenia,6840,Male,52.98561283,93
194,Australia,63160,Male,9.670871924,166
195,Austria,55220,Male,11.55227571,163
196,Azerbaijan,6670,Male,47.4709662,90
197,Burundi,220,Male,76.90808886,1
198,Belgium,55020,Male,13.36869091,162
199,Benin,1390,Male,81.90646752,27
200,Burkina Faso,860,Male,61.33529161,13
201,Bangladesh,2880,Male,42.57916245,53.5
202,Bulgaria,14270,Male,8.155621845,119
203,Bahrain,28460,Male,1.007824762,140
204,"Bahamas, The",35540,Male,21.53447268,148
205,Bosnia and Herzegovina,8270,Male,14.96720401,102
206,Belarus,7850,Male,5.057857647,99
207,Belize,6890,Male,27.95641551,94
208,Bolivia,3620,Male,59.43320269,57
209,Brazil,9310,Male,30.26804937,104
210,Barbados,22870,Male,26.1362623,133
211,Brunei Darussalam,34390,Male,4.159720215,145
212,Bhutan,3740,Male,62.59532548,59
213,Botswana,8360,Male,28.26058413,103
214,Central African Republic,530,Male,90.05964215,4
215,Canada,54660,Male,10.52504668,159
216,Switzerland,95750,Male,11.90228812,175
217,Channel Islands,NA,Male,13.40441568,177
218,Chile,15950,Male,21.27307188,121
219,China,13730,Male,41.65743965,117
220,Cote d'Ivoire,2500,Male,64.93781778,48
221,Cameroon,1690,Male,60.3269838,33
222,"Congo, Dem. Rep.",640,Male,77.28833855,8.5
223,"Congo, Rep.",2450,Male,60.65566768,47
224,Colombia,6720,Male,45.50978797,92
225,Comoros,1660,Male,49.22568602,32
226,Cabo Verde,4780,Male,26.7103851,73
227,Costa Rica,14260,Male,25.94460757,118
228,Cuba,NA,Male,26.26499374,178
229,Cyprus,32960,Male,9.632020758,144
230,Czechia,29130,Male,17.22631952,141
231,Germany,54960,Male,5.017346154,161
232,Djibouti,3510,Male,24.20142777,55
233,Denmark,73340,Male,6.929491107,169
234,Dominican Republic,9700,Male,44.18102281,105
235,Algeria,4950,Male,28.23644294,77.5
236,Ecuador,6590,Male,42.02275081,89
237,"Egypt, Arab Rep.",3840,Male,22.67191442,63
238,Eritrea,NA,Male,65.3999332,179
239,Spain,32940,Male,12.03420112,143
240,Estonia,27580,Male,8.302968006,139
241,Ethiopia,NA,Male,83.1823383,180
242,Finland,53120,Male,11.96369189,157
243,Fiji,5680,Male,31.57489285,82
244,France,45440,Male,8.824700683,153
245,Gabon,7750,Male,27.30415692,98
246,United Kingdom,48560,Male,14.26624767,154
247,Georgia,6710,Male,49.10133423,91
248,Ghana,2280,Male,56.89848178,44
249,Guinea,1340,Male,73.93138264,26
250,"Gambia, The",870,Male,48.05132612,14.5
251,Guinea-Bissau,970,Male,69.87931766,16.5
252,Equatorial Guinea,4840,Male,71.92261798,75
253,Greece,22320,Male,25.85720243,132
254,Guatemala,5470,Male,28.78341205,80
255,Guam,NA,Male,11.57030959,181
256,Guyana,17770,Male,25.39692078,123
257,"Hong Kong SAR, China",54910,Male,8.257184552,160
258,Honduras,2880,Male,29.41366678,53.5
259,Croatia,20590,Male,9.810258788,130
260,Haiti,1760,Male,66.90810841,34
261,Hungary,19860,Male,9.553362439,126
262,Indonesia,4810,Male,44.97846442,74
263,India,2580,Male,70.14062759,49.5
264,Ireland,78980,Male,13.47910276,170
265,"Iran, Islamic Rep.",4640,Male,39.77302324,71
266,Iraq,5920,Male,26.00943919,83
267,Iceland,80760,Male,15.82136773,173
268,Israel,54280,Male,8.915617654,158
269,Italy,38610,Male,17.18386174,150
270,Jamaica,6220,Male,36.23414873,86
271,Jordan,4450,Male,9.317579235,70
272,Japan,39360,Male,8.337138982,151
273,Kazakhstan,10690,Male,25.20401755,107
274,Kenya,2110,Male,56.37482517,40
275,Kyrgyz Republic,1840,Male,33.48773762,35
276,Cambodia,2390,Male,47.26786523,46
277,"Korea, Rep.",35490,Male,19.26657368,147
278,Kuwait,42030,Male,1.623423394,152
279,Lao PDR,2110,Male,72.4983194,40
280,Lebanon,3730,Male,24.44232451,58
281,Liberia,720,Male,65.85431985,10.5
282,Libya,5940,Male,15.38976258,84
283,St. Lucia,12440,Male,28.6199118,115
284,Sri Lanka,3530,Male,39.04815976,56
285,Lesotho,1250,Male,35.22200689,24
286,Lithuania,25280,Male,12.71159984,137
287,Luxembourg,89650,Male,6.347588986,174
288,Latvia,21400,Male,9.110730208,131
289,"Macao SAR, China",65190,Male,4.490874281,167
290,Morocco,3760,Male,39.56944211,61
291,Moldova,6250,Male,57.88656636,87
292,Madagascar,510,Male,81.44434272,3
293,Maldives,11090,Male,14.93951972,109
294,Mexico,12000,Male,24.52214087,113
295,North Macedonia,7900,Male,11.42561571,100
296,Mali,1010,Male,79.77176739,21
297,Malta,34500,Male,12.60535501,146
298,Myanmar,1230,Male,62.28749458,23
299,Montenegro,11450,Male,19.62708366,110
300,Mongolia,4870,Male,37.98232266,76
301,Mozambique,540,Male,72.38595062,5
302,Mauritania,2130,Male,44.81583545,42.5
303,Mauritius,12070,Male,18.80089657,114
304,Malawi,600,Male,54.4306198,7
305,Malaysia,11710,Male,27.9108886,111
306,Namibia,4290,Male,25.40414681,68
307,New Caledonia,NA,Male,17.84808094,182
308,Niger,640,Male,78.06625214,8.5
309,Nigeria,1880,Male,54.27752685,36
310,Nicaragua,2360,Male,32.41065486,45
311,Netherlands,62540,Male,15.22480797,165
312,Norway,103170,Male,5.11908608,176
313,Nepal,1430,Male,71.54698487,29
314,New Zealand,48600,Male,14.54642845,155
315,Oman,20020,Male,2.211895658,128
316,Pakistan,1460,Male,50.57313821,30
317,Panama,17870,Male,37.96350988,124
318,Peru,7080,Male,43.96870103,95
319,Philippines,4320,Male,30.13317276,69
320,Papua New Guinea,2800,Male,68.53150545,52
321,Poland,19940,Male,19.59767791,127
322,Puerto Rico (US),25270,Male,18.13674238,135.5
323,"Korea, Dem. People's Rep.",NA,Male,80.07556981,183
324,Portugal,26160,Male,11.14796185,138
325,Paraguay,6200,Male,34.6849573,85
326,West Bank and Gaza,4720,Male,17.86792759,72
327,French Polynesia,25270,Male,17.25710277,135.5
328,Qatar,79430,Male,0.1416036168,171
329,Romania,16690,Male,23.03710764,122
330,Russian Federation,14460,Male,5.425703551,120
331,Rwanda,1000,Male,36.87413922,19
332,Saudi Arabia,36330,Male,1.460589579,149
333,Sudan,720,Male,36.11506058,10.5
334,Senegal,1630,Male,62.87641695,31
335,Singapore,69850,Male,11.48119319,168
336,Solomon Islands,2110,Male,53.13531505,40
337,Sierra Leone,870,Male,82.27150574,14.5
338,El Salvador,4950,Male,25.48599369,77.5
339,Somalia,590,Male,39.31074063,6
340,Serbia,10760,Male,25.37062009,108
341,South Sudan,NA,Male,69.43991545,184
342,Sao Tome and Principe,2580,Male,33.32253046,49.5
343,Suriname,5200,Male,21.18673198,79
344,Slovak Republic,23100,Male,16.96171142,134
345,Slovenia,30990,Male,12.50788854,142
346,Sweden,60910,Male,9.508640688,164
347,Eswatini,3750,Male,26.41238648,60
348,Syrian Arab Republic,770,Male,37.45285144,12
349,Chad,1000,Male,85.82692558,19
350,Togo,1000,Male,71.97727382,19
351,Thailand,7190,Male,49.44386272,96
352,Tajikistan,1400,Male,21.448694,28
353,Turkmenistan,8250,Male,26.97624548,101
354,Timor-Leste,2020,Male,51.35430176,37
355,Tonga,5520,Male,38.41763943,81
356,Trinidad and Tobago,20070,Male,26.67142474,129
357,Tunisia,3850,Male,21.26643796,64
358,Turkiye,11730,Male,23.06185444,112
359,Tanzania,1220,Male,78.76830667,22
360,Uganda,970,Male,65.95984171,16.5
361,Ukraine,4060,Male,19.27380176,65
362,Uruguay,19850,Male,26.5460518,125
363,United States,80710,Male,4.234847841,172
364,Uzbekistan,2750,Male,39.88655401,51
365,St. Vincent and the Grenadines,10380,Male,21.54876654,106
366,"Venezuela, RB",NA,Male,41.87784378,185
367,Virgin Islands (U.S.),NA,Male,9.933131394,186
368,Viet Nam,4150,Male,46.3782656,66
369,Vanuatu,3830,Male,53.9206001,62
370,Samoa,4220,Male,44.88517745,67
371,"Yemen, Rep.",NA,Male,45.78396844,187
372,South Africa,6480,Male,11.12357086,88
373,Zambia,1290,Male,62.15311589,25
374,Zimbabwe,2060,Male,60.81330357,38
