,code,sex,laborforce,unemployed,SL.EMP.VULN.ZS,SL.EMP.WORK.ZS,SL.EMP.MPYR.ZS,employed,vulnerable,waged,employer,total,not_in_laborforce
41,BHS,FE,75.675,8.206,8.154160905,90.9611851,0.8846539999,67.469,5.501530821,61.37060197,0.5968672072,75.675,24.325
42,BHS,MA,85.633,9.06,21.53447268,77.66122553,0.8052147239,76.573,16.48959177,59.46753023,0.6165770706,85.63369907,14.367
43,BIH,FE,52.058,12.785,24.16498481,73.58709124,2.24772628,39.273,9.490314484,28.89985834,0.8827495419,52.05792237,47.942
44,BIH,MA,73.345,9.106,14.96720401,79.92188298,5.110913012,64.239,9.614782182,51.34101841,3.28319941,73.345,26.655
45,BLR,FE,76.059,2.773,2.938813668,96.7003068,0.3608361294,73.286,2.153738984,70.86778684,0.2644423658,76.05896819,23.941
46,BLR,MA,82.762,4.125,5.057857647,94.25091966,0.6911801838,78.637,3.977347518,74.11609569,0.5435233611,82.76196657,17.238
47,BLZ,FE,51.864,12.695,34.75834983,62.21186665,3.02978352,39.169,13.61449804,24.36776605,1.186735907,51.864,48.136
48,BLZ,MA,77.981,5.386,27.95641551,65.00042124,7.043163245,72.595,20.29495984,47.1870558,5.112984358,77.981,22.019
49,BMU,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,BMU,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,BOL,FE,74.038,3.435,69.61965813,28.56025866,1.820083212,70.603,49.15356723,20.16439942,1.28503335,74.038,25.962
52,BOL,MA,86.462,2.673,59.43320269,35.91370984,4.653087473,83.789,49.7984862,30.09173834,3.898775463,86.462,13.538
53,BRA,FE,60.765,9.698,22.59808195,74.41097356,2.990944488,51.067,11.54016251,37.99945187,1.527385622,60.765,39.235
54,BRA,MA,79.956,6.609,30.26804937,64.60358399,5.128364863,73.347,22.20070617,47.38479075,3.761501776,79.9559987,20.044
55,BRB,FE,74.124,6.868,13.98154616,85.69391082,0.3245430201,67.256,9.403428688,57.63429666,0.2182746536,74.124,25.876
56,BRB,MA,77.724,8.888,26.1362623,73.24544455,0.6182931542,68.836,17.99115752,50.41923421,0.4256082756,77.724,22.276
57,BRN,FE,58.555,5.942,5.299408953,93.11229896,1.588292086,52.613,2.788178032,48.98917385,0.835648115,58.555,41.445
58,BRN,MA,77.377,4.699,4.159720215,91.89914123,3.941879506,72.678,3.023201458,66.79045787,2.864879187,77.37753851,22.623
59,BTN,FE,59.422,4.243,81.75648521,17.78394285,0.4595719305,55.179,45.11241098,9.813001828,0.2535871955,59.422,40.578
60,BTN,MA,74.738,2.377,62.59532548,36.8645856,0.5400889207,72.361,45.29460347,26.67558278,0.3908137439,74.738,25.262
61,BWA,FE,66.374,27.069,29.43782256,69.26850216,1.293930897,39.305,11.57053616,27.22598478,0.5085795389,66.37410047,33.626
62,BWA,MA,74.889,20.139,28.26058413,68.64377918,3.095636689,54.75,15.47266981,37.5824691,1.694861087,74.889,25.111
63,CAF,FE,66.413,6.585,96.79979423,2.414096475,0.7861092996,59.828,57.91338089,1.444305639,0.4703134718,66.413,33.587
64,CAF,MA,82.437,5.203,90.05964215,8.322537891,1.617819962,77.234,69.55666402,6.427828915,1.249507069,82.437,17.563
65,CAN,FE,77.182,5.259,8.232005939,89.73453847,2.033455591,71.923,5.920705631,64.5397721,1.462522265,77.182,22.818
66,CAN,MA,83.371,5.556,10.52504668,84.24627047,5.228682843,77.815,8.190065076,65.55623537,4.068699554,83.371,16.629
67,CHE,FE,80.19,4.283,11.36582801,85.70702427,2.927191659,75.907,8.627459065,65.05763091,2.221943373,80.19003335,19.81
68,CHE,MA,87.715,3.832,11.90228812,81.36692229,6.730789589,83.883,9.983996346,68.25301542,5.645988231,87.715,12.285
69,CHI,FE,65.538,6.438,7.7253337,89.83899821,2.435668089,59.1,4.565672217,53.09484794,1.43947984,65.538,34.462
70,CHI,MA,79.31,5.983,13.40441568,80.40654371,6.191257315,73.327,9.829055883,58.95970631,4.539863251,79.31162544,20.69
71,CHL,FE,60.577,9.359,21.79063706,76.50199618,1.707366763,51.218,11.16072849,39.1827924,0.8744791087,60.577,39.423
72,CHL,MA,78.341,8.755,21.27307188,74.5050973,4.221830817,69.586,14.8030798,51.84511701,2.937803193,78.341,21.659
73,CHN,FE,69.94,4.057,40.80863271,56.35324789,2.838119688,65.883,26.88595149,37.12721031,1.869838394,69.94000019,30.06
74,CHN,MA,79.805,5.173,41.65743965,53.31687148,5.025688627,74.632,31.08978036,39.79144752,3.750771936,79.80499982,20.195
75,CIV,FE,60.235,2.528,83.44382982,15.79039083,0.7657793487,57.707,48.15293087,9.112160837,0.4419082887,60.235,39.765
76,CIV,MA,75.077,2.074,64.93781778,33.04876906,2.013413159,73.003,47.40655511,24.12659288,1.469852008,75.077,24.923
77,CMR,FE,57.679,4.178,77.57813284,21.53123816,0.8906290007,53.501,41.50507685,11.51942773,0.4764954217,57.679,42.321
78,CMR,MA,74.811,3.169,60.3269838,37.49831808,2.174698118,71.642,43.21945773,26.86454504,1.557997226,74.811,25.189
79,COD,FE,63.198,3.62,88.20217472,8.609962482,3.187862801,59.578,52.54909165,5.129643448,1.899264899,63.198,36.802
80,COD,MA,68.697,5.295,77.28833855,18.55523265,4.156428793,63.402,49.00235241,11.76438861,2.635258984,68.697,31.303
81,COG,FE,67.288,21.218,89.37963871,10.06629077,0.5540705194,46.07,41.17719956,4.637540156,0.2552602883,67.288,32.712
82,COG,MA,70.482,18.627,60.65566768,37.7360359,1.608296425,51.855,31.45299647,19.56802141,0.8339821113,70.482,29.518
83,COL,FE,57.531,11.882,41.28277153,56.88861685,1.828611619,45.649,18.84517238,25.96908471,0.8347429177,57.531,42.469
84,COL,MA,80.862,7.968,45.50978797,51.03616931,3.454035705,72.894,33.17390484,37.20230525,2.517784787,80.86199488,19.138
85,COM,FE,42.994,4.427,67.69964813,31.6941406,0.6062112751,38.567,26.10972329,12.2234792,0.2337975025,42.994,57.006
86,COM,MA,61.393,3.329,49.22568602,49.88715374,0.8871602417,58.064,28.58240233,28.96647695,0.5151207227,61.393,38.607
87,CPV,FE,55.913,11.376,43.9333703,53.62464166,2.441988038,44.537,19.56660513,23.88280666,1.087588212,55.913,44.087
88,CPV,MA,68.289,12.424,26.7103851,67.55043385,5.739181053,55.865,14.92175664,37.73704987,3.206193495,68.289,31.711
89,CRI,FE,50.879,10.21,21.34944346,76.69498612,1.955570422,40.669,8.68260516,31.19108391,0.7953109349,50.879,49.121
90,CRI,MA,77.134,7.092,25.94460757,70.74203952,3.313352908,70.042,18.17212203,49.54913932,2.320738644,77.134,22.866
91,CUB,FE,49.83,1.853,17.54615191,79.3933124,3.060535686,47.977,8.418117304,38.09052949,1.468353206,49.83,50.17
92,CUB,MA,77.496,1.635,26.26499374,66.72912963,7.005876627,75.861,19.9248869,50.62138503,5.314728068,77.496,22.504
93,CUW,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,CUW,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,CYM,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,CYM,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,CYP,FE,75.213,6.172,7.596433411,91.28938664,1.114483127,69.041,5.244653592,63.02710543,0.7694502954,75.21320932,24.787
98,CYP,MA,84.129,6.035,9.632020758,87.95811518,2.410120455,78.094,7.522030291,68.69001047,1.882159468,84.12920023,15.871
99,CZE,FE,71.129,3.039,10.25399287,88.35369779,1.392309339,68.09,6.981943745,60.16003283,0.9480234288,71.129,28.871
100,CZE,MA,83.198,2.203,17.22631952,79.58601844,3.187695766,80.995,13.95245749,64.46069564,2.581874185,83.19802732,16.802
101,DEU,FE,75.872,2.836,4.229007235,93.58698729,2.184000507,73.036,3.088697724,68.35219204,1.59510661,75.87199637,24.128
102,DEU,MA,83.726,3.27,5.017346154,89.43518933,5.547460167,80.456,4.036756022,71.95597593,4.463264552,83.7259965,16.274
103,DJI,FE,19.611,35.917,48.04413849,37.9084835,14.04535331,-16.306,-7.834077222,-6.181357319,-2.290235311,19.61133015,80.389
104,DJI,MA,47.795,22.048,24.20142777,53.25657895,22.54199328,25.747,6.231141608,13.71197138,5.80388701,47.795,52.205
105,DMA,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,DMA,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,DNK,FE,78.403,5.274,4.434500784,94.17271302,1.392716501,73.129,3.242906078,68.8675633,1.01847965,78.40294903,21.597
108,DNK,MA,83.063,4.931,6.929491107,89.24709247,3.823479195,78.132,5.414149991,69.73053829,2.987360765,83.06304904,16.937
109,DOM,FE,57.507,8.442,29.53473846,68.44935441,2.015956664,49.065,14.49121943,33.58467574,0.9891291373,57.5070243,42.493
110,DOM,MA,79.946,3.514,44.18102281,50.37834942,5.440627772,76.432,33.76843935,38.50518003,4.158380619,79.946,20.054
111,DZA,FE,15.606,21.144,23.18045147,74.92145618,1.898092356,-5.538,-1.283733402,-4.149150243,-0.1051163547,15.606,84.394
112,DZA,MA,72.804,9.79,28.23644294,66.66503781,5.098519242,63.014,17.79291216,42.00830693,3.212780915,72.804,27.196
113,ECU,FE,55.662,4.349,57.86203389,40.54132846,1.596637649,51.313,29.69074545,20.80297187,0.8192826768,55.662,44.338
114,ECU,MA,80.093,2.923,42.02275081,55.17777784,2.799471342,77.17,32.4289568,42.58069116,2.160352035,80.093,19.907
115,EGY,FE,16.486,18.234,26.67298829,72.1303105,1.196701208,-1.748,-0.4662438353,-1.260837828,-0.02091833711,16.486,83.514
116,EGY,MA,73.652,4.972,22.67191442,74.24448029,3.083605293,68.68,15.57107082,50.99110906,2.117820116,73.652,26.348
117,ERI,FE,75.52,6.295,83.5826692,14.97107488,1.446255917,69.225,57.86010275,10.36372659,1.001170658,75.52,24.48
118,ERI,MA,85.759,4.943,65.3999332,31.4972792,3.102787601,80.816,52.85361002,25.45484116,2.507548828,85.759,14.241
119,ESP,FE,70.531,13.882,8.383388128,88.28669334,3.329918529,56.649,4.74910554,50.01352891,1.886365548,70.531,29.469
120,ESP,MA,78.587,10.672,12.03420112,81.88248699,6.083303087,67.915,8.17302769,55.61049104,4.131475292,78.58699402,21.413
121,EST,FE,80.904,6.638,5.29469813,92.51708291,2.188505826,74.266,3.932160513,68.70873679,1.625315737,80.90421304,19.096
122,EST,MA,81.756,6.123,8.302968006,85.35210242,6.345209654,75.633,6.279783792,64.55435562,4.799072417,81.75621183,18.244
123,ETH,FE,59.12,4.697,87.40325811,12.49062346,0.106123085,54.423,47.56747516,6.797772003,0.05775536657,59.12000253,40.88
124,ETH,MA,79.248,2.436,83.1823383,16.66291266,0.1547456523,76.812,63.8940177,12.79911648,0.1188632304,79.2479974,20.752
125,FIN,FE,79.251,6.413,7.486469889,91.08350526,1.430101517,72.838,5.452994938,66.34340356,1.041657343,79.25105584,20.749
126,FIN,MA,80.14,7.846,11.96369189,82.72075934,5.315548769,72.294,8.649031413,59.80214576,3.842822827,80.14,19.86
127,FJI,FE,41.253,5.532,27.49879324,71.12711183,1.374094932,35.721,9.822843934,25.40731562,0.4908404505,41.253,58.747
128,FJI,MA,79.561,3.694,31.57489285,67.30521795,1.119889199,75.867,23.95492396,51.06244971,0.8496263389,79.561,20.439
129,FRA,FE,70.904,7.205,7.295040055,89.78447469,2.92048526,63.699,4.646867564,57.19181253,1.860319906,70.904,29.096
130,FRA,MA,76.531,7.457,8.824700683,84.52253588,6.652770086,69.074,6.09557375,58.38309643,4.59533441,76.53100459,23.469
131,FRO,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,FRO,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,FSM,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,FSM,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,GAB,FE,43.616,28.881,38.2282724,60.05473091,1.717433147,14.735,5.632935938,8.849064599,0.2530637742,43.61606431,56.384
136,GAB,MA,62.422,14.566,27.30415692,69.51796183,3.177881252,47.856,13.06667733,33.26851581,1.520806852,62.422,37.578
137,GBR,FE,73.415,3.658,9.223148764,89.79723603,0.9796152048,69.757,6.433791884,62.63985794,0.6833501784,73.415,26.585
138,GBR,MA,80.681,4.279,14.26624767,83.6480683,2.085684035,76.402,10.89969854,63.90879714,1.593504316,80.681,19.319
139,GEO,FE,61.248,10.148,43.84393355,54.85461121,1.30145524,51.1,22.40425004,28.03070633,0.6650436277,61.248,38.752
140,GEO,MA,77.206,12.806,49.10133423,47.87935244,3.01931333,64.4,31.62125924,30.83430297,1.944437784,77.206,22.794
141,GHA,FE,63.629,3.403,79.29212528,17.7133637,2.994511021,60.226,47.75447537,10.66805042,1.803474207,63.629,36.371
142,GHA,MA,66.085,2.734,56.89848178,39.49643137,3.605101631,63.351,36.04575719,25.02138424,2.283867934,66.08500937,33.915
143,GIB,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,GIB,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,GIN,FE,43.421,5.294,86.65082698,10.38185175,2.967378877,38.127,33.0373608,3.958288615,1.131372544,43.42102196,56.579
146,GIN,MA,63.318,5.209,73.93138264,23.58455336,2.484063996,58.109,42.96078714,13.70474811,1.443464748,63.318,36.682
147,GMB,FE,46.568,5.776,81.15480765,17.25788158,1.587600111,40.792,33.10466914,7.039835054,0.6476138373,46.56811803,53.432
148,GMB,MA,50.864,7.134,48.05132612,43.53032608,8.4183478,43.73,21.01284491,19.0358116,3.681343493,50.864,49.136
149,GNB,FE,56.062,1.816,86.87540567,12.94864849,0.1762140531,54.246,47.12643256,7.024123859,0.09558907527,56.06214549,43.938
150,GNB,MA,69.304,3.367,69.87931766,29.3114476,0.8090004522,65.937,46.07632568,19.32708921,0.5334306282,69.30384552,30.696
151,GNQ,FE,54.78,9.376,88.73153,6.588223261,4.680246739,45.404,40.28766388,2.991316889,2.125019229,54.78,45.22
152,GNQ,MA,68.391,7.692,71.92261798,16.71778704,11.35959497,60.699,43.65630989,10.14752956,6.895160552,68.391,31.609
153,GRC,FE,61.943,14.289,20.79261657,75.00968355,4.197756591,47.654,9.908513499,35.7451146,2.000398926,61.94302703,38.057
154,GRC,MA,76.694,8.446,25.85720243,64.50887056,9.633883834,68.248,17.64702352,44.02601398,6.574933039,76.69397054,23.306
155,GRD,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,GRD,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,GRL,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,GRL,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,GTM,FE,42.068,3.011,51.84086011,45.94119101,2.21794888,39.057,20.24748473,17.94325097,0.866264294,42.068,57.932
160,GTM,MA,82.568,1.997,28.78341205,67.92438965,3.292177365,80.571,23.19108292,54.72735998,2.652540225,82.56798313,17.432
161,GUM,FE,65.736,5.076,6.073752711,92.43225077,1.493996517,60.66,3.684338395,56.06940332,0.9062582873,65.736,34.264
162,GUM,MA,74.349,5.595,11.57030959,84.56794728,3.861743131,68.754,7.955050653,58.14384648,2.655102872,74.349,25.651
163,GUY,FE,43.712,13.464,27.36459784,69.16331063,3.472091535,30.248,8.277243555,20.9205182,1.050238248,43.712,56.288
164,GUY,MA,63.647,10.975,25.39692078,67.29492983,7.308149394,52.672,13.37706611,35.44558544,3.849348449,63.647,36.353
165,HKG,FE,65.733,2.421,4.207624749,94.75971052,1.032664727,63.312,2.663931381,59.99426793,0.6538006918,65.733,34.267
166,HKG,MA,78.909,3.493,8.257184552,88.17118187,3.571578383,75.416,6.227238302,66.49517852,2.693541553,78.90895838,21.091
167,HND,FE,41.501,8.833,48.56547586,44.77298395,6.661540186,32.668,15.86536966,14.6264384,2.176191948,41.501,58.499
168,HND,MA,76.916,4.608,29.41366678,59.19013509,11.39619814,72.308,21.26843417,42.79920288,8.240362948,76.916,23.084
169,HRV,FE,66.371,6.622,5.860926637,90.87720482,3.261868539,59.749,3.501845056,54.29822111,1.948933833,66.371,33.629
170,HRV,MA,73.36,5.607,9.810258788,82.5583157,7.631195971,67.753,6.646744637,55.93573563,5.170364206,73.35984448,26.64
171,HTI,FE,62.055,17.724,84.21547606,15.42400096,0.3605229827,44.331,37.33356269,6.837613864,0.1598234435,62.055,37.945
172,HTI,MA,71.211,11.76,66.90810841,32.08490884,1.006941724,59.451,39.77753953,19.07479915,0.5986369242,71.21097561,28.789
173,HUN,FE,73.592,4.148,7.047287414,90.63234606,2.320366527,69.444,4.893918272,62.9387264,1.611355331,73.592,26.408
174,HUN,MA,82.502,4.07,9.553362439,85.12863198,5.318005584,78.432,7.492893228,66.76808863,4.171018139,82.502,17.498
175,IDN,FE,54.665,3.082,59.42031111,38.75361832,1.826070577,51.583,30.65077908,19.99027894,0.9419419856,54.665,45.335
176,IDN,MA,83.155,3.454,44.97846442,50.64024214,4.381293439,79.701,35.84828593,40.36077939,3.491934684,83.155,16.845
177,IMN,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,IMN,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,IND,FE,33.525,4.057,79.56758121,19.92876793,0.5036514964,29.468,23.44697483,5.872609333,0.148416023,33.52500019,66.475
180,IND,MA,80.621,4.216,70.14062759,25.39348612,4.465886292,76.405,53.59094651,19.40189307,3.412160422,80.621,19.379
181,IRL,FE,72.776,4.211,5.889650452,92.07965706,2.030692487,68.565,4.038238832,63.13441686,1.392344304,72.776,27.224
182,IRL,MA,81.746,4.356,13.47910276,81.10557207,5.415396938,77.39,10.43147763,62.76760223,4.19097569,81.74605554,18.254
183,IRN,FE,15.041,15.793,36.10953699,62.65563866,1.234824352,-0.752,-0.2715437182,-0.4711704027,-0.009285879127,15.041,84.959
184,IRN,MA,72.381,7.703,39.77302324,56.55510776,3.67187358,64.678,25.72439597,36.5787126,2.374894394,72.38100296,27.619
185,IRQ,FE,11.494,29.85,36.15299048,63.4327565,0.414253016,-18.356,-6.636242933,-11.64371678,-0.07604028361,11.494,88.506
186,IRQ,MA,74.511,13.234,26.00943919,69.01983072,4.970730092,61.277,15.93780405,42.29328167,3.045914279,74.511,25.489
187,ISL,FE,83.857,3.103,8.412125109,90.77285277,0.8150221247,80.754,6.79312751,73.30270952,0.6581629666,83.857,16.143
188,ISL,MA,89.372,3.872,15.82136773,82.49290176,1.686541738,85.5,13.52726941,70.53143101,1.441993186,89.3726936,10.628
189,ISR,FE,72.109,3.485,6.951806903,91.44343015,1.604713724,68.624,4.770607969,62.75213951,1.101218746,72.10896622,27.891
190,ISR,MA,75.156,3.701,8.915617654,85.36184135,5.722587224,71.455,6.370654594,60.99530373,4.089074701,75.15603303,24.844
191,ITA,FE,57.61,8.763,12.35556487,83.88977442,3.754650858,48.847,6.03532277,40.97763811,1.834034305,57.60999519,42.39
192,ITA,MA,75.706,6.78,17.18386174,74.79488063,8.021257626,68.926,11.84414855,51.55311942,5.528732031,75.706,24.294
193,JAM,FE,66.049,5.696,29.19578266,67.91945213,2.884616811,60.353,17.62053071,40.99142695,1.740952784,66.04891044,33.951
194,JAM,MA,77.844,3.303,36.23414873,58.4246395,5.341211769,74.541,27.00929681,43.55031053,3.981392664,77.844,22.156
195,JOR,FE,14.978,26.565,3.224678663,95.12879177,1.646529563,-11.587,-0.3736435167,-11.0225731,-0.1907833805,14.978,85.022
196,JOR,MA,64.724,16.149,9.317579235,87.02898679,3.65343398,48.575,4.526014113,42.27433033,1.774655556,64.724,35.276
197,JPN,FE,75.495,2.322,7.320560128,91.98918293,0.6902602391,73.173,5.356673462,67.31124483,0.5050841247,75.49500241,24.505
198,JPN,MA,87.351,2.827,8.337138982,89.27396554,2.388892773,84.524,7.046883353,75.45792663,2.019187728,87.35099771,12.649
199,KAZ,FE,76.716,5.45,23.27307621,76.04741791,0.6794846826,71.266,16.58579049,54.19595285,0.4842415539,76.7159849,23.284
200,KAZ,MA,82.983,4.221,25.20401755,73.25710264,1.538879811,78.762,19.8511883,57.69875918,1.212052517,82.983,17.017
201,KEN,FE,63.046,7.55,73.55546167,25.61393886,0.8306093557,55.496,40.82033901,14.21471151,0.460954968,63.04600548,36.954
202,KEN,MA,71.933,3.795,56.37482517,42.60586961,1.019305223,68.138,38.41267837,29.03078743,0.6945341926,71.933,28.067
203,KGZ,FE,56.788,4.269,28.04345313,71.62156955,0.3350575875,52.519,14.72814115,37.61493211,0.1759688944,56.78804216,43.212
204,KGZ,MA,82.159,3.792,33.48773762,64.32757141,2.18463372,78.367,26.24333534,50.41158789,1.712031907,82.15895514,17.841
205,KHM,FE,78.654,0.254,58.32038852,38.4643246,3.215286886,78.4,45.7231846,30.15603048,2.520784919,78.654,21.346
206,KHM,MA,88.861,0.199,47.26786523,48.4459958,4.28613897,88.662,41.90863467,42.9531888,3.800176533,88.861,11.139
207,KIR,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,KIR,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,KNA,FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,KNA,MA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,KOR,FE,63.237,2.722,16.80323875,80.03799902,3.158754312,60.515,10.16847993,48.4349951,1.911520172,63.23699521,36.763
212,KOR,MA,77.691,2.638,19.26657368,74.30573116,6.42769516,75.053,14.46014155,55.7686804,4.824178049,77.691,22.309
213,KWT,FE,51.176,5.948,0.02357642237,99.29225394,0.6841696414,45.228,0.01066314431,44.90790061,0.3094362454,51.176,48.824
214,KWT,MA,89.455,0.912,1.623423394,97.67272237,0.7038542402,88.543,1.437427776,86.48235856,0.6232136599,89.455,10.545
215,LAO,FE,64.299,0.872,81.50846718,17.94218836,0.5493444572,63.427,51.69837548,11.38019181,0.3484327089,64.299,35.701
216,LAO,MA,72.539,1.464,72.4983194,26.55183995,0.9498406476,71.075,51.52818052,18.87172024,0.6750992403,72.539,27.461
217,LBN,FE,31.407,14.75,12.27686682,84.44561078,3.277522402,16.657,2.044957706,14.06610539,0.5459369065,31.407,68.593
218,LBN,MA,71.491,10.07,24.44232451,64.33989816,11.21769365,61.421,15.01272014,39.51820885,6.890019617,71.4909486,28.509
219,LBR,FE,73.43,2.244,90.45126371,8.508026448,1.040709845,71.186,64.38863658,6.056523707,0.7408397103,73.43,26.57
