iso3c,gdp,female,male,gni_rank
IRN,5130,35.6,40.24,77
IRQ,6030,36.05,26.04,85
ISL,82200,6.17,10.27,175
ISR,52910,6.93,8.42,161
ITA,38590,11.77,16.23,154
JAM,7210,27.4,35.04,95
JOR,4430,2.12,9.09,69
JPN,36000,6.88,8,149
KAZ,12090,24.46,25.09,112
KEN,2090,73.2,55.6,40
KGZ,2190,25.34,31.32,42
KHM,2550,58.09,46.85,48
KOR,36750,16.21,18.86,152
KWT,40770,0.66,2.92,155
LAO,2000,81.18,72.15,39
LBN,3700,11.31,22.2,60
LBR,760,89.7,65.07,12
LBY,6890,19.17,22.7,91
LCA,12640,16.05,26.97,114
LKA,3860,39.38,39.18,64
LSO,1180,28.94,35.39,23
LTU,27150,7.85,12.78,140
LUX,84650,7.15,6.77,177
LVA,21630,8.45,8.78,131
MAC,65040,2.31,4.39,170
MAR,3840,22.59,39.18,63
MDA,6880,59.41,57.63,90
MDG,510,88.09,80.95,3.5
MDV,11640,30.54,12.76,110
MEX,12850,27.86,23.59,115
MKD,8300,9.28,14.66,103
MLI,1030,81.42,72.13,19
MLT,36730,8.2,11.43,151
MMR,1210,63.87,62.31,24.5
MNE,12210,9.93,18.02,113
MNG,5380,36.49,39.86,80
MOZ,550,90.68,76.29,5
MRT,2120,71.09,45.09,41
MUS,12970,9.61,18.36,116
MWI,570,66.35,53.99,6
MYS,11650,14.97,25.96,111
NAM,4240,36.56,23.61,68
NCL,30070,9.45,18.14,144
NER,680,93.24,75.95,9
NGA,1700,79.08,54.85,35.5
NIC,2510,46.26,33.97,46
NLD,62520,10.88,15.68,168
NOR,98170,2.98,5.23,179
NPL,1470,90.3,69.14,30
NZL,47580,10.94,14.05,157
OMN,19520,5.57,3.54,126
PAK,1430,73.23,50.4,27.5
PAN,18010,35.59,39.45,125
PER,7500,52.51,43.44,97
PHL,4470,39.26,29.62,70
PNG,2900,79.48,63.5,54
POL,21590,11.13,18.26,130
PRI,25860,6.26,13.84,138
PRT,26910,8.36,10.93,139
PRY,6300,38.18,34.59,87
PSE,2710,20.88,17.87,50
PYF,23930,12.5,16.56,136
QAT,77290,0.72,0.4,173
ROU,17600,10.3,15.08,124
RUS,15320,4.71,5.14,120
RWA,1040,43.09,36.17,20
SAU,35630,4.13,1.14,148
SDN,710,55.51,36.12,10.5
SEN,1680,75.63,55.73,34
SGP,74750,6.15,11.77,172
SLB,1910,79.14,58.97,38
SLE,820,91.35,80.88,13
SLV,5120,39.04,24.79,76
SOM,620,60.18,40.25,7
SRB,11610,21.7,25.85,109
STP,2850,35.78,34.22,53
SUR,5690,16.71,19.52,81
SVK,23560,6.68,16.25,135
SVN,31790,8.07,12.7,145
SWE,58190,4.74,8.81,167
SWZ,3590,33.03,24.18,58
SYR,710,22.7,41.69,10.5
TCD,940,96.2,86.21,16
TGO,1080,84.15,66.37,21
THA,7100,48.14,47.85,93
TJK,1650,33.35,25.62,32.5
TKM,6510,27.52,28.97,89
TLS,1650,64.17,53.94,32.5
TON,5910,34.45,33.03,84
TTO,19740,13.89,26.55,127
TUN,3880,11.95,20.29,65
TUR,13460,25.59,23.07,117
TZA,1210,89.49,78.12,24.5
UGA,1020,83.68,65.86,18
UKR,5210,18.23,19.72,78
URY,21650,23.45,25.12,132
USA,83490,2.62,4.81,176
UZB,3020,22.09,39.41,55.5
VCT,11060,20.56,23.06,108
VEN,3820,35.62,38.26,62
VNM,4490,57.1,45.94,71
VUT,3890,61.98,54.66,66
WSM,5040,35.79,44.87,75
ZAF,6110,11.43,11.85,86
ZMB,1220,79.1,62.5,26
ZWE,2400,76.64,59.93,45
