iso3c,date,years_of_schooling
IRL,1920,2.508758068
IRL,1925,2.93444562
IRL,1930,3.425458908
IRL,1935,4.016205311
IRL,1940,4.743228912
IRL,1945,5.464363098
IRL,1950,6.32273531
IRL,1955,6.554802895
IRL,1960,6.858399868
IRL,1965,7.223343849
IRL,1970,7.425320625
IRL,1975,8.087087631
IRL,1980,8.919322014
IRL,1985,9.75863266
IRL,1990,10.41529369
IRL,1995,11.05854797
IRL,2000,11.43153
IRL,2005,12.12167549
IRL,2010,12.7146616
ITA,1870,0.7890563607
ITA,1875,0.8718307018
ITA,1880,0.949855566
ITA,1885,1.036373138
ITA,1890,1.16183877
ITA,1895,1.303447127
ITA,1900,1.50071466
ITA,1905,1.685139537
ITA,1910,1.889596701
ITA,1915,2.170512676
ITA,1920,2.438934326
ITA,1925,2.763914824
ITA,1930,3.057747126
ITA,1935,3.382690907
ITA,1940,3.606297255
ITA,1945,3.937767744
ITA,1950,4.250171185
ITA,1955,4.538173199
ITA,1960,4.848774433
ITA,1965,5.126942158
ITA,1970,5.483762741
ITA,1975,6.043999195
ITA,1980,6.62678051
ITA,1985,7.242781162
ITA,1990,8.035053253
ITA,1995,8.810380936
ITA,2000,9.632048607
ITA,2005,10.19409466
ITA,2010,10.78464127
JPN,1870,0.639465332
JPN,1875,0.7060610056
JPN,1880,0.7792485356
JPN,1885,0.8582386374
JPN,1890,1.158591986
JPN,1895,1.13722229
JPN,1900,1.356433749
JPN,1905,1.651770234
JPN,1910,1.961228848
JPN,1915,2.290979862
JPN,1920,2.76299119
JPN,1925,3.318207741
JPN,1930,3.890718699
JPN,1935,4.564090729
JPN,1940,5.109826565
JPN,1945,5.675316334
JPN,1950,6.127153873
JPN,1955,6.757285118
JPN,1960,7.261327744
JPN,1965,7.267555714
JPN,1970,7.437265396
JPN,1975,8.368330956
JPN,1980,9.185778618
JPN,1985,9.804841042
JPN,1990,10.40391254
JPN,1995,11.04362679
JPN,2000,11.6716013
JPN,2005,12.12143612
JPN,2010,12.54909515
LUX,1870,0.02833529748
LUX,1875,0.03491110355
LUX,1880,0.0433415547
LUX,1885,0.05414356291
LUX,1890,0.06797260791
LUX,1895,0.08565574139
LUX,1900,0.1082300171
LUX,1905,0.136985153
LUX,1910,0.1675536036
LUX,1915,0.2015261352
LUX,1920,0.2430810779
LUX,1925,0.3234662712
LUX,1930,0.4170984626
LUX,1935,0.497194171
LUX,1940,1.401873946
LUX,1945,2.099189043
LUX,1950,3.140967369
LUX,1955,4.06219244
LUX,1960,4.926576138
LUX,1965,6.01419878
LUX,1970,7.111902237
LUX,1975,8.247347832
LUX,1980,8.648621559
LUX,1985,9.009039879
LUX,1990,9.33208847
LUX,1995,9.775509834
LUX,2000,10.15483189
LUX,2005,10.70495033
LUX,2010,11.6811676
NLD,1870,2.893234968
NLD,1875,2.936646223
NLD,1880,2.9918046
NLD,1885,3.072926998
NLD,1890,3.169745207
NLD,1895,3.260621071
NLD,1900,3.345050335
NLD,1905,3.434321165
NLD,1910,3.637906551
NLD,1915,3.830480337
NLD,1920,4.008840561
NLD,1925,4.226153374
NLD,1930,4.41694355
NLD,1935,4.644641399
NLD,1940,4.852614403
NLD,1945,5.063324928
NLD,1950,6.095420837
NLD,1955,6.251175404
NLD,1960,6.309091091
NLD,1965,7.237653255
NLD,1970,8.309299469
NLD,1975,9.087206841
NLD,1980,9.771343231
NLD,1985,10.30406952
NLD,1990,10.72464275
NLD,1995,11.02100086
NLD,2000,11.38124847
NLD,2005,11.40933609
NLD,2010,12.00468349
NZL,1870,3.538155556
NZL,1875,3.395711422
NZL,1880,3.527719498
NZL,1885,3.651654243
NZL,1890,3.774991035
NZL,1895,4.01218605
NZL,1900,4.244582176
NZL,1905,4.563079357
NZL,1910,4.580688953
NZL,1915,5.13672924
NZL,1920,5.608796597
NZL,1925,5.993350983
NZL,1930,6.636384964
NZL,1935,7.188382149
NZL,1940,7.665759087
NZL,1945,8.112506866
NZL,1950,9.134382248
NZL,1955,9.534070015
NZL,1960,9.848582268
NZL,1965,10.20467949
NZL,1970,11.10039043
NZL,1975,11.66888618
NZL,1980,11.61753941
NZL,1985,11.6585989
NZL,1990,11.62521458
NZL,1995,11.72377396
NZL,2000,11.80655098
NZL,2005,11.90623188
NZL,2010,11.5686512
NOR,1870,3.947498798
NOR,1875,4.178799152
NOR,1880,4.417498589
NOR,1885,4.655294418
NOR,1890,4.888643742
NOR,1895,5.124365807
NOR,1900,5.349601269
NOR,1905,5.62263298
NOR,1910,6.028929234
NOR,1915,6.379734993
NOR,1920,6.674317837
NOR,1925,6.921949387
NOR,1930,7.126083851
NOR,1935,7.287704468
NOR,1940,7.453244686
NOR,1945,7.562916279
NOR,1950,7.594873905
NOR,1955,7.533387184
NOR,1960,7.536189079
NOR,1965,7.94640398
NOR,1970,8.464737892
NOR,1975,8.675692558
NOR,1980,9.215812683
NOR,1985,10.2668581
NOR,1990,11.24285316
NOR,1995,11.56965256
NOR,2000,11.94122219
NOR,2005,12.33130932
NOR,2010,11.96220207
PRT,1870,0.1874021441
PRT,1875,0.2347287238
PRT,1880,0.2976334691
PRT,1885,0.370978713
PRT,1890,0.4499025047
PRT,1895,0.546497941
PRT,1900,0.6569687128
PRT,1905,0.7694277167
PRT,1910,0.8618859053
PRT,1915,0.941819489
PRT,1920,1.010216832
PRT,1925,1.120799541
PRT,1930,1.209979653
PRT,1935,1.314905286
PRT,1940,1.399248958
PRT,1945,1.554723144
PRT,1950,1.717840314
PRT,1955,1.934435606
PRT,1960,2.092730522
PRT,1965,2.390311241
PRT,1970,2.722959757
PRT,1975,3.297133923
PRT,1980,4.362426281
PRT,1985,5.237447739
PRT,1990,6.175074577
PRT,1995,6.925863743
PRT,2000,7.768368244
PRT,2005,7.86234045
PRT,2010,8.513839722
ESP,1870,1.189218998
ESP,1875,1.406138301
ESP,1880,1.750857949
ESP,1885,2.126976967
ESP,1890,2.446278811
ESP,1895,2.770402193
ESP,1900,3.071067572
ESP,1905,3.330360651
ESP,1910,3.518281221
ESP,1915,3.613688469
ESP,1920,3.47500515
ESP,1925,3.313165903
ESP,1930,3.149853468
ESP,1935,3.098750114
ESP,1940,3.045684099
ESP,1945,3.211513042
ESP,1950,3.399738073
ESP,1955,3.658349037
ESP,1960,3.967743635
ESP,1965,4.385577679
ESP,1970,4.770096302
ESP,1975,5.473555565
ESP,1980,6.165188313
ESP,1985,6.62635088
ESP,1990,7.239857674
ESP,1995,8.494422913
ESP,2000,9.776416779
ESP,2005,10.82075977
ESP,2010,10.8477869
SWE,1870,3.526810408
SWE,1875,3.60265708
SWE,1880,3.681257963
SWE,1885,3.804712534
SWE,1890,3.950912237
SWE,1895,4.084406853
SWE,1900,4.209504128
SWE,1905,4.328391075
SWE,1910,4.440695763
SWE,1915,4.520350456
SWE,1920,4.606385708
SWE,1925,4.869040966
SWE,1930,5.112985134
SWE,1935,5.478124619
SWE,1940,5.833613396
SWE,1945,6.234324932
SWE,1950,6.705342293
SWE,1955,7.067417622
SWE,1960,7.39674139
SWE,1965,7.820937634
SWE,1970,8.270758629
SWE,1975,9.414671898
SWE,1980,10.30510616
SWE,1985,10.70683479
SWE,1990,11.20086288
SWE,1995,11.61217022
SWE,2000,11.91707325
SWE,2005,12.23840809
SWE,2010,12.39056206
CHE,1870,3.897631884
CHE,1875,4.056312084
CHE,1880,4.226268291
CHE,1885,4.417536736
CHE,1890,4.620054722
CHE,1895,4.851877689
CHE,1900,5.100488186
CHE,1905,5.316129684
CHE,1910,5.78095293
CHE,1915,6.18432045
CHE,1920,6.560877323
CHE,1925,6.995345116
CHE,1930,7.37622261
CHE,1935,7.748970509
CHE,1940,8.079603195
CHE,1945,8.428039551
CHE,1950,8.814151764
CHE,1955,8.946528435
CHE,1960,9.058616638
CHE,1965,9.500236511
CHE,1970,10.04736614
CHE,1975,10.64837837
CHE,1980,11.3161869
CHE,1985,10.88110828
CHE,1990,10.88583565
CHE,1995,10.88021564
CHE,2000,10.78975296
CHE,2005,11.21274757
CHE,2010,13.44208908
TUR,1870,0.00832213182
TUR,1875,0.009701598436
TUR,1880,0.01160949841
TUR,1885,0.01420827303
TUR,1890,0.01793644391
TUR,1895,0.02319219336
TUR,1900,0.1111089736
TUR,1905,0.1985183954
TUR,1910,0.280464381
TUR,1915,0.4080354273
TUR,1920,0.5111804605
TUR,1925,0.6056639552
TUR,1930,0.6747766733
TUR,1935,0.742233634
TUR,1940,0.779785037
TUR,1945,0.8863162994
TUR,1950,1.022805691
TUR,1955,1.300846696
TUR,1960,1.568466663
TUR,1965,2.028266907
TUR,1970,2.202793837
TUR,1975,2.523490667
TUR,1980,3.193786144
TUR,1985,4.312483311
TUR,1990,4.824594498
TUR,1995,5.356698036
TUR,2000,5.896886349
TUR,2005,6.452729225
TUR,2010,7.028261662
TUR,2010,7.028261662
USA,1870,3.566577196
USA,1875,3.976804495
USA,1880,4.396983147
USA,1885,4.774018764
USA,1890,5.373677731
USA,1895,5.954511642
USA,1900,6.450695992
USA,1905,6.912164688
USA,1910,6.883868694
USA,1915,7.114645004
USA,1920,7.277040005
USA,1925,7.56087923
USA,1930,7.739439011
USA,1935,8.031894684
USA,1940,8.319923401
USA,1945,8.736140251
USA,1950,8.503206253
USA,1955,8.95252037
USA,1960,9.457690239
USA,1965,10.30258846
USA,1970,11.06214142
USA,1975,11.79091835
USA,1980,12.42873192
USA,1985,12.5290947
USA,1990,12.80637074
USA,1995,13.08638954
USA,2000,13.36551285
USA,2005,13.33984089
USA,2010,13.57590199
GBR,1870,0.7978413701
GBR,1875,0.8867743611
GBR,1880,0.969406426
GBR,1885,1.051673889
GBR,1890,1.235914469
GBR,1895,1.527870178
GBR,1900,1.954734445
GBR,1905,2.355945587
GBR,1910,3.030188322
GBR,1915,3.603673935
GBR,1920,4.123895645
GBR,1925,4.636031151
GBR,1930,5.065130234
GBR,1935,5.436654568
GBR,1940,5.708159924
GBR,1945,6.027524948
GBR,1950,6.130563736
GBR,1955,6.381958961
GBR,1960,6.582946777
GBR,1965,7.151016712
GBR,1970,7.798672676
GBR,1975,8.252490997
GBR,1980,8.433189392
GBR,1985,8.608651161
GBR,1990,9.184129715
GBR,1995,9.602826118
GBR,2000,9.962526321
GBR,2005,11.62585068
GBR,2010,12.58977222
KHM,1870,0.006207301747
KHM,1875,0.00621141959
KHM,1880,0.006215886213
KHM,1885,0.006254745647
KHM,1890,0.006384963635
KHM,1895,0.006623486988
KHM,1900,0.007008538581
KHM,1905,0.007591441739
KHM,1910,0.008451227099
KHM,1915,0.009699651971
KHM,1920,0.01169653051
KHM,1925,0.0147497151
KHM,1930,0.01929656044
KHM,1935,0.02591898292
KHM,1940,0.0355248414
KHM,1945,0.04759489372
KHM,1950,0.2597024143
KHM,1955,0.4821176827
KHM,1960,0.7171940804
KHM,1965,0.994384408
KHM,1970,1.334698796
KHM,1975,1.768930197
KHM,1980,2.279406071
KHM,1985,2.642773867
KHM,1990,2.817671776
KHM,1995,3.11537528
KHM,2000,3.408282995
KHM,2005,3.720916986
KHM,2010,4.358733177
CHN,1870,0.00568356039
CHN,1875,0.006077314261
CHN,1880,0.006740534212
CHN,1885,0.007717738859
CHN,1890,0.009275596589
CHN,1895,0.01158852782
CHN,1900,0.01494487561
CHN,1905,0.01973949932
CHN,1910,0.026545614
CHN,1915,0.03614221513
CHN,1920,0.0497379154
CHN,1925,0.06846402586
CHN,1930,0.1418138444
CHN,1935,0.22950387
CHN,1940,0.3111831248
CHN,1945,0.4372669458
CHN,1950,0.6825163364
CHN,1955,1.182885408
CHN,1960,1.688101649
CHN,1965,2.358115673
CHN,1970,2.954369783
CHN,1975,3.674974918
CHN,1980,4.365014553
CHN,1985,4.880930424
CHN,1990,5.35888195
CHN,1995,6.238605499
CHN,2000,7.067252636
CHN,2005,7.412876606
CHN,2010,7.601409435
FJI,1870,0.03023324534
FJI,1875,0.03804487735
FJI,1880,0.04856349528
FJI,1885,0.06257365644
FJI,1890,0.08141945302
FJI,1895,0.1066267416
FJI,1900,0.1401755661
FJI,1905,0.1842316836
FJI,1910,0.2427337468
FJI,1915,0.4151793122
FJI,1920,0.5853704214
FJI,1925,1.068078518
FJI,1930,1.429537416
FJI,1935,1.74126637
FJI,1940,2.106600046
FJI,1945,2.496712446
FJI,1950,3.140826464
FJI,1955,3.570110083
FJI,1960,3.978058338
FJI,1965,4.438801289
FJI,1970,4.850729465
FJI,1975,5.31307888
FJI,1980,6.155425549
FJI,1985,7.008141041
FJI,1990,8.595938683
FJI,1995,10.00689602
FJI,2000,9.863412857
FJI,2005,9.601106644
FJI,2010,9.973185539
HKG,1870,0.1119961813
HKG,1875,0.1368275583
HKG,1880,0.1676099598
HKG,1885,0.2062070221
HKG,1890,0.2537552118
HKG,1895,0.312007755
HKG,1900,0.3830117583
HKG,1905,0.4690333903
HKG,1910,0.5566868186
HKG,1915,0.8848285079
HKG,1920,1.157979965
HKG,1925,1.415542483
HKG,1930,1.921854854
HKG,1935,2.326060772
HKG,1940,2.943902731
HKG,1945,3.432248592
HKG,1950,3.895000935
HKG,1955,4.111450672
HKG,1960,4.607097149
HKG,1965,4.964490414
HKG,1970,5.418106556
HKG,1975,6.086409092
HKG,1980,7.279676914
HKG,1985,8.270482063
HKG,1990,9.348146439
HKG,1995,9.65422821
HKG,2000,9.978573799
HKG,2005,11.84041977
HKG,2010,11.96165085
IND,1870,0.02463259175
IND,1875,0.02938733436
IND,1880,0.03572688624
IND,1885,0.04541574046
IND,1890,0.06004003435
IND,1895,0.08565555513
IND,1900,0.1196667999
IND,1905,0.1533120573
IND,1910,0.2544378638
IND,1915,0.3467983902
IND,1920,0.4474594891
IND,1925,0.5523021817
IND,1930,0.671069324
IND,1935,0.7614907026
IND,1940,0.8302460313
IND,1945,0.9126362205
IND,1950,0.9445964098
IND,1955,1.010017157
IND,1960,0.9702802896
IND,1965,1.17418468
IND,1970,1.26421237
IND,1975,1.588950396
IND,1980,1.995551109
IND,1985,2.543032885
IND,1990,3.081163645
IND,1995,3.725239992
IND,2000,4.59520483
IND,2005,5.175665855
IND,2010,5.783223629
IDN,1870,0.007061358076
IDN,1875,0.007839844562
IDN,1880,0.008929427713
IDN,1885,0.01041170582
IDN,1890,0.01244540419
IDN,1895,0.01560733188
IDN,1900,0.02176688984
IDN,1905,0.03081894852
IDN,1910,0.09340894222
IDN,1915,0.1401729882
IDN,1920,0.1874007583
IDN,1925,0.262501359
IDN,1930,0.3238810301
IDN,1935,0.4290850759
IDN,1940,0.515633285
IDN,1945,0.6732638478
IDN,1950,0.7931831479
IDN,1955,0.9735313654
IDN,1960,1.122070074
IDN,1965,1.71387136
IDN,1970,2.343258619
IDN,1975,2.770635128
IDN,1980,3.293580294
IDN,1985,3.48025465
IDN,1990,3.50693965
IDN,1995,4.526043415
IDN,2000,5.07282877
IDN,2005,6.208435535
IDN,2010,7.718937874
MYS,1870,0.04317045212
MYS,1875,0.05364628136
MYS,1880,0.06810301542
MYS,1885,0.08603519201
MYS,1890,0.1085782126
MYS,1895,0.1368056685
MYS,1900,0.1725128591
MYS,1905,0.2166084945
MYS,1910,0.368265599
MYS,1915,0.5092279911
MYS,1920,0.6279507279
MYS,1925,0.9815379977
MYS,1930,1.285105944
MYS,1935,1.490639567
MYS,1940,1.655655503
MYS,1945,1.791031361
MYS,1950,1.930187345
MYS,1955,2.187838793
MYS,1960,2.388668776
MYS,1965,2.768410683
MYS,1970,3.202075481
MYS,1975,4.001112938
MYS,1980,4.73580265
MYS,1985,5.845104218
MYS,1990,6.964658737
MYS,1995,7.861208916
MYS,2000,8.644443512
MYS,2005,9.460609436
MYS,2010,10.30572319
MMR,1870,0.1074466631
MMR,1875,0.1264692396
MMR,1880,0.1490602046
MMR,1885,0.1756828576
MMR,1890,0.213771522
MMR,1895,0.2797606289
MMR,1900,0.3555657268
MMR,1905,0.4309980869
MMR,1910,0.4987003207
MMR,1915,0.562292397
MMR,1920,0.6122009754
MMR,1925,0.6524999738
MMR,1930,0.7920626402
MMR,1935,0.9031025767
MMR,1940,0.9858492613
MMR,1945,1.044294
MMR,1950,1.12944746
MMR,1955,1.201314926
MMR,1960,1.159877181
MMR,1965,1.124866962
MMR,1970,1.179709077
MMR,1975,1.222166419
MMR,1980,1.789961576
MMR,1985,2.454887867
MMR,1990,2.623853922
MMR,1995,2.923534155
MMR,2000,3.340465784
MMR,2005,3.791658401
MMR,2010,4.37474823
PHL,1870,0.05114617199
PHL,1875,0.0599812828
PHL,1880,0.07126562297
PHL,1885,0.084762685
PHL,1890,0.1008097753
PHL,1895,0.1220485643
PHL,1900,0.165632382
PHL,1905,0.1988312751
PHL,1910,0.2314276397
PHL,1915,0.3805746138
PHL,1920,0.48002702
PHL,1925,0.7346716523
PHL,1930,0.9051815271
PHL,1935,1.245706797
PHL,1940,1.476277113
PHL,1945,1.75696826
PHL,1950,1.99898088
PHL,1955,2.909530163
PHL,1960,3.021179199
PHL,1965,3.584113359
PHL,1970,4.215791225
PHL,1975,4.679801941
PHL,1980,5.510756493
PHL,1985,6.296607494
PHL,1990,6.658715248
PHL,1995,7.191302299
PHL,2000,7.655021191
PHL,2005,8.017910004
PHL,2010,8.434004784
KOR,1870,0.006516892463
KOR,1875,0.007055577822
KOR,1880,0.007843646221
KOR,1885,0.008964245208
KOR,1890,0.01054576691
KOR,1895,0.01275748294
KOR,1900,0.01582210883
KOR,1905,0.4536206424
KOR,1910,0.7809017897
KOR,1915,1.089852452
KOR,1920,1.696595073
KOR,1925,2.205989838
KOR,1930,2.660156012
KOR,1935,3.071941853
KOR,1940,3.422326565
KOR,1945,3.631399393
KOR,1950,4.149296761
KOR,1955,4.598483086
KOR,1960,3.480846882
KOR,1965,4.654594898
KOR,1970,5.62566328
KOR,1975,6.601323605
KOR,1980,7.609461308
KOR,1985,8.662176132
KOR,1990,9.839351654
KOR,1995,10.77340698
KOR,2000,11.51660252
KOR,2005,12.2308197
KOR,2010,12.90958786
LKA,1870,0.1744627953
LKA,1875,0.1768434495
LKA,1880,0.1877745688
LKA,1885,0.2020044476
LKA,1890,0.2301356643
LKA,1895,0.2902593911
LKA,1900,0.3727443516
LKA,1905,0.4733168185
LKA,1910,0.5939772725
LKA,1915,0.9513114095
LKA,1920,1.242784381
LKA,1925,1.517190576
LKA,1930,1.886383891
LKA,1935,2.185269833
LKA,1940,2.541041613
LKA,1945,2.803441525
LKA,1950,3.09749794
LKA,1955,3.317265511
LKA,1960,3.610495806
LKA,1965,3.874295473
LKA,1970,5.625729084
LKA,1975,6.009679794
LKA,1980,6.387180805
LKA,1985,7.255863667
LKA,1990,8.186890602
LKA,1995,9.0944767
LKA,2000,10.19432068
LKA,2005,10.37169838
LKA,2010,10.45097637
TWN,1870,0.01457767375
TWN,1875,0.01727458835
TWN,1880,0.02066425234
TWN,1885,0.02502839267
TWN,1890,0.03068994731
TWN,1895,0.03796419874
TWN,1900,0.04725362733
TWN,1905,0.05918730423
TWN,1910,0.07472229749
TWN,1915,0.0948234722
TWN,1920,0.1187515184
TWN,1925,0.6583806276
TWN,1930,1.174873233
TWN,1935,1.637488723
TWN,1940,2.044470549
TWN,1945,2.382055759
TWN,1950,2.885884047
TWN,1955,3.256381035
TWN,1960,3.490010023
TWN,1965,3.629922152
TWN,1970,3.827687025
TWN,1975,4.201615334
TWN,1980,5.483025074
TWN,1985,6.671904087
TWN,1990,7.79472971
TWN,1995,8.890035629
TWN,2000,9.881524086
TWN,2005,11.01104355
TWN,2010,11.72100353
THA,1870,0.0926470086
THA,1875,0.1033268049
THA,1880,0.1152421609
THA,1885,0.1285218
THA,1890,0.1433037668
THA,1895,0.1598672718
THA,1900,0.1783756614
THA,1905,0.1990357041
THA,1910,0.3634792566
THA,1915,0.4734773338
THA,1920,0.5845253468
THA,1925,0.664193213
THA,1930,0.7421646118
THA,1935,0.8002724051
THA,1940,0.8500041366
THA,1945,1.141196966
THA,1950,1.393049717
THA,1955,1.812881947
THA,1960,2.156425476
THA,1965,2.021983147
THA,1970,2.013937235
THA,1975,2.221328974
THA,1980,2.874692678
THA,1985,3.528735399
THA,1990,4.168358803
THA,1995,4.745689392
THA,2000,5.289401531
THA,2005,6.853182793
THA,2010,7.883581161
ALB,1870,0.01685493439
ALB,1875,0.0201897677
ALB,1880,0.02444911748
ALB,1885,0.02988547832
ALB,1890,0.03681754321
ALB,1895,0.04564573988
ALB,1900,0.05687022209
ALB,1905,0.07111100852
ALB,1910,0.08912921697
ALB,1915,0.171405077
ALB,1920,0.3003823161
ALB,1925,0.4636735618
ALB,1930,0.6476082206
ALB,1935,0.8388152719
ALB,1940,1.056937933
ALB,1945,1.308738828
ALB,1950,2.444691896
ALB,1955,2.737084866
