region_name,region_code,population,income_group,mobile_is_main,lack_of_money
Colombia,COL,41544122,UMC,73,
Costa Rica,CRI,4118576,UMC,81,
Dominican Republic,DOM,8281568,UMC,76,
Ecuador,ECU,13484219,UMC,65,
Gabon,GAB,1573811,UMC,60,38
Georgia,GEO,2933716,UMC,82,
Guatemala,GTM,12299923,UMC,63,
Iraq,IRQ,28355455,UMC,71,
Jordan,JOR,7867178,UMC,73,
Kazakhstan,KAZ,14324777,UMC,81,
Kosovo,XKX,1382360,UMC,88,
Libya,LBY,5262910,UMC,66,
Malaysia,MYS,27297352,UMC,89,
Mauritius,MUS,1070318,UMC,66,
Mexico,MEX,97411242,UMC,65,
Moldova,MDA,1966418,UMC,72,
Montenegro,MNE,503215,UMC,80,
Namibia,NAM,1858089,UMC,52,37
North Macedonia,MKD,1515847,UMC,79,
Paraguay,PRY,4874331,UMC,83,
Peru,PER,25601447,UMC,63,
Russian Federation,RUS,118635010,UMC,83,
Serbia,SRB,5672737,UMC,79,
South Africa,ZAF,46723498,UMC,68,32
Thailand,THA,60882768,UMC,88,
Turkiye,TUR,66691005,UMC,87,
"Venezuela, RB",VEN,20899114,UMC,83,
High income,HIC,,HIC,88,
Low income,LIC,,LIC,22,37
Lower middle income,LMC,,LMC,50,25
Upper middle income,UMC,,UMC,84,
