iso3c,year,value
CAF,2015,0.34
CAF,2016,0.33
CAF,2017,0.33
CAF,2018,0.38
CAF,2019,0.34
CAF,2020,0.32
CAF,2021,0.45
CAF,2022,0.5
CAF,2023,0.27
CAF,2024,0.27
CAN,2015,0.16
CAN,2016,0
CAN,2017,0
CAN,2018,0
CAN,2019,0.01
CAN,2020,0.07
CAN,2021,0.01
CAN,2022,0.02
CAN,2023,0.02
CAN,2024,0.02
CHE,2015,0
CHE,2016,0
CHE,2017,0
CHE,2018,0
CHE,2019,0
CHE,2020,0
CHE,2021,0
CHE,2022,0
CHE,2023,0
CHE,2024,0
CHL,2015,0.53
CHL,2016,0.25
CHL,2017,0.47
CHL,2018,0.58
CHL,2019,0.48
CHL,2020,0.84
CHL,2021,0.56
CHL,2022,0.56
CHL,2023,0.52
CHL,2024,0.51
CHN,2015,0.07
CHN,2016,0.07
CHN,2017,0.32
CHN,2018,0.42
CHN,2019,0.44
CHN,2020,0.5
CHN,2021,0.66
CHN,2022,1.48
CHN,2023,0.51
CHN,2024,0.4
CIV,2015,0.29
CIV,2016,0.19
CIV,2017,0.24
CIV,2018,0.25
CIV,2019,0.19
CIV,2020,0.15
CIV,2021,0.06
CIV,2022,0.2
CIV,2023,0.02
CIV,2024,0.03
CMR,2015,0.18
CMR,2016,0.12
CMR,2017,0.13
CMR,2018,0.21
CMR,2019,0.18
CMR,2020,0.15
CMR,2021,0.16
CMR,2022,0.56
CMR,2023,0.18
CMR,2024,0.16
COD,2015,0
COD,2016,0
COD,2017,0
COD,2018,0
COD,2019,0
COD,2020,0
COD,2021,0
COD,2022,0
COD,2023,0
COD,2024,0
COG,2015,1.76
COG,2016,0.78
COG,2017,0.69
COG,2018,1.11
COG,2019,0.81
COG,2020,0.54
COG,2021,0.65
COG,2022,0.85
COG,2023,0.62
COG,2024,0.58
COL,2015,0.13
COL,2016,0.2
COL,2017,0.05
COL,2018,0.1
COL,2019,0.01
COL,2020,0.02
COL,2021,0.12
COL,2022,1.12
COL,2023,0.12
COL,2024,0.02
COM,2015,0
COM,2016,0
COM,2017,0
COM,2018,0.04
COM,2019,0.51
COM,2020,0.44
COM,2021,0.46
COM,2022,0.57
COM,2023,0.51
COM,2024,0.48
CPV,2015,0
CPV,2016,0
CPV,2017,0.08
CPV,2018,1.59
CPV,2019,0.66
CPV,2020,1.12
CPV,2021,1.01
CPV,2022,0.98
CPV,2023,0.97
CPV,2024,0.96
CRI,2015,0.09
CRI,2016,0.08
CRI,2017,0.12
CRI,2018,0.11
CRI,2019,0.14
CRI,2020,0.06
CRI,2021,0.07
CRI,2022,0.06
CRI,2023,0.07
CRI,2024,0.08
CYP,2015,1.24
CYP,2016,1.85
CYP,2017,1.3
CYP,2018,0.86
CYP,2019,0.8
CYP,2020,1.34
CYP,2021,1.02
CYP,2022,0.95
CYP,2023,0.95
CYP,2024,0.93
CZE,2015,0
CZE,2016,0
CZE,2017,0.79
CZE,2018,0.87
CZE,2019,0.75
CZE,2020,0.64
CZE,2021,1.05
CZE,2022,0.84
CZE,2023,0.7
CZE,2024,0.66
DEU,2015,0
DEU,2016,0
DEU,2017,0
DEU,2018,0
DEU,2019,0
DEU,2020,0
DEU,2021,0
DEU,2022,0.99
DEU,2023,0.63
DEU,2024,0.47
DJI,2015,2.1
DJI,2016,2.7
DJI,2017,2.45
DJI,2018,2.49
DJI,2019,2.21
DJI,2020,2.19
DJI,2021,2.15
DJI,2022,2.13
DJI,2023,2.15
DJI,2024,2.17
DNK,2015,0.41
DNK,2016,0.34
DNK,2017,0.41
DNK,2018,0.41
DNK,2019,0.55
DNK,2020,0.64
DNK,2021,0.59
DNK,2022,0.53
DNK,2023,0.52
DNK,2024,0.52
DOM,2015,0.2
DOM,2016,0.04
DOM,2017,0
DOM,2018,0.67
DOM,2019,1.18
DOM,2020,1.53
DOM,2021,1.27
DOM,2022,1.31
DOM,2023,1.06
DOM,2024,1.03
DZA,2015,9
DZA,2016,6.58
DZA,2017,7.92
DZA,2018,10.87
DZA,2019,8.67
DZA,2020,6.89
DZA,2021,12.88
DZA,2022,23.14
DZA,2023,10.8
DZA,2024,9.77
ECU,2015,3.1
ECU,2016,1.89
ECU,2017,2.83
ECU,2018,3.88
ECU,2019,3.45
ECU,2020,1.23
ECU,2021,2.01
ECU,2022,3.96
ECU,2023,3.96
ECU,2024,3.28
EGY,2015,4.72
EGY,2016,2.54
EGY,2017,5.84
EGY,2018,6.33
EGY,2019,4.21
EGY,2020,3.03
EGY,2021,4.06
