iso3c,date,value
ECS,1953,14.4
LCN,1953,46.5
MEA,1953,64
NAC,1953,1.1
SAS,1953,80.1
SSF,1953,66.7
EAS,1954,86.1
ECS,1954,14
LCN,1954,45.6
MEA,1954,63.2
NAC,1954,1.1
SAS,1954,79.3
SSF,1954,65.8
EAS,1955,85.6
ECS,1955,12.8
LCN,1955,44.5
MEA,1955,63.8
NAC,1955,1.1
SAS,1955,79.6
SSF,1955,65.4
EAS,1956,85.3
ECS,1956,13
LCN,1956,44.1
MEA,1956,62.6
NAC,1956,1.1
SAS,1956,78.1
SSF,1956,65.3
EAS,1957,85
ECS,1957,12.2
LCN,1957,42.9
MEA,1957,61.5
NAC,1957,1.1
SAS,1957,79.2
SSF,1957,65
EAS,1958,84.9
ECS,1958,12.2
LCN,1958,41.9
MEA,1958,60.6
NAC,1958,1.1
SAS,1958,77.9
SSF,1958,65.3
EAS,1959,84.6
ECS,1959,11.7
LCN,1959,41.5
MEA,1959,59.8
NAC,1959,1.1
SAS,1959,77.6
SSF,1959,64.5
EAS,1960,84.2
ECS,1960,11.1
LCN,1960,40
MEA,1960,58.7
NAC,1960,1.1
SAS,1960,75.9
SSF,1960,63.9
EAS,1961,83.7
ECS,1961,10.7
LCN,1961,39.3
MEA,1961,57.8
NAC,1961,0.9
SAS,1961,75.4
SSF,1961,64
EAS,1962,83.3
ECS,1962,10.3
LCN,1962,38.2
MEA,1962,57.3
NAC,1962,0.9
SAS,1962,75.5
SSF,1962,63.1
EAS,1963,83
ECS,1963,9.7
LCN,1963,38.1
MEA,1963,55.7
NAC,1963,0.7
SAS,1963,74
SSF,1963,62
EAS,1964,82.6
ECS,1964,9.2
LCN,1964,37.2
MEA,1964,54.4
NAC,1964,0.6
SAS,1964,71.9
SSF,1964,61.4
EAS,1965,82.3
ECS,1965,8.8
LCN,1965,37
MEA,1965,53.3
NAC,1965,0.6
SAS,1965,74.1
SSF,1965,60.5
EAS,1966,82
ECS,1966,8.3
LCN,1966,36.1
MEA,1966,53.1
NAC,1966,0.6
SAS,1966,74.4
SSF,1966,60.7
EAS,1967,82.2
ECS,1967,8
LCN,1967,35.6
MEA,1967,52.8
NAC,1967,0.6
SAS,1967,72.6
SSF,1967,62.1
EAS,1968,82.1
ECS,1968,7.6
LCN,1968,34.3
MEA,1968,51.5
NAC,1968,0.6
SAS,1968,71.9
SSF,1968,62.2
EAS,1969,81.6
ECS,1969,7.4
LCN,1969,33
MEA,1969,49.9
NAC,1969,0.6
SAS,1969,70.2
SSF,1969,59.8
EAS,1970,81
ECS,1970,7
LCN,1970,31.2
MEA,1970,48.5
NAC,1970,0.6
SAS,1970,68.6
SSF,1970,57.1
EAS,1971,80.7
ECS,1971,6.7
LCN,1971,29.4
MEA,1971,47.5
NAC,1971,0.6
SAS,1971,70.1
SSF,1971,55.9
EAS,1972,80.4
ECS,1972,6.4
LCN,1972,27.5
MEA,1972,46.4
NAC,1972,0.6
SAS,1972,72.1
SSF,1972,55.8
EAS,1973,79.7
ECS,1973,6.1
LCN,1973,25.4
MEA,1973,45.5
NAC,1973,0.6
SAS,1973,71.3
SSF,1973,55.7
EAS,1974,79.7
ECS,1974,5.9
LCN,1974,24.2
MEA,1974,44.6
NAC,1974,0.6
SAS,1974,71
SSF,1974,54.6
EAS,1975,79.3
ECS,1975,5.7
LCN,1975,23.9
MEA,1975,42.9
NAC,1975,0.6
SAS,1975,68.5
SSF,1975,55.7
EAS,1976,79.2
ECS,1976,5.4
LCN,1976,22.4
MEA,1976,40.8
NAC,1976,0.6
SAS,1976,68.6
SSF,1976,54.8
EAS,1977,78.6
ECS,1977,5.3
LCN,1977,21.8
MEA,1977,39.6
NAC,1977,0.6
SAS,1977,66.3
SSF,1977,54.6
EAS,1978,77.8
ECS,1978,5.2
LCN,1978,21.1
MEA,1978,38.7
NAC,1978,0.6
SAS,1978,64.5
SSF,1978,55.4
EAS,1979,77.1
ECS,1979,5.2
LCN,1979,19.6
MEA,1979,38.1
NAC,1979,0.6
SAS,1979,66.6
SSF,1979,55.3
EAS,1980,76.4
ECS,1980,5.3
LCN,1980,16.4
MEA,1980,37.2
NAC,1980,0.5
SAS,1980,65.8
SSF,1980,55.1
EAS,1981,75.7
ECS,1981,5.2
LCN,1981,17.3
MEA,1981,37.2
NAC,1981,0.5
SAS,1981,64.1
SSF,1981,56.4
EAS,1982,74.9
ECS,1982,5.1
LCN,1982,18
MEA,1982,36.8
NAC,1982,0.7
SAS,1982,63.2
SSF,1982,57.7
EAS,1983,74
ECS,1983,5
LCN,1983,20.8
MEA,1983,36.2
NAC,1983,0.5
SAS,1983,61.4
SSF,1983,59.5
EAS,1984,72.5
ECS,1984,4.9
LCN,1984,20.4
MEA,1984,35.6
NAC,1984,0.5
SAS,1984,59.8
SSF,1984,60.5
EAS,1985,71.2
ECS,1985,4.9
LCN,1985,18.9
MEA,1985,35.2
NAC,1985,0.5
SAS,1985,58.4
SSF,1985,60.4
EAS,1986,70.1
ECS,1986,4.9
LCN,1986,13.4
MEA,1986,35
NAC,1986,0.5
SAS,1986,56.9
SSF,1986,60.3
EAS,1987,68.7
ECS,1987,4.7
LCN,1987,15.9
MEA,1987,35.1
NAC,1987,0.5
SAS,1987,56.4
SSF,1987,60.1
EAS,1988,66.6
ECS,1988,4.6
LCN,1988,16.7
MEA,1988,34.6
NAC,1988,0.5
SAS,1988,53.5
SSF,1988,59.7
EAS,1989,65.3
ECS,1989,4.7
LCN,1989,15.9
MEA,1989,34.7
NAC,1989,0.6
SAS,1989,51.2
SSF,1989,59.9
EAS,1990,64.3
ECS,1990,4.8
LCN,1990,17.5
MEA,1990,34
NAC,1990,0.5
SAS,1990,49.3
SSF,1990,59.8
EAS,1991,63
ECS,1991,5.4
LCN,1991,17.2
MEA,1991,31.8
NAC,1991,0.6
SAS,1991,49.2
SSF,1991,60.6
EAS,1992,61.1
ECS,1992,6.2
LCN,1992,17.3
MEA,1992,28.7
NAC,1992,0.5
SAS,1992,47.6
SSF,1992,61.2
EAS,1993,59.1
ECS,1993,6.6
LCN,1993,17.6
MEA,1993,28.8
NAC,1993,0.6
SAS,1993,45.7
SSF,1993,61.9
EAS,1994,55
ECS,1994,8.1
LCN,1994,17.1
MEA,1994,26.1
NAC,1994,0.5
SAS,1994,44.2
SSF,1994,62.6
EAS,1995,51.1
ECS,1995,7.3
LCN,1995,16.3
MEA,1995,26.2
NAC,1995,0.5
SAS,1995,43.8
SSF,1995,62.1
EAS,1996,47
ECS,1996,7.3
LCN,1996,17.6
MEA,1996,24.2
NAC,1996,0.5
SAS,1996,43.6
SSF,1996,61.3
EAS,1997,46.5
ECS,1997,7
LCN,1997,17.4
MEA,1997,24
NAC,1997,0.7
SAS,1997,43.4
SSF,1997,60.8
EAS,1998,47.6
ECS,1998,7.1
LCN,1998,17
MEA,1998,24.4
NAC,1998,0.8
SAS,1998,43.2
SSF,1998,60.5
EAS,1999,44.1
ECS,1999,7.9
LCN,1999,17.5
MEA,1999,24.4
NAC,1999,0.7
SAS,1999,42.7
SSF,1999,60.4
EAS,2000,41.2
ECS,2000,7.4
LCN,2000,15.8
MEA,2000,24.2
NAC,2000,0.7
SAS,2000,42.4
SSF,2000,59.6
EAS,2001,38.4
ECS,2001,6.6
LCN,2001,15.3
MEA,2001,24.1
NAC,2001,0.9
SAS,2001,42.3
SSF,2001,58.6
EAS,2002,35.5
ECS,2002,5.6
LCN,2002,14.9
MEA,2002,23.3
NAC,2002,0.9
SAS,2002,42.2
SSF,2002,57.9
EAS,2003,31.3
ECS,2003,5.5
LCN,2003,15.2
MEA,2003,21.5
NAC,2003,0.9
SAS,2003,41.8
SSF,2003,56.8
EAS,2004,27.6
ECS,2004,4.4
LCN,2004,14
MEA,2004,19
NAC,2004,0.9
SAS,2004,41.4
SSF,2004,54
EAS,2005,23.4
ECS,2005,3.9
LCN,2005,12.9
MEA,2005,17.9
NAC,2005,0.9
SAS,2005,40
SSF,2005,52.4
EAS,2006,22.5
ECS,2006,3
LCN,2006,10.7
MEA,2006,16.8
NAC,2006,0.9
SAS,2006,37.5
SSF,2006,51
EAS,2007,20
ECS,2007,2.5
LCN,2007,10
MEA,2007,16
NAC,2007,0.9
SAS,2007,35
SSF,2007,50.1
EAS,2008,18.7
ECS,2008,2
LCN,2008,9.3
MEA,2008,14
NAC,2008,0.9
SAS,2008,34
SSF,2008,49
EAS,2009,17
ECS,2009,1.9
LCN,2009,8.8
MEA,2009,14.7
NAC,2009,0.9
SAS,2009,32.1
SSF,2009,48.5
EAS,2010,15
ECS,2010,1.9
LCN,2010,7.8
MEA,2010,13
NAC,2010,1.1
SAS,2010,28.9
SSF,2010,47.2
EAS,2011,11.6
ECS,2011,1.7
LCN,2011,7.1
MEA,2011,12.9
NAC,2011,0.9
SAS,2011,26.5
SSF,2011,46.5
EAS,2012,9.7
ECS,2012,1.7
LCN,2012,6.9
MEA,2012,12.2
NAC,2012,0.9
SAS,2012,24.4
SSF,2012,45.5
EAS,2013,8.6
ECS,2013,1.6
LCN,2013,6.2
MEA,2013,11.4
NAC,2013,0.9
SAS,2013,22
SSF,2013,44.7
EAS,2014,7.4
ECS,2014,1.5
LCN,2014,5.6
MEA,2014,11.2
NAC,2014,1.2
SAS,2014,19.3
SSF,2014,43.9
EAS,2015,6
ECS,2015,1.5
LCN,2015,5.6
MEA,2015,11.1
NAC,2015,1.1
SAS,2015,16.4
SSF,2015,43.8
EAS,2016,4.9
ECS,2016,1.3
LCN,2016,6
MEA,2016,11
NAC,2016,1.1
SAS,2016,13.6
SSF,2016,44.1
EAS,2017,4
ECS,2017,1.1
LCN,2017,5.9
MEA,2017,10.8
NAC,2017,1.2
SAS,2017,11.4
SSF,2017,44.3
EAS,2018,3.1
ECS,2018,1
LCN,2018,5.8
MEA,2018,10.9
NAC,2018,0.9
SAS,2018,9.6
SSF,2018,44.3
EAS,2019,2.3
ECS,2019,0.9
LCN,2019,5.9
MEA,2019,11.4
NAC,2019,0.9
SAS,2019,8.5
SSF,2019,44.3
EAS,2020,2.4
ECS,2020,0.9
LCN,2020,5.7
MEA,2020,12.1
NAC,2020,0.5
SAS,2020,9.2
SSF,2020,46.2
EAS,2021,2.3
ECS,2021,0.8
LCN,2021,6.3
MEA,2021,12
NAC,2021,0.4
SAS,2021,7.8
SSF,2021,46.5
EAS,2022,2.1
ECS,2022,0.7
LCN,2022,5.1
MEA,2022,11.6
NAC,2022,1.2
SAS,2022,6.2
SSF,2022,46.3
EAS,2023,1.9
ECS,2023,0.7
LCN,2023,4.6
MEA,2023,11.6
NAC,2023,1.1
SAS,2023,4.7
SSF,2023,46.5
EAS,2024,1.7
ECS,2024,0.6
LCN,2024,4.5
MEA,2024,11.8
NAC,2024,1.1
SAS,2024,3.8
SSF,2024,46
EAS,2025,1.6
ECS,2025,0.5
LCN,2025,4.6
MEA,2025,11.8
NAC,2025,1.1
SAS,2025,3.1
SSF,2025,45.2
